Repository Name,Username,Stars,URL
free-programming-books-zh_CN,justjavac,81300,https://github.com/justjavac/free-programming-books-zh_CN
okhttp,square,40400,https://github.com/square/okhttp
kotlin,JetBrains,38000,https://github.com/JetBrains/kotlin
leakcanary,square,26400,https://github.com/square/leakcanary
iosched,google,20600,https://github.com/google/iosched
profile-summary-for-github,tipsy,19400,https://github.com/tipsy/profile-summary-for-github
material-dialogs,afollestad,18900,https://github.com/afollestad/material-dialogs
anko,Kotlin,15900,https://github.com/Kotlin/anko
MMKV,Tencent,12900,https://github.com/Tencent/MMKV
tachiyomi,tachiyomiorg,12000,https://github.com/tachiyomiorg/tachiyomi
recyclerview-animators,wasabeef,10700,https://github.com/wasabeef/recyclerview-animators
PermissionsDispatcher,permissions-dispatcher,10700,https://github.com/permissions-dispatcher/PermissionsDispatcher
ImmersionBar,gyf-dev,9700,https://github.com/gyf-dev/ImmersionBar
kotlinx.coroutines,Kotlin,9500,https://github.com/Kotlin/kotlinx.coroutines
awesome-kotlin,KotlinBy,9500,https://github.com/KotlinBy/awesome-kotlin
glide-transformations,wasabeef,9400,https://github.com/wasabeef/glide-transformations
ktor,ktorio,8600,https://github.com/ktorio/ktor
android-ktx,android,7600,https://github.com/android/android-ktx
kotlin-native,JetBrains,7100,https://github.com/JetBrains/kotlin-native
mirai,mamoe,6800,https://github.com/mamoe/mirai
android-classyshark,google,6800,https://github.com/google/android-classyshark
koin,InsertKoinIO,6800,https://github.com/InsertKoinIO/koin
quicktype,quicktype,6700,https://github.com/quicktype/quicktype
RxKotlin,ReactiveX,6700,https://github.com/ReactiveX/RxKotlin
sourcerer-app,sourcerer-io,6600,https://github.com/sourcerer-io/sourcerer-app
coil,coil-kt,6600,https://github.com/coil-kt/coil
Compressor,zetbaitsu,6000,https://github.com/zetbaitsu/Compressor
ideavim,JetBrains,5800,https://github.com/JetBrains/ideavim
rest-assured,rest-assured,5400,https://github.com/rest-assured/rest-assured
Exposed,JetBrains,5300,https://github.com/JetBrains/Exposed
from-java-to-kotlin,MindorksOpenSource,5200,https://github.com/MindorksOpenSource/from-java-to-kotlin
Blurry,wasabeef,4900,https://github.com/wasabeef/Blurry
micronaut-core,micronaut-projects,4900,https://github.com/micronaut-projects/micronaut-core
dialogplus,orhanobut,4900,https://github.com/orhanobut/dialogplus
compose-jb,JetBrains,4900,https://github.com/JetBrains/compose-jb
android-showcase,igorwojda,4900,https://github.com/igorwojda/android-showcase
javalin,tipsy,4800,https://github.com/tipsy/javalin
Design-Patterns-In-Kotlin,dbacinski,4800,https://github.com/dbacinski/Design-Patterns-In-Kotlin
generator,mybatis,4700,https://github.com/mybatis/generator
junit5,junit-team,4700,https://github.com/junit-team/junit5
CloudReader,youlookwhat,4500,https://github.com/youlookwhat/CloudReader
Pokedex,skydoves,4500,https://github.com/skydoves/Pokedex
android-tips-tricks,nisrulz,4400,https://github.com/nisrulz/android-tips-tricks
awesome-test-automation,atinfo,4400,https://github.com/atinfo/awesome-test-automation
arrow,arrow-kt,4400,https://github.com/arrow-kt/arrow
ktlint,pinterest,4300,https://github.com/pinterest/ktlint
lawnchair,LawnchairLauncher,4100,https://github.com/LawnchairLauncher/lawnchair
tivi,chrisbanes,4100,https://github.com/chrisbanes/tivi
uhabits,iSoron,4100,https://github.com/iSoron/uhabits
RxDownload,ssseasonnn,4000,https://github.com/ssseasonnn/RxDownload
GmsCore,microg,4000,https://github.com/microg/GmsCore
fuel,kittinunf,3900,https://github.com/kittinunf/fuel
mockk,mockk,3900,https://github.com/mockk/mockk
Kotlin-Tutorials,bennyhuo,3900,https://github.com/bennyhuo/Kotlin-Tutorials
RxDocs,mcxiaoke,3800,https://github.com/mcxiaoke/RxDocs
detekt,detekt,3800,https://github.com/detekt/detekt
corda,corda,3700,https://github.com/corda/corda
intellij-rainbow-brackets,izhangzhihao,3600,https://github.com/izhangzhihao/intellij-rainbow-brackets
KotlinMvp,git-xuhao,3400,https://github.com/git-xuhao/KotlinMvp
tornadofx,edvin,3400,https://github.com/edvin/tornadofx
FastAdapter,mikepenz,3400,https://github.com/mikepenz/FastAdapter
kotlin-dsl-samples,gradle,3400,https://github.com/gradle/kotlin-dsl-samples
AmazeFileManager,TeamAmaze,3400,https://github.com/TeamAmaze/AmazeFileManager
Android-CleanArchitecture-Kotlin,android10,3300,https://github.com/android10/Android-CleanArchitecture-Kotlin
qksms,moezbhatti,3300,https://github.com/moezbhatti/qksms
lwjgl3,LWJGL,3300,https://github.com/LWJGL/lwjgl3
kotlinx.serialization,Kotlin,3200,https://github.com/Kotlin/kotlinx.serialization
AutoDispose,uber,3200,https://github.com/uber/AutoDispose
vertx-examples,vert-x3,3100,https://github.com/vert-x3/vertx-examples
requery,requery,3100,https://github.com/requery/requery
kotest,kotest,3000,https://github.com/kotest/kotest
