Repository Name,Username,Stars,URL
kubernetes,kubernetes,79000,https://github.com/kubernetes/kubernetes
netdata,netdata,55200,https://github.com/netdata/netdata
etcd,etcd-io,36500,https://github.com/etcd-io/etcd
traefik,traefik,34300,https://github.com/traefik/traefik
kong,Kong,29600,https://github.com/Kong/kong
istio,istio,27400,https://github.com/istio/istio
dokku,dokku,21600,https://github.com/dokku/dokku
minikube,kubernetes,21300,https://github.com/kubernetes/minikube
awesome-cheatsheets,LeCoupa,21100,https://github.com/LeCoupa/awesome-cheatsheets
faas,openfaas,20000,https://github.com/openfaas/faas
helm,helm,19900,https://github.com/helm/helm
docker_practice,yeasy,19000,https://github.com/yeasy/docker_practice
generator-jhipster,jhipster,18600,https://github.com/jhipster/generator-jhipster
nacos,alibaba,18500,https://github.com/alibaba/nacos
k3s,k3s-io,17200,https://github.com/k3s-io/k3s
rancher,rancher,17200,https://github.com/rancher/rancher
charts,helm,15200,https://github.com/helm/charts
lens,lensapp,15100,https://github.com/lensapp/lens
dapr,dapr,14000,https://github.com/dapr/dapr
kops,kubernetes,13100,https://github.com/kubernetes/kops
k9s,derailed,12700,https://github.com/derailed/k9s
seaweedfs,chrislusf,12300,https://github.com/chrislusf/seaweedfs
vitess,vitessio,12200,https://github.com/vitessio/vitess
devops-exercises,bregman-arie,11900,https://github.com/bregman-arie/devops-exercises
verdaccio,verdaccio,11900,https://github.com/verdaccio/verdaccio
awesome-kubernetes,ramitsurana,11800,https://github.com/ramitsurana/awesome-kubernetes
skaffold,GoogleContainerTools,11500,https://github.com/GoogleContainerTools/skaffold
gvisor,google,11400,https://github.com/google/gvisor
kubespray,kubernetes-sigs,10900,https://github.com/kubernetes-sigs/kubespray
jib,GoogleContainerTools,10800,https://github.com/GoogleContainerTools/jib
kubectx,ahmetb,10800,https://github.com/ahmetb/kubectx
recommenders,microsoft,10600,https://github.com/microsoft/recommenders
ingress-nginx,kubernetes,10600,https://github.com/kubernetes/ingress-nginx
kubeflow,kubeflow,10500,https://github.com/kubeflow/kubeflow
kuboard-press,eip-work,10400,https://github.com/eip-work/kuboard-press
microservices-demo,GoogleCloudPlatform,10400,https://github.com/GoogleCloudPlatform/microservices-demo
teleport,gravitational,9700,https://github.com/gravitational/teleport
pulumi,pulumi,9300,https://github.com/pulumi/pulumi
argo-workflows,argoproj,8800,https://github.com/argoproj/argo-workflows
