Repository Name,Username,Stars,URL
marktext,marktext,19000,https://github.com/marktext/marktext
KaTeX,KaTeX,14000,https://github.com/KaTeX/KaTeX
Awesome-CV,posquit0,13900,https://github.com/posquit0/Awesome-CV
PlotNeuralNet,HarisIqbal88,13400,https://github.com/HarisIqbal88/PlotNeuralNet
milewski-ctfp-pdf,hmemcpy,8600,https://github.com/hmemcpy/milewski-ctfp-pdf
MathJax,mathjax,8300,https://github.com/mathjax/MathJax
resume,billryan,4600,https://github.com/billryan/resume
pandoc-latex-template,Wandmalfarbe,3400,https://github.com/Wandmalfarbe/pandoc-latex-template
vimtex,lervag,3300,https://github.com/lervag/vimtex
thuthesis,tuna,3100,https://github.com/tuna/thuthesis
paper-tips-and-tricks,Wookai,3000,https://github.com/Wookai/paper-tips-and-tricks
Begin-Latex-in-minutes,luong-komorebi,3000,https://github.com/luong-komorebi/Begin-Latex-in-minutes
Yosoro,IceEnd,2500,https://github.com/IceEnd/Yosoro
bookdown,rstudio,2500,https://github.com/rstudio/bookdown
SciencePlots,garrettj403,2500,https://github.com/garrettj403/SciencePlots
arxiv-latex-cleaner,google-research,2400,https://github.com/google-research/arxiv-latex-cleaner
resume,sb2nov,2400,https://github.com/sb2nov/resume
jabref,JabRef,2200,https://github.com/JabRef/jabref
SJTUThesis,sjtug,2200,https://github.com/sjtug/SJTUThesis
latex-css,vincentdoerig,2100,https://github.com/vincentdoerig/latex-css
resumake.io,saadq,2100,https://github.com/saadq/resumake.io
zotero-better-bibtex,retorquere,2100,https://github.com/retorquere/zotero-better-bibtex
texme,susam,1900,https://github.com/susam/texme
OSCP-Exam-Report-Template-Markdown,noraj,1800,https://github.com/noraj/OSCP-Exam-Report-Template-Markdown
quiver,varkor,1700,https://github.com/varkor/quiver
hedgehog-lab,Hedgehog-Computing,1700,https://github.com/Hedgehog-Computing/hedgehog-lab
SwiftLaTeX,SwiftLaTeX,1600,https://github.com/SwiftLaTeX/SwiftLaTeX
awesome-resume-for-chinese,dyweb,1500,https://github.com/dyweb/awesome-resume-for-chinese
tikzcd-editor,yishn,1500,https://github.com/yishn/tikzcd-editor
tikzplotlib,nschloe,1500,https://github.com/nschloe/tikzplotlib
texstudio,texstudio-org,1400,https://github.com/texstudio-org/texstudio
json_resume,prat0318,1300,https://github.com/prat0318/json_resume
rebiber,yuchenlin,1300,https://github.com/yuchenlin/rebiber
