Repository Name,Username,Stars,URL
laravel,laravel,65900,https://github.com/laravel/laravel
framework,laravel,24400,https://github.com/laravel/framework
iris,kataras,20900,https://github.com/kataras/iris
monica,monicahq,13100,https://github.com/monicahq/monica
laravel-debugbar,barryvdh,12900,https://github.com/barryvdh/laravel-debugbar
koel,koel,12700,https://github.com/koel/koel
Cachet,CachetHQ,12200,https://github.com/CachetHQ/Cachet
image,Intervention,12000,https://github.com/Intervention/image
flarum,flarum,11700,https://github.com/flarum/flarum
laravel-ide-helper,barryvdh,11500,https://github.com/barryvdh/laravel-ide-helper
sage,roots,11300,https://github.com/roots/sage
october,octobercms,10700,https://github.com/octobercms/october
voyager,the-control-group,10500,https://github.com/the-control-group/voyager
awesome-laravel,chiraggude,10300,https://github.com/chiraggude/awesome-laravel
jwt-auth,tymondesigns,10100,https://github.com/tymondesigns/jwt-auth
Laravel-Excel,Maatwebsite,10000,https://github.com/Maatwebsite/Laravel-Excel
laravel-permission,spatie,9500,https://github.com/spatie/laravel-permission
avbook,guyueyingmu,7900,https://github.com/guyueyingmu/avbook
lumen,laravel,7300,https://github.com/laravel/lumen
BookStack,BookStackApp,6900,https://github.com/BookStackApp/BookStack
tinker,laravel,6800,https://github.com/laravel/tinker
laravel-best-practices,alexeymezenin,6200,https://github.com/alexeymezenin/laravel-best-practices
invoiceninja,invoiceninja,6000,https://github.com/invoiceninja/invoiceninja
lang,Laravel-Lang,5900,https://github.com/Laravel-Lang/lang
laravel-mongodb,jenssegers,5600,https://github.com/jenssegers/laravel-mongodb
collect.js,ecrmnn,5400,https://github.com/ecrmnn/collect.js
core,flarum,5200,https://github.com/flarum/core
laravel-boilerplate,rappasoft,5100,https://github.com/rappasoft/laravel-boilerplate
socialite,laravel,4900,https://github.com/laravel/socialite
laravel-mix,JeffreyWay,4700,https://github.com/JeffreyWay/laravel-mix
laravel-dompdf,barryvdh,4700,https://github.com/barryvdh/laravel-dompdf
aimeos-laravel,aimeos,4700,https://github.com/aimeos/aimeos-laravel
laravel-backup,spatie,4500,https://github.com/spatie/laravel-backup
laravel-medialibrary,spatie,4500,https://github.com/spatie/laravel-medialibrary
akaunting,akaunting,4200,https://github.com/akaunting/akaunting
crater,bytefury,4100,https://github.com/bytefury/crater
telescope,laravel,4000,https://github.com/laravel/telescope
