Repository Name,Username,Stars,URL
react,facebook,171000,https://github.com/facebook/react
curl,curl,21300,https://github.com/curl/curl
ccxt,ccxt,20300,https://github.com/ccxt/ccxt
mojs,mojs,16900,https://github.com/mojs/mojs
framework7,framework7io,16300,https://github.com/framework7io/framework7
kratos,go-kratos,13600,https://github.com/go-kratos/kratos
cosmos,OpenGenus,12600,https://github.com/OpenGenus/cosmos
animated-tab-bar,Ramotion,10800,https://github.com/Ramotion/animated-tab-bar
folding-cell,Ramotion,10000,https://github.com/Ramotion/folding-cell
FSCalendar,WenchaoD,9600,https://github.com/WenchaoD/FSCalendar
badger,dgraph-io,9500,https://github.com/dgraph-io/badger
cdnjs,cdnjs,9100,https://github.com/cdnjs/cdnjs
thrift,apache,8500,https://github.com/apache/thrift
BottomBar,roughike,8400,https://github.com/roughike/BottomBar
libgit2,libgit2,8000,https://github.com/libgit2/libgit2
bloc,felangel,7400,https://github.com/felangel/bloc
AndroidLibs,XXApple,7000,https://github.com/XXApple/AndroidLibs
timesheet.js,sbstjn,6900,https://github.com/sbstjn/timesheet.js
noty,needim,6700,https://github.com/needim/noty
InfiniteCycleViewPager,Devlight,5700,https://github.com/Devlight/InfiniteCycleViewPager
lwan,lpereira,5400,https://github.com/lpereira/lwan
expanding-collection,Ramotion,5400,https://github.com/Ramotion/expanding-collection
FreeRDP,FreeRDP,5400,https://github.com/FreeRDP/FreeRDP
librealsense,IntelRealSense,5200,https://github.com/IntelRealSense/librealsense
icecream,gruns,5200,https://github.com/gruns/icecream
go-cache,patrickmn,5200,https://github.com/patrickmn/go-cache
Telethon,LonamiWebs,5100,https://github.com/LonamiWebs/Telethon
vuesax,lusaxweb,5100,https://github.com/lusaxweb/vuesax
TSMessages,KrauseFx,4900,https://github.com/KrauseFx/TSMessages
NavigationTabBar,Devlight,4900,https://github.com/Devlight/NavigationTabBar
folding-cell-android,Ramotion,4800,https://github.com/Ramotion/folding-cell-android
FASTER,microsoft,4600,https://github.com/microsoft/FASTER
ferret,MontFerret,4600,https://github.com/MontFerret/ferret
create-react-library,transitive-bullshit,4300,https://github.com/transitive-bullshit/create-react-library
libimobiledevice,libimobiledevice,4300,https://github.com/libimobiledevice/libimobiledevice
vugu,vugu,4100,https://github.com/vugu/vugu
bitcoinj,bitcoinj,4000,https://github.com/bitcoinj/bitcoinj
BouncyLayout,roberthein,4000,https://github.com/roberthein/BouncyLayout
virtualenv,pypa,3900,https://github.com/pypa/virtualenv
python,kubernetes-client,3800,https://github.com/kubernetes-client/python
v8n,imbrn,3800,https://github.com/imbrn/v8n
typescript-library-starter,alexjoverm,3800,https://github.com/alexjoverm/typescript-library-starter
AngleSharp,AngleSharp,3800,https://github.com/AngleSharp/AngleSharp
go-grpc-middleware,grpc-ecosystem,3800,https://github.com/grpc-ecosystem/go-grpc-middleware
td,tdlib,3700,https://github.com/tdlib/td
