Repository Name,Username,Stars,URL
the-art-of-command-line,jlevy,92900,https://github.com/jlevy/the-art-of-command-line
node,nodejs,80400,https://github.com/nodejs/node
atom,atom,55700,https://github.com/atom/atom
the-book-of-secret-knowledge,trimstray,46400,https://github.com/trimstray/the-book-of-secret-knowledge
hyper,vercel,36200,https://github.com/vercel/hyper
alacritty,alacritty,33500,https://github.com/alacritty/alacritty
edex-ui,GitSquared,33100,https://github.com/GitSquared/edex-ui
mkcert,FiloSottile,30900,https://github.com/FiloSottile/mkcert
PowerShell,PowerShell,27700,https://github.com/PowerShell/PowerShell
nativefier,nativefier,27600,https://github.com/nativefier/nativefier
Motrix,agalwood,26700,https://github.com/agalwood/Motrix
sherlock,sherlock-project,26000,https://github.com/sherlock-project/sherlock
nylas-mail,nylas,24600,https://github.com/nylas/nylas-mail
linux-insides,0xAX,23000,https://github.com/0xAX/linux-insides
awesome-swift,matteocrippa,20900,https://github.com/matteocrippa/awesome-swift
marktext,marktext,19000,https://github.com/marktext/marktext
Ventoy,ventoy,19000,https://github.com/ventoy/Ventoy
docker_practice,yeasy,19000,https://github.com/yeasy/docker_practice
libgdx,libgdx,18600,https://github.com/libgdx/libgdx
notable,notable,18000,https://github.com/notable/notable
Boostnote,BoostIO,17400,https://github.com/BoostIO/Boostnote
linux-command,jaywcjlove,16300,https://github.com/jaywcjlove/linux-command
cool-retro-term,Swordfish90,14800,https://github.com/Swordfish90/cool-retro-term
electronic-wechat,geeeeeeeeek,13800,https://github.com/geeeeeeeeek/electronic-wechat
kivy,kivy,13200,https://github.com/kivy/kivy
xbmc,xbmc,12600,https://github.com/xbmc/xbmc
brook,txthinking,12400,https://github.com/txthinking/brook
devops-exercises,bregman-arie,11900,https://github.com/bregman-arie/devops-exercises
How-To-Secure-A-Linux-Server,imthenachoman,11500,https://github.com/imthenachoman/How-To-Secure-A-Linux-Server
gvisor,google,11400,https://github.com/google/gvisor
dockerfiles,jessfraz,11100,https://github.com/jessfraz/dockerfiles
macOS-Simple-KVM,foxlet,11100,https://github.com/foxlet/macOS-Simple-KVM
Mailspring,Foundry376,11000,https://github.com/Foundry376/Mailspring
electron-builder,electron-userland,10700,https://github.com/electron-userland/electron-builder
keepassxc,keepassxreboot,10700,https://github.com/keepassxreboot/keepassxc
openage,SFTtech,10400,https://github.com/SFTtech/openage
wasmer,wasmerio,10000,https://github.com/wasmerio/wasmer
ish,ish-app,10000,https://github.com/ish-app/ish
brave-browser,brave,9900,https://github.com/brave/brave-browser
Command-line-text-processing,learnbyexample,9600,https://github.com/learnbyexample/Command-line-text-processing
linux-dash,afaqurk,9600,https://github.com/afaqurk/linux-dash
OpenRCT2,OpenRCT2,9600,https://github.com/OpenRCT2/OpenRCT2
FreeCAD,FreeCAD,9600,https://github.com/FreeCAD/FreeCAD
YesPlayMusic,qier222,9000,https://github.com/qier222/YesPlayMusic
musicbox,darknessomi,9000,https://github.com/darknessomi/musicbox
polybar,polybar,8800,https://github.com/polybar/polybar
the-practical-linux-hardening-guide,trimstray,8700,https://github.com/trimstray/the-practical-linux-hardening-guide
lynis,CISOfy,8600,https://github.com/CISOfy/lynis
qt,therecipe,8600,https://github.com/therecipe/qt
vuls,future-architect,8600,https://github.com/future-architect/vuls
CS-Book,iamshuaidi,8500,https://github.com/iamshuaidi/CS-Book
ChakraCore,chakra-core,8500,https://github.com/chakra-core/ChakraCore
openFrameworks,openframeworks,8400,https://github.com/openframeworks/openFrameworks
PENTESTING-BIBLE,blaCCkHatHacEEkr,8400,https://github.com/blaCCkHatHacEEkr/PENTESTING-BIBLE
pdf,itdevbooks,8400,https://github.com/itdevbooks/pdf
