Repository Name,Username,Stars,URL
PythonRobotics,AtsushiSakai,12700,https://github.com/AtsushiSakai/PythonRobotics
formatjs,formatjs,12600,https://github.com/formatjs/formatjs
erpnext,frappe,9100,https://github.com/frappe/erpnext
SwiftGen,SwiftGen,7200,https://github.com/SwiftGen/SwiftGen
cartographer,cartographer-project,5600,https://github.com/cartographer-project/cartographer
js-lingui,lingui,3100,https://github.com/lingui/js-lingui
laravel-auth,jeremykenedy,2600,https://github.com/jeremykenedy/laravel-auth
weblate,WeblateOrg,2500,https://github.com/WeblateOrg/weblate
time-elements,github,2200,https://github.com/github/time-elements
ever-traduora,ever-co,1500,https://github.com/ever-co/ever-traduora
rtabmap,introlab,1500,https://github.com/introlab/rtabmap
LocalizationKit_iOS,willpowell8,1200,https://github.com/willpowell8/LocalizationKit_iOS
laravel-lang,overtrue,1200,https://github.com/overtrue/laravel-lang
iOSLocalizationEditor,igorkulman,1200,https://github.com/igorkulman/iOSLocalizationEditor
next-translate,vinissimus,1100,https://github.com/vinissimus/next-translate
BartyCrouch,Flinesoft,1100,https://github.com/Flinesoft/BartyCrouch
pontoon,mozilla,1000,https://github.com/mozilla/pontoon
parrot,parrot-translate,963,https://github.com/parrot-translate/parrot
loxodon-framework,vovgou,905,https://github.com/vovgou/loxodon-framework
fluent,projectfluent,861,https://github.com/projectfluent/fluent
Kimera-VIO,MIT-SPARK,830,https://github.com/MIT-SPARK/Kimera-VIO
CppRobotics,onlytailei,801,https://github.com/onlytailei/CppRobotics
frenchkiss.js,koala-interactive,776,https://github.com/koala-interactive/frenchkiss.js
mobility,shioyama,673,https://github.com/shioyama/mobility
fluent.js,projectfluent,656,https://github.com/projectfluent/fluent.js
adblockfast,rocketshipapps,597,https://github.com/rocketshipapps/adblockfast
workalendar,workalendar,597,https://github.com/workalendar/workalendar
Stringz,mohakapt,587,https://github.com/mohakapt/Stringz
xivo,ucla-vision,578,https://github.com/ucla-vision/xivo
intl-messageformat,formatjs,539,https://github.com/formatjs/intl-messageformat
fluent-rs,projectfluent,532,https://github.com/projectfluent/fluent-rs
Westwind.Globalization,RickStrahl,502,https://github.com/RickStrahl/Westwind.Globalization
cppreference2mshelp,myfreeer,487,https://github.com/myfreeer/cppreference2mshelp
libsurvive,cntools,485,https://github.com/cntools/libsurvive
odas,introlab,472,https://github.com/introlab/odas
easy_localization,aissat,470,https://github.com/aissat/easy_localization
Laravel-JS-Localization,rmariuzzo,465,https://github.com/rmariuzzo/Laravel-JS-Localization
ava-docs,avajs,463,https://github.com/avajs/ava-docs
