Repository Name,Username,Stars,URL
PRMLT,PRML,5200,https://github.com/PRML/PRMLT
Realtime_Multi-Person_Pose_Estimation,ZheC,4700,https://github.com/ZheC/Realtime_Multi-Person_Pose_Estimation
MathModel,zhanwen,2600,https://github.com/zhanwen/MathModel
arl,kaxap,1500,https://github.com/kaxap/arl
Lenia,Chakazul,1400,https://github.com/Chakazul/Lenia
Bilibili-plus,19PDP,1200,https://github.com/19PDP/Bilibili-plus
matlab2tikz,matlab2tikz,1100,https://github.com/matlab2tikz/matlab2tikz
Algorithms_MathModels,HuangCongQing,1100,https://github.com/HuangCongQing/Algorithms_MathModels
facerec,bytefish,929,https://github.com/bytefish/facerec
Image-feature-detection-using-Phase-Stretch-Transform,JalaliLabUCLA,814,https://github.com/JalaliLabUCLA/Image-feature-detection-using-Phase-Stretch-Transform
awesome-neuroscience,analyticalmonk,792,https://github.com/analyticalmonk/awesome-neuroscience
casadi,casadi,775,https://github.com/casadi/casadi
probabilistic_robotics,pptacher,771,https://github.com/pptacher/probabilistic_robotics
matlab-schemer,scottclowe,755,https://github.com/scottclowe/matlab-schemer
machine-learning-octave,trekhleb,674,https://github.com/trekhleb/machine-learning-octave
robotics-toolbox-matlab,petercorke,664,https://github.com/petercorke/robotics-toolbox-matlab
lrslibrary,andrewssobral,647,https://github.com/andrewssobral/lrslibrary
gramm,piermorel,567,https://github.com/piermorel/gramm
PlatEMO,BIMK,532,https://github.com/BIMK/PlatEMO
fieldtrip,fieldtrip,512,https://github.com/fieldtrip/fieldtrip
awesome_deep_learning_interpretability,oneTaken,456,https://github.com/oneTaken/awesome_deep_learning_interpretability
hctsa,benfulcher,434,https://github.com/benfulcher/hctsa
SuiteSparse,DrTimothyAldenDavis,428,https://github.com/DrTimothyAldenDavis/SuiteSparse
armadillo-code,conradsnicta,395,https://github.com/conradsnicta/armadillo-code
CBDNet,GuoShi28,373,https://github.com/GuoShi28/CBDNet
toolkit-legacy,votchallenge,362,https://github.com/votchallenge/toolkit-legacy
MATLABRobotics,AtsushiSakai,361,https://github.com/AtsushiSakai/MATLABRobotics
Change-Detection-Review,MinZHANG-WHU,345,https://github.com/MinZHANG-WHU/Change-Detection-Review
deeplearningsourceseparation,posenhuang,342,https://github.com/posenhuang/deeplearningsourceseparation
SRMD,cszn,342,https://github.com/cszn/SRMD
Bilibili346623,CodeSama346623,332,https://github.com/CodeSama346623/Bilibili346623
colormap-shaders,kbinani,331,https://github.com/kbinani/colormap-shaders
segyio,equinor,315,https://github.com/equinor/segyio
CurvatureFilter,YuanhaoGong,293,https://github.com/YuanhaoGong/CurvatureFilter
OptimizedImageEnhance,IsaacChanghau,292,https://github.com/IsaacChanghau/OptimizedImageEnhance
BTCpredictor,panditanvita,285,https://github.com/panditanvita/BTCpredictor
DynamixelSDK,ROBOTIS-GIT,285,https://github.com/ROBOTIS-GIT/DynamixelSDK
DeepSqueak,DrCoffey,272,https://github.com/DrCoffey/DeepSqueak
MBeautifier,davidvarga,272,https://github.com/davidvarga/MBeautifier
YALMIP,yalmip,271,https://github.com/yalmip/YALMIP
2016_person_re-ID,layumi,254,https://github.com/layumi/2016_person_re-ID
HDR_Toolbox,banterle,251,https://github.com/banterle/HDR_Toolbox
plotly-graphing-library-for-matlab,plotly,249,https://github.com/plotly/plotly-graphing-library-for-matlab
LightNet,yechengxi,249,https://github.com/yechengxi/LightNet
Image-Text-Embedding,layumi,236,https://github.com/layumi/Image-Text-Embedding
deeplearning_cv_notes,jayboxyz,236,https://github.com/jayboxyz/deeplearning_cv_notes
TIGRE,CERN,236,https://github.com/CERN/TIGRE
Pedestrian_Alignment,layumi,226,https://github.com/layumi/Pedestrian_Alignment
Peroxide,Axect,224,https://github.com/Axect/Peroxide
brainstorm3,brainstorm-tools,224,https://github.com/brainstorm-tools/brainstorm3
3DMMasSTN,anilbas,223,https://github.com/anilbas/3DMMasSTN
TCDCN-face-alignment,zhzhanp,218,https://github.com/zhzhanp/TCDCN-face-alignment
matio,tbeu,216,https://github.com/tbeu/matio
matlabPlotCheatsheet,Pjer-zhang,210,https://github.com/Pjer-zhang/matlabPlotCheatsheet
jsonlab,fangq,210,https://github.com/fangq/jsonlab
MATLAB-Octave,TheAlgorithms,204,https://github.com/TheAlgorithms/MATLAB-Octave
CaImAn-MATLAB,flatironinstitute,192,https://github.com/flatironinstitute/CaImAn-MATLAB
MachineLearning_Ng,HuangCongQing,188,https://github.com/HuangCongQing/MachineLearning_Ng
ANMS-Codes,BAILOOL,187,https://github.com/BAILOOL/ANMS-Codes
Vehicle_Detection_Recognition,ChenJoya,184,https://github.com/ChenJoya/Vehicle_Detection_Recognition
matGeom,mattools,178,https://github.com/mattools/matGeom
erplab,lucklab,175,https://github.com/lucklab/erplab
cnnimageretrieval,filipradenovic,171,https://github.com/filipradenovic/cnnimageretrieval
bads,lacerbi,166,https://github.com/lacerbi/bads
openAlgo,mtompkins,165,https://github.com/mtompkins/openAlgo
NMFLibrary,hiroyuki-kasai,165,https://github.com/hiroyuki-kasai/NMFLibrary
dPCA,machenslab,163,https://github.com/machenslab/dPCA
robotcar-dataset-sdk,ori-mrg,161,https://github.com/ori-mrg/robotcar-dataset-sdk
Awesome-Denoise,oneTaken,161,https://github.com/oneTaken/Awesome-Denoise
mtex,mtex-toolbox,160,https://github.com/mtex-toolbox/mtex
Fall-Detection,harishrithish7,158,https://github.com/harishrithish7/Fall-Detection
Stereo-Odometry-SOFT,Mayankm96,157,https://github.com/Mayankm96/Stereo-Odometry-SOFT
MSS,cybergalactic,157,https://github.com/cybergalactic/MSS
Miscellaneous-R-Code,m-clark,156,https://github.com/m-clark/Miscellaneous-R-Code
revisitop,filipradenovic,153,https://github.com/filipradenovic/revisitop
audio-steganography-algorithms,ktekeli,152,https://github.com/ktekeli/audio-steganography-algorithms
genetic-algorithm,Shuai-Xie,150,https://github.com/Shuai-Xie/genetic-algorithm
jidt,jlizier,147,https://github.com/jlizier/jidt
RobustPCA,dlaptev,144,https://github.com/dlaptev/RobustPCA
panorama,yihui-he,144,https://github.com/yihui-he/panorama
machinevision-toolbox-matlab,petercorke,141,https://github.com/petercorke/machinevision-toolbox-matlab
SGDLibrary,hiroyuki-kasai,137,https://github.com/hiroyuki-kasai/SGDLibrary
vbmc,lacerbi,136,https://github.com/lacerbi/vbmc
featool-multiphysics,precise-simulation,133,https://github.com/precise-simulation/featool-multiphysics
2015_Face_Detection,layumi,133,https://github.com/layumi/2015_Face_Detection
DeepCO3,KuangJuiHsu,131,https://github.com/KuangJuiHsu/DeepCO3
nfft,NFFT,129,https://github.com/NFFT/nfft
Smart-Algorithm,LiYangSir,123,https://github.com/LiYangSir/Smart-Algorithm
project-pages,projectpages,123,https://github.com/projectpages/project-pages
vscode-matlab,Gimly,121,https://github.com/Gimly/vscode-matlab
imatlab,imatlab,120,https://github.com/imatlab/imatlab
Robotics-Planning-Dynamics-and-Control,YashBansod,118,https://github.com/YashBansod/Robotics-Planning-Dynamics-and-Control
L1Stabilizer,ishit,116,https://github.com/ishit/L1Stabilizer
MIToolbox,Craigacp,113,https://github.com/Craigacp/MIToolbox
paramonte,cdslaborg,112,https://github.com/cdslaborg/paramonte
shadedErrorBar,raacampbell,110,https://github.com/raacampbell/shadedErrorBar
