Repository Name,Username,Stars,URL
tensorflow,tensorflow,157000,https://github.com/tensorflow/tensorflow
keras,keras-team,51900,https://github.com/keras-team/keras
pytorch,pytorch,49500,https://github.com/pytorch/pytorch
scikit-learn,scikit-learn,46400,https://github.com/scikit-learn/scikit-learn
TensorFlow-Examples,aymericdamien,40900,https://github.com/aymericdamien/TensorFlow-Examples
tesseract,tesseract-ocr,40700,https://github.com/tesseract-ocr/tesseract
face_recognition,ageitgey,40700,https://github.com/ageitgey/face_recognition
faceswap,deepfakes,37700,https://github.com/deepfakes/faceswap
awesome-scalability,binhnguyennus,34800,https://github.com/binhnguyennus/awesome-scalability
julia,JuliaLang,34300,https://github.com/JuliaLang/julia
100-Days-Of-ML-Code,Avik-Jain,32500,https://github.com/Avik-Jain/100-Days-Of-ML-Code
caffe,BVLC,31800,https://github.com/BVLC/caffe
MadeWithML,GokuMohandas,26800,https://github.com/GokuMohandas/MadeWithML
machine-learning-for-software-engineers,ZuzooVn,25200,https://github.com/ZuzooVn/machine-learning-for-software-engineers
d2l-zh,d2l-ai,24700,https://github.com/d2l-ai/d2l-zh
cs-video-courses,Developer-Y,23700,https://github.com/Developer-Y/cs-video-courses
handson-ml,ageron,23100,https://github.com/ageron/handson-ml
awesome-deep-learning-papers,terryum,23000,https://github.com/terryum/awesome-deep-learning-papers
Coursera-ML-AndrewNg-Notes,fengdu78,22300,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes
openpose,CMU-Perceptual-Computing-Lab,21400,https://github.com/CMU-Perceptual-Computing-Lab/openpose
data-science-ipython-notebooks,donnemartin,21300,https://github.com/donnemartin/data-science-ipython-notebooks
xgboost,dmlc,21300,https://github.com/dmlc/xgboost
fastai,fastai,21100,https://github.com/fastai/fastai
spaCy,explosion,20900,https://github.com/explosion/spaCy
ML-From-Scratch,eriklindernoren,20000,https://github.com/eriklindernoren/ML-From-Scratch
NLP-progress,sebastianruder,18800,https://github.com/sebastianruder/NLP-progress
google-research,google-research,18400,https://github.com/google-research/google-research
homemade-machine-learning,trekhleb,18000,https://github.com/trekhleb/homemade-machine-learning
DeepSpeech,mozilla,17700,https://github.com/mozilla/DeepSpeech
pumpkin-book,datawhalechina,17600,https://github.com/datawhalechina/pumpkin-book
awesome-deep-learning,ChristosChristofidis,17400,https://github.com/ChristosChristofidis/awesome-deep-learning
CNTK,microsoft,17000,https://github.com/microsoft/CNTK
awesome-datascience,academic,16700,https://github.com/academic/awesome-datascience
ray,ray-project,16600,https://github.com/ray-project/ray
100-Days-Of-ML-Code,MLEveryday,16500,https://github.com/MLEveryday/100-Days-Of-ML-Code
WaveFunctionCollapse,mxgmn,16300,https://github.com/mxgmn/WaveFunctionCollapse
Paddle,PaddlePaddle,16000,https://github.com/PaddlePaddle/Paddle
tfjs,tensorflow,15300,https://github.com/tensorflow/tfjs
streamlit,streamlit,15200,https://github.com/streamlit/streamlit
pwc,zziz,15200,https://github.com/zziz/pwc
netron,lutzroeder,15100,https://github.com/lutzroeder/netron
lectures,oxford-cs-deepnlp-2017,15000,https://github.com/oxford-cs-deepnlp-2017/lectures
pytorch-handbook,zergtant,14800,https://github.com/zergtant/pytorch-handbook
pytorch-lightning,PyTorchLightning,14500,https://github.com/PyTorchLightning/pytorch-lightning
learnopencv,spmallick,14200,https://github.com/spmallick/learnopencv
cheatsheets-ai,kailashahirwar,13900,https://github.com/kailashahirwar/cheatsheets-ai
yolov5,ultralytics,13700,https://github.com/ultralytics/yolov5
gun,amark,13600,https://github.com/amark/gun
Qix,ty4z2008,13600,https://github.com/ty4z2008/Qix
C-Plus-Plus,TheAlgorithms,13400,https://github.com/TheAlgorithms/C-Plus-Plus
Screenshot-to-code,emilwallner,13400,https://github.com/emilwallner/Screenshot-to-code
AI-Expert-Roadmap,AMAI-GmbH,13300,https://github.com/AMAI-GmbH/AI-Expert-Roadmap
shap,slundberg,13200,https://github.com/slundberg/shap
Virgilio,virgili0,13100,https://github.com/virgili0/Virgilio
mediapipe,google,13000,https://github.com/google/mediapipe
fastbook,fastai,12900,https://github.com/fastai/fastbook
LightGBM,microsoft,12700,https://github.com/microsoft/LightGBM
stanford-cs-229-machine-learning,afshinea,12300,https://github.com/afshinea/stanford-cs-229-machine-learning
gensim,RaRe-Technologies,12200,https://github.com/RaRe-Technologies/gensim
awesome-nlp,keon,12100,https://github.com/keon/awesome-nlp
EasyOCR,JaidedAI,12000,https://github.com/JaidedAI/EasyOCR
Awesome-pytorch-list,bharathgs,12000,https://github.com/bharathgs/Awesome-pytorch-list
awesome-kubernetes,ramitsurana,11800,https://github.com/ramitsurana/awesome-kubernetes
rasa,RasaHQ,11700,https://github.com/RasaHQ/rasa
imgaug,aleju,11500,https://github.com/aleju/imgaug
horovod,horovod,11400,https://github.com/horovod/horovod
Machine-Learning-Tutorials,ujjwalkarn,11400,https://github.com/ujjwalkarn/Machine-Learning-Tutorials
tensor2tensor,tensorflow,11400,https://github.com/tensorflow/tensor2tensor
ChatterBot,gunthercox,11300,https://github.com/gunthercox/ChatterBot
python-machine-learning-book,rasbt,11300,https://github.com/rasbt/python-machine-learning-book
applied-ml,eugeneyan,11100,https://github.com/eugeneyan/applied-ml
onnx,onnx,10900,https://github.com/onnx/onnx
nsfw_data_scraper,alex000kim,10800,https://github.com/alex000kim/nsfw_data_scraper
the-gan-zoo,hindupuravinash,10700,https://github.com/hindupuravinash/the-gan-zoo
dive-into-machine-learning,hangtwenty,10600,https://github.com/hangtwenty/dive-into-machine-learning
recommenders,microsoft,10600,https://github.com/microsoft/recommenders
flair,flairNLP,10600,https://github.com/flairNLP/flair
kubeflow,kubeflow,10500,https://github.com/kubeflow/kubeflow
d2l-en,d2l-ai,10400,https://github.com/d2l-ai/d2l-en
ML-For-Beginners,microsoft,10400,https://github.com/microsoft/ML-For-Beginners
turicreate,apple,10300,https://github.com/apple/turicreate
dlib,davisking,10300,https://github.com/davisking/dlib
numpy-ml,ddbourgin,10100,https://github.com/ddbourgin/numpy-ml
stanford-tensorflow-tutorials,chiphuyen,10000,https://github.com/chiphuyen/stanford-tensorflow-tutorials
nltk,nltk,10000,https://github.com/nltk/nltk
nni,microsoft,9900,https://github.com/microsoft/nni
mlflow,mlflow,9800,https://github.com/mlflow/mlflow
C,TheAlgorithms,9800,https://github.com/TheAlgorithms/C
caire,esimov,9600,https://github.com/esimov/caire
tflearn,tflearn,9600,https://github.com/tflearn/tflearn
ML-NLP,NLP-LOVE,9500,https://github.com/NLP-LOVE/ML-NLP
awesome-aws,donnemartin,9500,https://github.com/donnemartin/awesome-aws
mit-deep-learning-book-pdf,janishar,9400,https://github.com/janishar/mit-deep-learning-book-pdf
vision,pytorch,9400,https://github.com/pytorch/vision
awesome-production-machine-learning,EthicalML,9400,https://github.com/EthicalML/awesome-production-machine-learning
bert-as-service,hanxiao,9400,https://github.com/hanxiao/bert-as-service
deep-learning-drizzle,kmario23,9400,https://github.com/kmario23/deep-learning-drizzle
fashion-mnist,zalandoresearch,9300,https://github.com/zalandoresearch/fashion-mnist
tutorials,MorvanZhou,9300,https://github.com/MorvanZhou/tutorials
Halfrost-Field,halfrost,9200,https://github.com/halfrost/Halfrost-Field
sonnet,deepmind,8900,https://github.com/deepmind/sonnet
argo-workflows,argoproj,8800,https://github.com/argoproj/argo-workflows
TensorFlow-Tutorials,Hvass-Labs,8800,https://github.com/Hvass-Labs/TensorFlow-Tutorials
EffectiveTensorflow,vahidk,8700,https://github.com/vahidk/EffectiveTensorflow
mit-deep-learning,lexfridman,8700,https://github.com/lexfridman/mit-deep-learning
MLAlgorithms,rushter,8600,https://github.com/rushter/MLAlgorithms
tfjs-core,tensorflow,8500,https://github.com/tensorflow/tfjs-core
caffe2,facebookarchive,8400,https://github.com/facebookarchive/caffe2
Winds,GetStream,8400,https://github.com/GetStream/Winds
albumentations,albumentations-team,8400,https://github.com/albumentations-team/albumentations
dvc,iterative,8300,https://github.com/iterative/dvc
GamestonkTerminal,GamestonkTerminal,8200,https://github.com/GamestonkTerminal/GamestonkTerminal
tpot,EpistasisLab,8100,https://github.com/EpistasisLab/tpot
abu,bbfamily,8100,https://github.com/bbfamily/abu
autokeras,keras-team,8100,https://github.com/keras-team/autokeras
numerical-linear-algebra,fastai,8000,https://github.com/fastai/numerical-linear-algebra
pattern,clips,8000,https://github.com/clips/pattern
computervision-recipes,microsoft,7800,https://github.com/microsoft/computervision-recipes
ludwig,ludwig-ai,7800,https://github.com/ludwig-ai/ludwig
mlcourse.ai,Yorko,7700,https://github.com/Yorko/mlcourse.ai
