Repository Name,Username,Stars,URL
mastodon,mastodon,24400,https://github.com/mastodon/mastodon
Twidere-Android,TwidereProject,2400,https://github.com/TwidereProject/Twidere-Android
documentation,mastodon,1400,https://github.com/mastodon/documentation
Tusky,tuskyapp,1100,https://github.com/tuskyapp/Tusky
pinafore,nolanlawson,581,https://github.com/nolanlawson/pinafore
whalebird-desktop,h3poteto,543,https://github.com/h3poteto/whalebird-desktop
toot,ihabunek,474,https://github.com/ihabunek/toot
rustodon,rustodon,450,https://github.com/rustodon/rustodon
pingme,kha7iq,408,https://github.com/kha7iq/pingme
aardwolf,Aardwolf-Social,393,https://github.com/Aardwolf-Social/aardwolf
Mstdn,rhysd,392,https://github.com/rhysd/Mstdn
dockerfiles,Wonderfall,388,https://github.com/Wonderfall/dockerfiles
awesome-mastodon,tleb,348,https://github.com/tleb/awesome-mastodon
mastodon-twitter-poster,renatolond,347,https://github.com/renatolond/mastodon-twitter-poster
tootle,bleakgrey,329,https://github.com/bleakgrey/tootle
social,nextcloud,321,https://github.com/nextcloud/social
go-mastodon,mattn,315,https://github.com/mattn/go-mastodon
self-hosted-docker-server-templates,norweeg,248,https://github.com/norweeg/self-hosted-docker-server-templates
moa,FedStoa,240,https://github.com/FedStoa/moa
tootstream,magicalraccoon,232,https://github.com/magicalraccoon/tootstream
mastodon-bot,yogthos,161,https://github.com/yogthos/mastodon-bot
sengi,NicolasConstant,152,https://github.com/NicolasConstant/sengi
mastodon.el,jdenen,152,https://github.com/jdenen/mastodon.el
gotosocial,superseriousbusiness,150,https://github.com/superseriousbusiness/gotosocial
GuideToMastodon,joyeusenoelle,145,https://github.com/joyeusenoelle/GuideToMastodon
TheDesk,cutls,142,https://github.com/cutls/TheDesk
brutaldon,jfmcbrayer,140,https://github.com/jfmcbrayer/brutaldon
wayback,wabarc,139,https://github.com/wabarc/wayback
hyperspace,hyperspacedev,137,https://github.com/hyperspacedev/hyperspace
MastodonKit,MastodonKit,136,https://github.com/MastodonKit/MastodonKit
madonctl,McKael,132,https://github.com/McKael/madonctl
wordpress-activitypub,pfefferle,131,https://github.com/pfefferle/wordpress-activitypub
tsuru,tsuruclient,126,https://github.com/tsuruclient/tsuru
SubwayTooter,tateisu,125,https://github.com/tateisu/SubwayTooter
go-blurhash,buckket,124,https://github.com/buckket/go-blurhash
tooty,n1k0,124,https://github.com/n1k0/tooty
mastodon-api,mastodon,122,https://github.com/mastodon/mastodon-api
forget,codl,120,https://github.com/codl/forget
Gakki,shuiRong,119,https://github.com/shuiRong/Gakki
the-federation.info,thefederationinfo,114,https://github.com/thefederationinfo/the-federation.info
mastodon-instances,TheKinrar,105,https://github.com/TheKinrar/mastodon-instances
microstatus,Arkanosis,100,https://github.com/Arkanosis/microstatus
naumanni,naumanni,95,https://github.com/naumanni/naumanni
feedpushr,ncarlier,93,https://github.com/ncarlier/feedpushr
ShareXin,ShareXin,89,https://github.com/ShareXin/ShareXin
mastodon-api,vanita5,89,https://github.com/vanita5/mastodon-api
node-mastodon,hylyh,86,https://github.com/hylyh/node-mastodon
stacks,ethibox,86,https://github.com/ethibox/stacks
metatext,metabolist,84,https://github.com/metabolist/metatext
flodgatt,mastodon,80,https://github.com/mastodon/flodgatt
mastodon-terraform,r7kamura,79,https://github.com/r7kamura/mastodon-terraform
gobo,mitmedialab,79,https://github.com/mitmedialab/gobo
tooter,ineffyble,75,https://github.com/ineffyble/tooter
iMast,cinderella-project,74,https://github.com/cinderella-project/iMast
indigenous-android,swentel,73,https://github.com/swentel/indigenous-android
tootbot,corbindavenport,65,https://github.com/corbindavenport/tootbot
Pixelcat,pixelcatapp,63,https://github.com/pixelcatapp/Pixelcat
megalodon,h3poteto,58,https://github.com/h3poteto/megalodon
go-blurhash,bbrks,56,https://github.com/bbrks/go-blurhash
masto.js,neet,56,https://github.com/neet/masto.js
Flantter,cucmberium,55,https://github.com/cucmberium/Flantter
awesome-fediverse,emilebosch,54,https://github.com/emilebosch/awesome-fediverse
Activity-Relay,yukimochi,54,https://github.com/yukimochi/Activity-Relay
mastodon-twitter-sync,klausi,52,https://github.com/klausi/mastodon-twitter-sync
social-media-hacker-list,MobileFirstLLC,52,https://github.com/MobileFirstLLC/social-media-hacker-list
mastodon_ynh,YunoHost-Apps,51,https://github.com/YunoHost-Apps/mastodon_ynh
mastodon-bridge,mastodon,51,https://github.com/mastodon/mastodon-bridge
emuarius,emersion,49,https://github.com/emersion/emuarius
mastofeed,fenwick67,49,https://github.com/fenwick67/mastofeed
Nautilus,aaronpk,47,https://github.com/aaronpk/Nautilus
ananas,chr-1x,47,https://github.com/chr-1x/ananas
