Repository Name,Username,Stars,URL
flutter,flutter,125000,https://github.com/flutter/flutter
material-ui,mui-org,69700,https://github.com/mui-org/material-ui
ionic-framework,ionic-team,44900,https://github.com/ionic-team/ionic-framework
material-design-icons,google,43300,https://github.com/google/material-design-icons
materialize,Dogfalo,38500,https://github.com/Dogfalo/materialize
awesome-flutter,Solido,36500,https://github.com/Solido/awesome-flutter
material-design-lite,google,31800,https://github.com/google/material-design-lite
vuetify,vuetifyjs,31400,https://github.com/vuetifyjs/vuetify
components,angular,21600,https://github.com/angular/components
mdb-ui-kit,mdbootstrap,21300,https://github.com/mdbootstrap/mdb-ui-kit
Hero,HeroTransitions,20200,https://github.com/HeroTransitions/Hero
quasar,quasarframework,19000,https://github.com/quasarframework/quasar
material-dialogs,afollestad,18900,https://github.com/afollestad/material-dialogs
material,angular,16700,https://github.com/angular/material
framework7,framework7io,16300,https://github.com/framework7io/framework7
material-components-web,material-components,15600,https://github.com/material-components/material-components-web
FlutterExampleApps,iampawan,14800,https://github.com/iampawan/FlutterExampleApps
design-blocks,froala,13300,https://github.com/froala/design-blocks
material-components-android,material-components,12600,https://github.com/material-components/material-components-android
Material,CosmicMind,11800,https://github.com/CosmicMind/Material
MaterialDrawer,mikepenz,11400,https://github.com/mikepenz/MaterialDrawer
material-theme,equinusocio,11100,https://github.com/equinusocio/material-theme
MaterialDesignInXamlToolkit,MaterialDesignInXAML,11000,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
bootstrap-table,wenzhixin,10900,https://github.com/wenzhixin/bootstrap-table
animated-tab-bar,Ramotion,10800,https://github.com/Ramotion/animated-tab-bar
folding-cell,Ramotion,10000,https://github.com/Ramotion/folding-cell
AppIntro,AppIntro,9800,https://github.com/AppIntro/AppIntro
material-dashboard,creativetimofficial,9800,https://github.com/creativetimofficial/material-dashboard
Android-ObservableScrollView,ksoichiro,9600,https://github.com/ksoichiro/Android-ObservableScrollView
material-design-for-bootstrap,mdbootstrap,9500,https://github.com/mdbootstrap/material-design-for-bootstrap
vue-material,vuematerial,9400,https://github.com/vuematerial/vue-material
MaterialDesign,Templarian,9200,https://github.com/Templarian/MaterialDesign
MaterialDesignLibrary,navasmdc,9100,https://github.com/navasmdc/MaterialDesignLibrary
react-toolbox,react-toolbox,8700,https://github.com/react-toolbox/react-toolbox
BottomBar,roughike,8400,https://github.com/roughike/BottomBar
Android_Data,Freelander,8400,https://github.com/Freelander/Android_Data
react-native-paper,callstack,8200,https://github.com/callstack/react-native-paper
mkdocs-material,squidfunk,7000,https://github.com/squidfunk/mkdocs-material
Timber,naman14,6600,https://github.com/naman14/Timber
material-shell,material-shell,5900,https://github.com/material-shell/material-shell
material-kit,creativetimofficial,5600,https://github.com/creativetimofficial/material-kit
JFoenix,sshahine,5600,https://github.com/sshahine/JFoenix
expanding-collection,Ramotion,5400,https://github.com/Ramotion/expanding-collection
Alerter,Tapadoo,5100,https://github.com/Tapadoo/Alerter
TapTargetView,KeepSafe,5000,https://github.com/KeepSafe/TapTargetView
folding-cell-android,Ramotion,4800,https://github.com/Ramotion/folding-cell-android
Android-Iconics,mikepenz,4800,https://github.com/mikepenz/Android-Iconics
react-native-material-kit,xinthink,4800,https://github.com/xinthink/react-native-material-kit
MaterialDateTimePicker,wdullaer,4600,https://github.com/wdullaer/MaterialDateTimePicker
Douya,zhanghai,4500,https://github.com/zhanghai/Douya
material-components-ios,material-components,4400,https://github.com/material-components/material-components-ios
BottomNavigation,Ashok-Varma,4300,https://github.com/Ashok-Varma/BottomNavigation
Keen-UI,JosephusPaye,4000,https://github.com/JosephusPaye/Keen-UI
react-native-material-ui,xotahal,3700,https://github.com/xotahal/react-native-material-ui
pickr,Simonwep,3600,https://github.com/Simonwep/pickr
floatingsearchview,arimorty,3500,https://github.com/arimorty/floatingsearchview
hexo-theme-matery,blinkfox,3500,https://github.com/blinkfox/hexo-theme-matery
GeekNews,codeestX,3500,https://github.com/codeestX/GeekNews
AmazeFileManager,TeamAmaze,3400,https://github.com/TeamAmaze/AmazeFileManager
qksms,moezbhatti,3300,https://github.com/moezbhatti/qksms
materia-theme,nana-4,3100,https://github.com/nana-4/materia-theme
andOTP,andOTP,3100,https://github.com/andOTP/andOTP
hexo-theme-fluid,fluid-dev,3000,https://github.com/fluid-dev/hexo-theme-fluid
Carbon,ZieIony,2900,https://github.com/ZieIony/Carbon
TableView,evrencoskun,2800,https://github.com/evrencoskun/TableView
T-MVP,north2016,2700,https://github.com/north2016/T-MVP
hexo-theme-indigo,yscoder,2700,https://github.com/yscoder/hexo-theme-indigo
material-intro-screen,TangoAgency,2700,https://github.com/TangoAgency/material-intro-screen
PagerBottomTabStrip,tyzlmjj,2700,https://github.com/tyzlmjj/PagerBottomTabStrip
PatternLockView,aritraroy,2600,https://github.com/aritraroy/PatternLockView
nice-spinner,arcadefire,2600,https://github.com/arcadefire/nice-spinner
DiagonalLayout,florent37,2600,https://github.com/florent37/DiagonalLayout
MaterialChipsInput,pchmn,2600,https://github.com/pchmn/MaterialChipsInput
Phonograph,kabouzeid,2500,https://github.com/kabouzeid/Phonograph
angular-ngrx-material-starter,tomastrajan,2500,https://github.com/tomastrajan/angular-ngrx-material-starter
MatBlazor,SamProf,2500,https://github.com/SamProf/MatBlazor
Awesome-WanAndroid,JsonChao,2500,https://github.com/JsonChao/Awesome-WanAndroid
NeteaseCloudWebApp,javaSwing,2400,https://github.com/javaSwing/NeteaseCloudWebApp
Twidere-Android,TwidereProject,2400,https://github.com/TwidereProject/Twidere-Android
ListenerMusicPlayer,hefuyicoder,2400,https://github.com/hefuyicoder/ListenerMusicPlayer
django-material,viewflow,2300,https://github.com/viewflow/django-material
MaterialSkin,IgnaceMaes,2300,https://github.com/IgnaceMaes/MaterialSkin
dotsindicator,tommybuonomo,2300,https://github.com/tommybuonomo/dotsindicator
react-md,mlaursen,2200,https://github.com/mlaursen/react-md
material-start,angular,2200,https://github.com/angular/material-start
covalent,Teradata,2200,https://github.com/Teradata/covalent
MusicLake,caiyonglong,2200,https://github.com/caiyonglong/MusicLake
MaterialStepperView,fython,2200,https://github.com/fython/MaterialStepperView
notistack,iamhosseindhv,2200,https://github.com/iamhosseindhv/notistack
MaterialProgressBar,zhanghai,2100,https://github.com/zhanghai/MaterialProgressBar
Minimal-Todo,avjinder,2000,https://github.com/avjinder/Minimal-Todo
MaterialRatingBar,zhanghai,1900,https://github.com/zhanghai/MaterialRatingBar
material-design-data,Luosunce,1900,https://github.com/Luosunce/material-design-data
garland-view-android,Ramotion,1800,https://github.com/Ramotion/garland-view-android
material-dashboard-react,creativetimofficial,1800,https://github.com/creativetimofficial/material-dashboard-react
smooth-app-bar-layout,henrytao-me,1800,https://github.com/henrytao-me/smooth-app-bar-layout
Splitties,LouisCAD,1800,https://github.com/LouisCAD/Splitties
svelte-material-ui,hperrin,1800,https://github.com/hperrin/svelte-material-ui
devextreme-reactive,DevExpress,1700,https://github.com/DevExpress/devextreme-reactive
material-intro,heinrichreimer,1700,https://github.com/heinrichreimer/material-intro
angular-filemanager,joni2back,1700,https://github.com/joni2back/angular-filemanager
Motion,CosmicMind,1700,https://github.com/CosmicMind/Motion
iterm2-material-design,MartinSeeler,1700,https://github.com/MartinSeeler/iterm2-material-design
SlideUp-Android,mancj,1600,https://github.com/mancj/SlideUp-Android
KeePassDX,Kunzisoft,1600,https://github.com/Kunzisoft/KeePassDX
FancyShowCaseView,faruktoptas,1600,https://github.com/faruktoptas/FancyShowCaseView
KingTV,jenly1314,1600,https://github.com/jenly1314/KingTV
PhotoNoter,yydcdut,1600,https://github.com/yydcdut/PhotoNoter
mui-treasury,siriwatknp,1600,https://github.com/siriwatknp/mui-treasury
material-sheet-fab,gowong,1600,https://github.com/gowong/material-sheet-fab
vsc-material-theme,material-theme,1600,https://github.com/material-theme/vsc-material-theme
porn-vault,porn-vault,1500,https://github.com/porn-vault/porn-vault
MaterialAbout,jrvansuita,1500,https://github.com/jrvansuita/MaterialAbout
Voice,PaulWoitaschek,1500,https://github.com/PaulWoitaschek/Voice
MaterialTextField,florent37,1500,https://github.com/florent37/MaterialTextField
bubble-navigation,gauravk95,1500,https://github.com/gauravk95/bubble-navigation
MaterialTapTargetPrompt,sjwall,1400,https://github.com/sjwall/MaterialTapTargetPrompt
MaterialDesignDemo,Eajy,1400,https://github.com/Eajy/MaterialDesignDemo
icon-workshop,zhanghuanchong,1400,https://github.com/zhanghuanchong/icon-workshop
material-design-dimens,DmitryMalkovich,1400,https://github.com/DmitryMalkovich/material-design-dimens
