Repository Name,Username,Stars,URL
jib,GoogleContainerTools,10800,https://github.com/GoogleContainerTools/jib
javacv,bytedeco,5200,https://github.com/bytedeco/javacv
shopping-management-system,zhanglei-workspace,3900,https://github.com/zhanglei-workspace/shopping-management-system
hope-boot,java-aodeng,3200,https://github.com/java-aodeng/hope-boot
kotlin-examples,Kotlin,3000,https://github.com/Kotlin/kotlin-examples
maven,apache,2700,https://github.com/apache/maven
docker-maven-plugin,spotify,2600,https://github.com/spotify/docker-maven-plugin
TelegramBots,rubenlagus,2500,https://github.com/rubenlagus/TelegramBots
dockerfile-maven,spotify,2500,https://github.com/spotify/dockerfile-maven
My-Blog,ZHENFENG13,2200,https://github.com/ZHENFENG13/My-Blog
jitpack.io,jitpack,2100,https://github.com/jitpack/jitpack.io
spotless,diffplug,2000,https://github.com/diffplug/spotless
javacpp-presets,bytedeco,1900,https://github.com/bytedeco/javacpp-presets
spring-boot-quick,vector4wang,1700,https://github.com/vector4wang/spring-boot-quick
PublicCMS,sanluan,1700,https://github.com/sanluan/PublicCMS
webdrivermanager,bonigarcia,1600,https://github.com/bonigarcia/webdrivermanager
ssm-demo,ZHENFENG13,1600,https://github.com/ZHENFENG13/ssm-demo
iBase4J,iBase4J,1500,https://github.com/iBase4J/iBase4J
kft-activiti-demo,henryyan,1500,https://github.com/henryyan/kft-activiti-demo
docker-maven-plugin,fabric8io,1500,https://github.com/fabric8io/docker-maven-plugin
git-commit-id-maven-plugin,git-commit-id,1200,https://github.com/git-commit-id/git-commit-id-maven-plugin
aliyun-openapi-java-sdk,aliyun,1200,https://github.com/aliyun/aliyun-openapi-java-sdk
Android-Cookbook-Examples,IanDarwin,940,https://github.com/IanDarwin/Android-Cookbook-Examples
cas-overlay-template,apereo,898,https://github.com/apereo/cas-overlay-template
scala-steward,scala-steward-org,851,https://github.com/scala-steward-org/scala-steward
elements-of-programming-interviews,gardncl,786,https://github.com/gardncl/elements-of-programming-interviews
javafx-maven-plugin,javafx-maven-plugin,775,https://github.com/javafx-maven-plugin/javafx-maven-plugin
ok-gradle,scana,668,https://github.com/scana/ok-gradle
spock-example,spockframework,619,https://github.com/spockframework/spock-example
perfect-ssm,ZHENFENG13,619,https://github.com/ZHENFENG13/perfect-ssm
kubernetes-for-java-developers,aws-samples,524,https://github.com/aws-samples/kubernetes-for-java-developers
java-sdk,Baidu-AIP,505,https://github.com/Baidu-AIP/java-sdk
gradle-maven-publish-plugin,vanniktech,493,https://github.com/vanniktech/gradle-maven-publish-plugin
CookBook,Byron4j,489,https://github.com/Byron4j/CookBook
strongbox,strongbox,433,https://github.com/strongbox/strongbox
shop,lrwinx,425,https://github.com/lrwinx/shop
Selenium-Maven-Template,Ardesco,412,https://github.com/Ardesco/Selenium-Maven-Template
hahu,fanchaoo,411,https://github.com/fanchaoo/hahu
highdsa,Humsen,395,https://github.com/Humsen/highdsa
ms-backend-boilerplates,wx-chevalier,392,https://github.com/wx-chevalier/ms-backend-boilerplates
nguSeckill,nnngu,390,https://github.com/nnngu/nguSeckill
samples,openjfx,388,https://github.com/openjfx/samples
luaunit,bluebird75,384,https://github.com/bluebird75/luaunit
proguard-maven-plugin,wvengen,374,https://github.com/wvengen/proguard-maven-plugin
aem-project-archetype,adobe,363,https://github.com/adobe/aem-project-archetype
