Repository Name,Username,Stars,URL
Craft,fogleman,8700,https://github.com/fogleman/Craft
crouton,dnschneid,7800,https://github.com/dnschneid/crouton
MinecraftForge,MinecraftForge,4800,https://github.com/MinecraftForge/MinecraftForge
tiler,nuno-faria,4600,https://github.com/nuno-faria/tiler
Paper,PaperMC,4300,https://github.com/PaperMC/Paper
cuberite,cuberite,3800,https://github.com/cuberite/cuberite
baritone,cabaletta,3200,https://github.com/cabaletta/baritone
HMCL,huanghongxun,3000,https://github.com/huanghongxun/HMCL
PocketMine-MP,pmmp,2400,https://github.com/pmmp/PocketMine-MP
Geyser,GeyserMC,2400,https://github.com/GeyserMC/Geyser
MultiMC5,MultiMC,2300,https://github.com/MultiMC/MultiMC5
WorldEdit,EngineHub,2000,https://github.com/EngineHub/WorldEdit
sodium-fabric,CaffeineMC,2000,https://github.com/CaffeineMC/sodium-fabric
mineflayer,PrismarineJS,2000,https://github.com/PrismarineJS/mineflayer
gocraft,icexin,1700,https://github.com/icexin/gocraft
amidst,toolbox4minecraft,1600,https://github.com/toolbox4minecraft/amidst
pxt,microsoft,1600,https://github.com/microsoft/pxt
hematite,PistonDevelopers,1500,https://github.com/PistonDevelopers/hematite
Glowstone,GlowstoneMC,1400,https://github.com/GlowstoneMC/Glowstone
BuildCraft,BuildCraft,1200,https://github.com/BuildCraft/BuildCraft
LuckPerms,lucko,1200,https://github.com/lucko/LuckPerms
PojavLauncher,PojavLauncherTeam,1200,https://github.com/PojavLauncherTeam/PojavLauncher
feather,feather-rs,1200,https://github.com/feather-rs/feather
OpenComputers,MightyPirates,1200,https://github.com/MightyPirates/OpenComputers
SpongeForge,SpongePowered,1100,https://github.com/SpongePowered/SpongeForge
Essentials,EssentialsX,1100,https://github.com/EssentialsX/Essentials
mcaselector,Querz,1100,https://github.com/Querz/mcaselector
SpongeAPI,SpongePowered,1100,https://github.com/SpongePowered/SpongeAPI
MCSManager,Suwings,1000,https://github.com/Suwings/MCSManager
DragonProxy,DragonetMC,1000,https://github.com/DragonetMC/DragonProxy
Applied-Energistics-2,AppliedEnergistics,883,https://github.com/AppliedEnergistics/Applied-Energistics-2
MCinaBox,AOF-Dev,863,https://github.com/AOF-Dev/MCinaBox
Nukkit,CloudburstMC,824,https://github.com/CloudburstMC/Nukkit
lithium-fabric,CaffeineMC,814,https://github.com/CaffeineMC/lithium-fabric
webmc,michaljaz,793,https://github.com/michaljaz/webmc
Nukkit,Nukkit,765,https://github.com/Nukkit/Nukkit
MinecraftDev,minecraft-dev,754,https://github.com/minecraft-dev/MinecraftDev
node-minecraft-protocol,PrismarineJS,748,https://github.com/PrismarineJS/node-minecraft-protocol
MiNET,NiclasOlofsson,743,https://github.com/NiclasOlofsson/MiNET
Equivalent-Exchange-3,pahimar,725,https://github.com/pahimar/Equivalent-Exchange-3
Tuinity,Tuinity,716,https://github.com/Tuinity/Tuinity
MinecraftDeveloperGuide,Mouse0w0,690,https://github.com/Mouse0w0/MinecraftDeveloperGuide
PufferPanel,PufferPanel,659,https://github.com/PufferPanel/PufferPanel
Mixin,SpongePowered,639,https://github.com/SpongePowered/Mixin
Minestom,Minestom,614,https://github.com/Minestom/Minestom
Mohist,MohistMC,612,https://github.com/MohistMC/Mohist
MineCase,dotnetGame,605,https://github.com/dotnetGame/MineCase
PHP-Minecraft-Query,xPaw,602,https://github.com/xPaw/PHP-Minecraft-Query
open-builder,Hopson97,600,https://github.com/Hopson97/open-builder
blockbench,JannisX11,600,https://github.com/JannisX11/blockbench
pyCraft,ammaraskar,596,https://github.com/ammaraskar/pyCraft
WorldGuard,EngineHub,581,https://github.com/EngineHub/WorldGuard
phosphor-fabric,CaffeineMC,572,https://github.com/CaffeineMC/phosphor-fabric
BlueMap,BlueMap-Minecraft,571,https://github.com/BlueMap-Minecraft/BlueMap
ViaVersion,ViaVersion,567,https://github.com/ViaVersion/ViaVersion
ImmersiveEngineering,BluSunrize,561,https://github.com/BluSunrize/ImmersiveEngineering
Velocity,VelocityPowered,550,https://github.com/VelocityPowered/Velocity
Purpur,pl3xgaming,547,https://github.com/pl3xgaming/Purpur
FarPlaneTwo,PorkStudios,541,https://github.com/PorkStudios/FarPlaneTwo
DiscordSRV,DiscordSRV,532,https://github.com/DiscordSRV/DiscordSRV
