Repository Name,Username,Stars,URL
monero,monero-project,6000,https://github.com/monero-project/monero
xmrig,xmrig,5300,https://github.com/xmrig/xmrig
coin-hive,cazala,1900,https://github.com/cazala/coin-hive
vpstoolbox,johnrosen1,1200,https://github.com/johnrosen1/vpstoolbox
awesome-blockchain,yjjnls,1200,https://github.com/yjjnls/awesome-blockchain
ethereum_nvidia_miner,Cyclenerd,796,https://github.com/Cyclenerd/ethereum_nvidia_miner
MultiPoolMiner,MultiPoolMiner,781,https://github.com/MultiPoolMiner/MultiPoolMiner
xmrig-nvidia,xmrig,586,https://github.com/xmrig/xmrig-nvidia
cpuminer-multi,lucasjones,535,https://github.com/lucasjones/cpuminer-multi
deepMiner,deepwn,508,https://github.com/deepwn/deepMiner
xmr-miner,bradoyler,459,https://github.com/bradoyler/xmr-miner
monero-stratum,sammy007,442,https://github.com/sammy007/monero-stratum
miningcore,coinfoundry,416,https://github.com/coinfoundry/miningcore
xmrig-proxy,xmrig,400,https://github.com/xmrig/xmrig-proxy
coin-hive-stratum,cazala,386,https://github.com/cazala/coin-hive-stratum
wagyu,AleoHQ,381,https://github.com/AleoHQ/wagyu
nanominer,nanopool,363,https://github.com/nanopool/nanominer
xmrig-amd,xmrig,339,https://github.com/xmrig/xmrig-amd
haveno,haveno-dex,262,https://github.com/haveno-dex/haveno
coinhive-stratum-mining-proxy,x25,242,https://github.com/x25/coinhive-stratum-mining-proxy
NemosMiner,nemosminer,228,https://github.com/nemosminer/NemosMiner
xmrigCC,Bendr0id,227,https://github.com/Bendr0id/xmrigCC
monerobook,monerobook,221,https://github.com/monerobook/monerobook
onion-monero-blockchain-explorer,moneroexamples,217,https://github.com/moneroexamples/onion-monero-blockchain-explorer
wallet-address-validator,ognus,215,https://github.com/ognus/wallet-address-validator
monero-pool,jtgrassie,215,https://github.com/jtgrassie/monero-pool
webminerpool,notgiven688,195,https://github.com/notgiven688/webminerpool
SilentXMRMiner,UnamSanctam,192,https://github.com/UnamSanctam/SilentXMRMiner
xmrMiner,xmrMiner,164,https://github.com/xmrMiner/xmrMiner
mithril,Ragnaroek,162,https://github.com/Ragnaroek/mithril
react-coin-hive,cazala,153,https://github.com/cazala/react-coin-hive
openmonero,moneroexamples,135,https://github.com/moneroexamples/openmonero
monero-python,monero-ecosystem,128,https://github.com/monero-ecosystem/monero-python
Lime-Miner,NYAN-x-CAT,123,https://github.com/NYAN-x-CAT/Lime-Miner
kasisto,amiuhle,123,https://github.com/amiuhle/kasisto
cryptocurrency-cli,christ0ph3r,113,https://github.com/christ0ph3r/cryptocurrency-cli
cromos,jimywork,103,https://github.com/jimywork/cromos
Crypto-Webminer,PiTi2k5,100,https://github.com/PiTi2k5/Crypto-Webminer
awesome-privacy-on-blockchains,Mikerah,98,https://github.com/Mikerah/awesome-privacy-on-blockchains
monero-nodejs,PsychicCat,95,https://github.com/PsychicCat/monero-nodejs
monero-javascript,monero-ecosystem,85,https://github.com/monero-ecosystem/monero-javascript
SumoEasyMiner,sumoprojects,80,https://github.com/sumoprojects/SumoEasyMiner
Hidden-miner-builder,hawksh,79,https://github.com/hawksh/Hidden-miner-builder
monerowp,monero-integrations,70,https://github.com/monero-integrations/monerowp
CakeWallet,fotolockr,70,https://github.com/fotolockr/CakeWallet
xmr-wasm,jtgrassie,68,https://github.com/jtgrassie/xmr-wasm
xmr-node-proxy,MoneroOcean,66,https://github.com/MoneroOcean/xmr-node-proxy
coinwatch,cytopia,66,https://github.com/cytopia/coinwatch
xcash-core,X-CASH-official,66,https://github.com/X-CASH-official/xcash-core
xmr-btc-atomic-swap,h4sh3d,66,https://github.com/h4sh3d/xmr-btc-atomic-swap
cryptonight,Equim-chan,66,https://github.com/Equim-chan/cryptonight
