Repository Name,Username,Stars,URL
mall,macrozheng,50900,https://github.com/macrozheng/mall
meteor,meteor,42500,https://github.com/meteor/meteor
spring-boot-examples,ityouknow,25800,https://github.com/ityouknow/spring-boot-examples
mongo,mongodb,20100,https://github.com/mongodb/mongo
parse-server,parse-community,18800,https://github.com/parse-community/parse-server
N-blog,nswbmw,14900,https://github.com/nswbmw/N-blog
prisma,prisma,14900,https://github.com/prisma/prisma
mean,linnovate,12100,https://github.com/linnovate/mean
NodeBB,NodeBB,12000,https://github.com/NodeBB/NodeBB
reaction,reactioncommerce,11300,https://github.com/reactioncommerce/reaction
node-elm,bailicangdu,11000,https://github.com/bailicangdu/node-elm
mall-learning,macrozheng,9200,https://github.com/macrozheng/mall-learning
habitica,HabitRPG,8400,https://github.com/HabitRPG/habitica
mall-swarm,macrozheng,7000,https://github.com/macrozheng/mall-swarm
migrate,golang-migrate,6700,https://github.com/golang-migrate/migrate
eve,pyeve,6400,https://github.com/pyeve/eve
generator-angular-fullstack,angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
blog,digoal,6000,https://github.com/digoal/blog
NewsBlur,samuelclay,5800,https://github.com/samuelclay/NewsBlur
laravel-mongodb,jenssegers,5600,https://github.com/jenssegers/laravel-mongodb
dev-setup,donnemartin,5500,https://github.com/donnemartin/dev-setup
machinery,RichardKnop,5400,https://github.com/RichardKnop/machinery
node-express-mongoose-demo,madhums,4900,https://github.com/madhums/node-express-mongoose-demo
backup,backup,4700,https://github.com/backup/backup
fiora,yinxin630,4600,https://github.com/yinxin630/fiora
FAQGURU,FAQGURU,4600,https://github.com/FAQGURU/FAQGURU
mongo-express,mongo-express,4200,https://github.com/mongo-express/mongo-express
adminjs,SoftwareBrothers,4000,https://github.com/SoftwareBrothers/adminjs
bulletproof-nodejs,santiq,3900,https://github.com/santiq/bulletproof-nodejs
adminMongo,mrvautin,3700,https://github.com/mrvautin/adminMongo
westore,Tencent,3700,https://github.com/Tencent/westore
practicalnode,azat-co,3700,https://github.com/azat-co/practicalnode
bigchaindb,bigchaindb,3700,https://github.com/bigchaindb/bigchaindb
mongoengine,MongoEngine,3500,https://github.com/MongoEngine/mongoengine
sacred,IDSIA,3500,https://github.com/IDSIA/sacred
nosqlclient,nosqlclient,3300,https://github.com/nosqlclient/nosqlclient
awesome-programming-books,royeo,3300,https://github.com/royeo/awesome-programming-books
mikro-orm,mikro-orm,3300,https://github.com/mikro-orm/mikro-orm
space-cloud,spacecloud-io,3100,https://github.com/spacecloud-io/space-cloud
DoraCMS,doramart,3100,https://github.com/doramart/DoraCMS
node-orm2,dresende,3100,https://github.com/dresende/node-orm2
builderbook,async-labs,2800,https://github.com/async-labs/builderbook
DOClever,sx1989827,2800,https://github.com/sx1989827/DOClever
node-express-boilerplate,hagopj13,2800,https://github.com/hagopj13/node-express-boilerplate
express-mongoose-es6-rest-api,kunalkapadia,2800,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
db,upper,2600,https://github.com/upper/db
mongo-csharp-driver,mongodb,2600,https://github.com/mongodb/mongo-csharp-driver
artipub,crawlab-team,2600,https://github.com/crawlab-team/artipub
saas,async-labs,2500,https://github.com/async-labs/saas
cloudtunes,jakubroztocil,2400,https://github.com/jakubroztocil/cloudtunes
jsonbox,vasanthv,2400,https://github.com/vasanthv/jsonbox
arctic,man-group,2300,https://github.com/man-group/arctic
thal,emadehsan,2300,https://github.com/emadehsan/thal
migrate,mattes,2300,https://github.com/mattes/migrate
drywall,jedireza,2200,https://github.com/jedireza/drywall
goxygen,Shpota,2200,https://github.com/Shpota/goxygen
quokka,quokkaproject,2200,https://github.com/quokkaproject/quokka
phpfastcache,PHPSocialNetwork,2100,https://github.com/PHPSocialNetwork/phpfastcache
Nodejs-Roadmap,qufei1993,2100,https://github.com/qufei1993/Nodejs-Roadmap
lad,ladjs,2000,https://github.com/ladjs/lad
SpringBootLearning,forezp,2000,https://github.com/forezp/SpringBootLearning
cezerin,cezerin,2000,https://github.com/cezerin/cezerin
spring-boot-leaning,ityouknow,2000,https://github.com/ityouknow/spring-boot-leaning
alerta,alerta,2000,https://github.com/alerta/alerta
mgo,globalsign,1900,https://github.com/globalsign/mgo
webchat,hua1995116,1800,https://github.com/hua1995116/webchat
awesome-mongodb,ramnes,1800,https://github.com/ramnes/awesome-mongodb
mongo-hacker,TylerBrock,1800,https://github.com/TylerBrock/mongo-hacker
mongojs,mongo-js,1800,https://github.com/mongo-js/mongojs
NoSQLMap,codingo,1800,https://github.com/codingo/NoSQLMap
grandnode,grandnode,1700,https://github.com/grandnode/grandnode
coolify,coollabsio,1700,https://github.com/coollabsio/coolify
Front-end-tutorial,nicejade,1600,https://github.com/nicejade/Front-end-tutorial
rest,diegohaz,1600,https://github.com/diegohaz/rest
