Repository Name,Username,Stars,URL
node-elm,bailicangdu,11000,https://github.com/bailicangdu/node-elm
node-express-mongoose-demo,madhums,4900,https://github.com/madhums/node-express-mongoose-demo
bulletproof-nodejs,santiq,3900,https://github.com/santiq/bulletproof-nodejs
builderbook,async-labs,2800,https://github.com/async-labs/builderbook
node-express-boilerplate,hagopj13,2800,https://github.com/hagopj13/node-express-boilerplate
express-mongoose-es6-rest-api,kunalkapadia,2800,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
saas,async-labs,2500,https://github.com/async-labs/saas
express-es6-rest-api,developit,2400,https://github.com/developit/express-es6-rest-api
thal,emadehsan,2300,https://github.com/emadehsan/thal
lad,ladjs,2000,https://github.com/ladjs/lad
React-Express-Blog-Demo,Nealyang,1800,https://github.com/Nealyang/React-Express-Blog-Demo
notion-clone,konstantinmuenster,1800,https://github.com/konstantinmuenster/notion-clone
rest,diegohaz,1600,https://github.com/diegohaz/rest
express-rest-boilerplate,danielfsousa,1600,https://github.com/danielfsousa/express-rest-boilerplate
mongodb-memory-server,nodkz,1500,https://github.com/nodkz/mongodb-memory-server
nodejs-backend-architecture-typescript,afteracademy,1500,https://github.com/afteracademy/nodejs-backend-architecture-typescript
typegoose,typegoose,1400,https://github.com/typegoose/typegoose
chat.io,OmarElGabry,1300,https://github.com/OmarElGabry/chat.io
Angular-Full-Stack,DavideViolante,1300,https://github.com/DavideViolante/Angular-Full-Stack
typegoose,szokodiakos,1300,https://github.com/szokodiakos/typegoose
node-express-mongoose,madhums,1200,https://github.com/madhums/node-express-mongoose
cheatsheets,azat-co,1200,https://github.com/azat-co/cheatsheets
node-react-ecommerce,basir,1200,https://github.com/basir/node-react-ecommerce
rest-hapi,JKHeadley,1100,https://github.com/JKHeadley/rest-hapi
cdfang-spider,mengsixing,1100,https://github.com/mengsixing/cdfang-spider
React-Total,harryheman,1000,https://github.com/harryheman/React-Total
mongoosastic,mongoosastic,958,https://github.com/mongoosastic/mongoosastic
essay,wmui,914,https://github.com/wmui/essay
nodepress,surmon-china,896,https://github.com/surmon-china/nodepress
mevn-cli,madlabsinc,744,https://github.com/madlabsinc/mevn-cli
kov-blog,Ma63d,635,https://github.com/Ma63d/kov-blog
vue-blog,BUPT-HJM,588,https://github.com/BUPT-HJM/vue-blog
graphql-compose-mongoose,graphql-compose,587,https://github.com/graphql-compose/graphql-compose-mongoose
egg-RESTfulAPI,heimi-block,537,https://github.com/heimi-block/egg-RESTfulAPI
api-design-node-v3,FrontendMasters,513,https://github.com/FrontendMasters/api-design-node-v3
Fawn,e-oj,479,https://github.com/e-oj/Fawn
mongoose-deep-populate,buunguyen,467,https://github.com/buunguyen/mongoose-deep-populate
youtube-clone-nodejs-api,techreagan,463,https://github.com/techreagan/youtube-clone-nodejs-api
0xsp-Mongoose,lawrenceamer,456,https://github.com/lawrenceamer/0xsp-Mongoose
meanTorrent,taobataoma,447,https://github.com/taobataoma/meanTorrent
private-project,neroneroffy,445,https://github.com/neroneroffy/private-project
create-graphql,aerogear,440,https://github.com/aerogear/create-graphql
SuiteSparse,DrTimothyAldenDavis,428,https://github.com/DrTimothyAldenDavis/SuiteSparse
nestjs-query,doug-martin,424,https://github.com/doug-martin/nestjs-query
spruce,dan-divy,416,https://github.com/dan-divy/spruce
forms-angular,forms-angular,412,https://github.com/forms-angular/forms-angular
typescript-express-starter,ljlm0402,397,https://github.com/ljlm0402/typescript-express-starter
blog-node,biaochenxuying,395,https://github.com/biaochenxuying/blog-node
egg-mongoose,eggjs,390,https://github.com/eggjs/egg-mongoose
Express-Starter,Shyam-Chen,385,https://github.com/Shyam-Chen/Express-Starter
nodejs-api-boilerplate,EQuimper,381,https://github.com/EQuimper/nodejs-api-boilerplate
vue-nodejs-youtube-clone,techreagan,344,https://github.com/techreagan/vue-nodejs-youtube-clone
mongoose-paginate-v2,aravindnc,322,https://github.com/aravindnc/mongoose-paginate-v2
mockingoose,alonronin,314,https://github.com/alonronin/mockingoose
express-graphql-mongodb-boilerplate,watscho,309,https://github.com/watscho/express-graphql-mongodb-boilerplate
moufette,moufette-tools,308,https://github.com/moufette-tools/moufette
nodejs-restful-api,adnanrahic,298,https://github.com/adnanrahic/nodejs-restful-api
mern-ecommerce,mohamedsamara,296,https://github.com/mohamedsamara/mern-ecommerce
jianshu,jiayisheji,294,https://github.com/jiayisheji/jianshu
practice,mintsweet,287,https://github.com/mintsweet/practice
mern-ecommerce,mohamedsamara,296,https://github.com/mohamedsamara/mern-ecommerce
jianshu,jiayisheji,294,https://github.com/jiayisheji/jianshu
practice,mintsweet,287,https://github.com/mintsweet/practice
MEVN-boilerplate,anaida07,275,https://github.com/anaida07/MEVN-boilerplate
nest-mean,nartc,270,https://github.com/nartc/nest-mean
amazona,basir,252,https://github.com/basir/amazona
generator-api,ndelvalle,250,https://github.com/ndelvalle/generator-api
koa2-mongodb-server,ivonzhang,242,https://github.com/ivonzhang/koa2-mongodb-server
codever,codeverland,240,https://github.com/codeverland/codever
nestjs-typegoose,kpfromer,236,https://github.com/kpfromer/nestjs-typegoose
sinn-server,sessionboy,229,https://github.com/sessionboy/sinn-server
mongoose,nestjs,223,https://github.com/nestjs/mongoose
mern-passport,thechutrain,222,https://github.com/thechutrain/mern-passport
GraphQL-demo,naihe138,221,https://github.com/naihe138/GraphQL-demo
Nobibi,seawind8888,215,https://github.com/seawind8888/Nobibi
evmongoose,zhaojh329,208,https://github.com/zhaojh329/evmongoose
vue-node-pastime,xxxgitone,204,https://github.com/xxxgitone/vue-node-pastime
vue-mall-mobile,hanyucd,204,https://github.com/hanyucd/vue-mall-mobile
mongoose-sequence,ramiel,202,https://github.com/ramiel/mongoose-sequence
node-rem,ngduc,202,https://github.com/ngduc/node-rem
Angular2-express-mongoose-gulp-node-typescript,moizKachwala,202,https://github.com/moizKachwala/Angular2-express-mongoose-gulp-node-typescript
ts-mongoose,lstkz,200,https://github.com/lstkz/ts-mongoose
Feathers-Vue,codingfriend1,196,https://github.com/codingfriend1/Feathers-Vue
VueSocial,CBDxin,195,https://github.com/CBDxin/VueSocial
blog-service,jkchao,192,https://github.com/jkchao/blog-service
nestjs-mongoose-crud,topfullstack,190,https://github.com/topfullstack/nestjs-mongoose-crud
Node.js,pubdreamcc,189,https://github.com/pubdreamcc/Node.js
focus-budget-manager,gdomaradzki,188,https://github.com/gdomaradzki/focus-budget-manager
Mongoose-TypeScript-example,tomanagle,184,https://github.com/tomanagle/Mongoose-TypeScript-example
ddms,unbug,183,https://github.com/unbug/ddms
intro-to-graphql,FrontendMasters,181,https://github.com/FrontendMasters/intro-to-graphql
mongoose-autopopulate,mongodb-js,180,https://github.com/mongodb-js/mongoose-autopopulate
gindex-v4,tks18,180,https://github.com/tks18/gindex-v4
nest-user-auth,EricKit,178,https://github.com/EricKit/nest-user-auth
express-es6-starter,tomyitav,178,https://github.com/tomyitav/express-es6-starter
sinn,sessionboy,176,https://github.com/sessionboy/sinn
Nodejs-rest-api-project-structure-Express,MoathShraim,174,https://github.com/MoathShraim/Nodejs-rest-api-project-structure-Express
mongoose-findorcreate,drudge,172,https://github.com/drudge/mongoose-findorcreate
ecommerce-site-template,ar5had,171,https://github.com/ar5had/ecommerce-site-template
frisky,prabhuomkar,164,https://github.com/prabhuomkar/frisky
WaftEngine,WaftTech,162,https://github.com/WaftTech/WaftEngine
node-express-mongoose-passport-jwt-rest-api-auth,didinj,159,https://github.com/didinj/node-express-mongoose-passport-jwt-rest-api-auth
Next-GraphQL-Blog,Alexloof,157,https://github.com/Alexloof/Next-GraphQL-Blog
nAuth-restful-api,Nicksapp,155,https://github.com/Nicksapp/nAuth-restful-api
express-oas-generator,mpashkovskiy,155,https://github.com/mpashkovskiy/express-oas-generator
nodejs,scalajs-io,155,https://github.com/scalajs-io/nodejs
node-easy-notes-app,callicoder,152,https://github.com/callicoder/node-easy-notes-app
forest-express-mongoose,ForestAdmin,151,https://github.com/ForestAdmin/forest-express-mongoose
node-express-mongo-api,GetStream,150,https://github.com/GetStream/node-express-mongo-api
api-query-params,loris,149,https://github.com/loris/api-query-params
koa-restful-boilerplate,jsnomad,148,https://github.com/jsnomad/koa-restful-boilerplate
fastify-api,siegfriedgrimbeek,144,https://github.com/siegfriedgrimbeek/fastify-api
mern-boilerplate,nemanjam,140,https://github.com/nemanjam/mern-boilerplate
a-crash-course-on-serverless-auth,adnanrahic,139,https://github.com/adnanrahic/a-crash-course-on-serverless-auth
wxapp,wenkeShi,136,https://github.com/wenkeShi/wxapp
nestjs-microservices-example,Denrox,135,https://github.com/Denrox/nestjs-microservices-example
nest-cnode,jiayisheji,132,https://github.com/jiayisheji/nest-cnode
guwen-spider,yangfan0095,130,https://github.com/yangfan0095/guwen-spider
questionnaire,no5no6,130,https://github.com/no5no6/questionnaire
koa-vue-fullstack,yunhan0,128,https://github.com/yunhan0/koa-vue-fullstack
