Repository Name,Username,Stars,URL
netdata,netdata,55200,https://github.com/netdata/netdata
grafana,grafana,42900,https://github.com/grafana/grafana
prometheus,prometheus,37600,https://github.com/prometheus/prometheus
pm2,Unitech,35200,https://github.com/Unitech/pm2
huginn,huginn,31800,https://github.com/huginn/huginn
sentry,getsentry,28500,https://github.com/getsentry/sentry
influxdb,influxdata,21800,https://github.com/influxdata/influxdb
glances,nicolargo,18800,https://github.com/nicolargo/glances
osquery,osquery,18100,https://github.com/osquery/osquery
DoraemonKit,didi,17600,https://github.com/didi/DoraemonKit
cat,dianping,15600,https://github.com/dianping/cat
TDengine,taosdata,15600,https://github.com/taosdata/TDengine
goaccess,allinurl,13400,https://github.com/allinurl/goaccess
ctop,bcicen,11800,https://github.com/bcicen/ctop
pinpoint,pinpoint-apm,11500,https://github.com/pinpoint-apm/pinpoint
telegraf,influxdata,10300,https://github.com/influxdata/telegraf
bettercap,bettercap,10000,https://github.com/bettercap/bettercap
linux-dash,afaqurk,9600,https://github.com/afaqurk/linux-dash
sampler,sqshq,9000,https://github.com/sqshq/sampler
cilium,cilium,8700,https://github.com/cilium/cilium
psutil,giampaolo,7500,https://github.com/giampaolo/psutil
Stacer,oguzhaninan,7100,https://github.com/oguzhaninan/Stacer
awesome-sre,dastergon,6900,https://github.com/dastergon/awesome-sre
falcon-plus,open-falcon,6600,https://github.com/open-falcon/falcon-plus
flux,fluxcd,6500,https://github.com/fluxcd/flux
howtheysre,upgundecha,6300,https://github.com/upgundecha/howtheysre
fail2ban,fail2ban,6200,https://github.com/fail2ban/fail2ban
ngxtop,lebinh,6200,https://github.com/lebinh/ngxtop
eul,gao-sun,5900,https://github.com/gao-sun/eul
prometheus-operator,prometheus-operator,5900,https://github.com/prometheus-operator/prometheus-operator
progress,Xfennec,5400,https://github.com/Xfennec/progress
cabot,arachnys,5100,https://github.com/arachnys/cabot
scope,weaveworks,5000,https://github.com/weaveworks/scope
statping,statping,5000,https://github.com/statping/statping
processhacker,processhacker,4900,https://github.com/processhacker/processhacker
flower,mher,4800,https://github.com/mher/flower
elasticsearch-HQ,ElasticHQ,4800,https://github.com/ElasticHQ/elasticsearch-HQ
VictoriaMetrics,VictoriaMetrics,4500,https://github.com/VictoriaMetrics/VictoriaMetrics
sitespeed.io,sitespeedio,4200,https://github.com/sitespeedio/sitespeed.io
pyroscope,pyroscope-io,4200,https://github.com/pyroscope-io/pyroscope
cortex,cortexproject,4200,https://github.com/cortexproject/cortex
dockprom,stefanprodan,4100,https://github.com/stefanprodan/dockprom
alertmanager,prometheus,4100,https://github.com/prometheus/alertmanager
questdb,questdb,4100,https://github.com/questdb/questdb
Opserver,opserver,4100,https://github.com/opserver/Opserver
riemann,riemann,4100,https://github.com/riemann/riemann
telescope,laravel,4000,https://github.com/laravel/telescope
Tautulli,Tautulli,3900,https://github.com/Tautulli/Tautulli
nodejs-dashboard,FormidableLabs,3900,https://github.com/FormidableLabs/nodejs-dashboard
healthchecks,healthchecks,3900,https://github.com/healthchecks/healthchecks
laravel-activitylog,spatie,3800,https://github.com/spatie/laravel-activitylog
vizceral,Netflix,3800,https://github.com/Netflix/vizceral
statuspage,jayfk,3800,https://github.com/jayfk/statuspage
sigma,SigmaHQ,3800,https://github.com/SigmaHQ/sigma
nightingale,didi,3600,https://github.com/didi/nightingale
nosqlclient,nosqlclient,3300,https://github.com/nosqlclient/nosqlclient
nvtop,Syllo,3300,https://github.com/Syllo/nvtop
monitoror,monitoror,3300,https://github.com/monitoror/monitoror
express-status-monitor,RafalWilinski,3200,https://github.com/RafalWilinski/express-status-monitor
bosun,bosun-monitor,3200,https://github.com/bosun-monitor/bosun
tensorwatch,microsoft,3100,https://github.com/microsoft/tensorwatch
kube-state-metrics,kubernetes,3100,https://github.com/kubernetes/kube-state-metrics
pandora,midwayjs,3100,https://github.com/midwayjs/pandora
