Repository Name,Username,Stars,URL
MvvmCross,MvvmCross,3500,https://github.com/MvvmCross/MvvmCross
MvvmCross-Samples,MvvmCross,287,https://github.com/MvvmCross/MvvmCross-Samples
NPlus1DaysOfMvvmCross,MvvmCross,145,https://github.com/MvvmCross/NPlus1DaysOfMvvmCross
Chameleon,Baseflow,143,https://github.com/Baseflow/Chameleon
MvxScaffolding,Plac3hold3r,105,https://github.com/Plac3hold3r/MvxScaffolding
Cheesebaron.MvxPlugins,Cheesebaron,88,https://github.com/Cheesebaron/Cheesebaron.MvxPlugins
Nethereum.UI.Wallet.Sample,Nethereum,63,https://github.com/Nethereum/Nethereum.UI.Wallet.Sample
MvxForms,Baseflow,45,https://github.com/Baseflow/MvxForms
xamarin-mvvvm-frameworks,rogerwcpt,34,https://github.com/rogerwcpt/xamarin-mvvvm-frameworks
XBottomSheet,grendio,33,https://github.com/grendio/XBottomSheet
MvvmCross-Dreams,mgj,29,https://github.com/mgj/MvvmCross-Dreams
XamFormsMvxTemplate,JTOne123,27,https://github.com/JTOne123/XamFormsMvxTemplate
SoundByteOSS,DominicMaas,24,https://github.com/DominicMaas/SoundByteOSS
MvvmCross-Extensions,zleao,19,https://github.com/zleao/MvvmCross-Extensions
XamSvg-Samples,softlion,19,https://github.com/softlion/XamSvg-Samples
TagsView,nmilcoff,18,https://github.com/nmilcoff/TagsView
AppRopio.Mobile,AppRopio,15,https://github.com/AppRopio/AppRopio.Mobile
MvvmCross-VisualStudioAddIn,jimbobbennett,13,https://github.com/jimbobbennett/MvvmCross-VisualStudioAddIn
MinoriEditorShell,TorisanKitsune,9,https://github.com/TorisanKitsune/MinoriEditorShell
MvvmCrossStarterKit,wcoder,9,https://github.com/wcoder/MvvmCrossStarterKit
Xamarin.Popups,Danielbahe,8,https://github.com/Danielbahe/Xamarin.Popups
MvvmCross.FSharp,heytherewill,7,https://github.com/heytherewill/MvvmCross.FSharp
mvxforms-samples,jsuarezruiz,7,https://github.com/jsuarezruiz/mvxforms-samples
PH.SharedElement,Plac3hold3r,6,https://github.com/Plac3hold3r/PH.SharedElement
StaffStuff-MvvmCross,MeshackMusundi,5,https://github.com/MeshackMusundi/StaffStuff-MvvmCross
XamarinWorkshop-GetReal,daniel-p,4,https://github.com/daniel-p/XamarinWorkshop-GetReal
MvvmCross.Platforms.Wpf.ItemsViewPresenter,eiadxp,4,https://github.com/eiadxp/MvvmCross.Platforms.Wpf.ItemsViewPresenter
weissdigital.xamarin.addins.mvxcontentpage,rogerwcpt,4,https://github.com/rogerwcpt/weissdigital.xamarin.addins.mvxcontentpage
MvvmCross_Sample,Strifex,3,https://github.com/Strifex/MvvmCross_Sample
g0rdan.MvxPlugin.AlertDialog,g0rdan,3,https://github.com/g0rdan/g0rdan.MvxPlugin.AlertDialog
bottomnavview-xamarin-example,orestesgaolin,3,https://github.com/orestesgaolin/bottomnavview-xamarin-example
MvvmTools,eiadxp,3,https://github.com/eiadxp/MvvmTools
mvvmcross-samples,canbilgin,3,https://github.com/canbilgin/mvvmcross-samples
Hymnal-Xamarin,isax5,3,https://github.com/isax5/Hymnal-Xamarin
mvx-custom-binding,mikeacosta,2,https://github.com/mikeacosta/mvx-custom-binding
ARDemo,roygarbriceno,2,https://github.com/roygarbriceno/ARDemo
Fluxamarin,Danielbahe,2,https://github.com/Danielbahe/Fluxamarin
AndroidArchitectureComponent,yash786agg,2,https://github.com/yash786agg/AndroidArchitectureComponent
MvvmCross-Qr-Code-Scanner,dawcza3,2,https://github.com/dawcza3/MvvmCross-Qr-Code-Scanner
