Repository Name,Username,Stars,URL
JavaGuide,Snailclimb,107000,https://github.com/Snailclimb/JavaGuide
mall,macrozheng,50900,https://github.com/macrozheng/mall
grafana,grafana,42900,https://github.com/grafana/grafana
tidb,pingcap,28400,https://github.com/pingcap/tidb
JavaFamily,AobingJava,26200,https://github.com/AobingJava/JavaFamily
metabase,metabase,25300,https://github.com/metabase/metabase
typeorm,typeorm,24900,https://github.com/typeorm/typeorm
sequelize,sequelize,24600,https://github.com/sequelize/sequelize
dbeaver,dbeaver,21300,https://github.com/dbeaver/dbeaver
toBeTopJavaer,hollischuang,21000,https://github.com/hollischuang/toBeTopJavaer
redash,getredash,19100,https://github.com/getredash/redash
mysql,mysqljs,16600,https://github.com/mysqljs/mysql
matomo,matomo-org,15100,https://github.com/matomo-org/matomo
prisma,prisma,14900,https://github.com/prisma/prisma
knex,knex,14400,https://github.com/knex/knex
shardingsphere,apache,14200,https://github.com/apache/shardingsphere
nocodb,nocodb,13600,https://github.com/nocodb/nocodb
vitess,vitessio,12200,https://github.com/vitessio/vitess
directus,directus,11500,https://github.com/directus/directus
mybatis-plus,baomidou,11300,https://github.com/baomidou/mybatis-plus
mysql,go-sql-driver,11100,https://github.com/go-sql-driver/mysql
cube.js,cube-js,10700,https://github.com/cube-js/cube.js
flink-learning,zhisheng17,10300,https://github.com/zhisheng17/flink-learning
mycli,dbcli,9700,https://github.com/dbcli/mycli
dolt,dolthub,9200,https://github.com/dolthub/dolt
mall-learning,macrozheng,9200,https://github.com/macrozheng/mall-learning
gh-ost,github,9000,https://github.com/github/gh-ost
sequelpro,sequelpro,8400,https://github.com/sequelpro/sequelpro
pdf,itdevbooks,8400,https://github.com/itdevbooks/pdf
finagle,twitter,8000,https://github.com/twitter/finagle
Linux-Tutorial,judasn,7600,https://github.com/judasn/Linux-Tutorial
newbee-mall,newbee-ltd,7600,https://github.com/newbee-ltd/newbee-mall
soar,XiaoMi,7300,https://github.com/XiaoMi/soar
diesel,diesel-rs,7000,https://github.com/diesel-rs/diesel
mall-swarm,macrozheng,7000,https://github.com/macrozheng/mall-swarm
migrate,golang-migrate,6700,https://github.com/golang-migrate/migrate
usql,xo,6600,https://github.com/xo/usql
PyMySQL,PyMySQL,6500,https://github.com/PyMySQL/PyMySQL
beekeeper-studio,beekeeper-studio,6500,https://github.com/beekeeper-studio/beekeeper-studio
nopCommerce,nopSolutions,6400,https://github.com/nopSolutions/nopCommerce
xorm,go-xorm,6400,https://github.com/go-xorm/xorm
bookshelf,bookshelf,6200,https://github.com/bookshelf/bookshelf
flyway,flyway,6000,https://github.com/flyway/flyway
blog,digoal,6000,https://github.com/digoal/blog
