Repository Name,Username,Stars,URL
NativeScript,NativeScript,20300,https://github.com/NativeScript/NativeScript
nativescript-vue,nativescript-vue,4700,https://github.com/nativescript-vue/nativescript-vue
LuaViewSDK,alibaba,3500,https://github.com/alibaba/LuaViewSDK
angular-seed-advanced,NathanWalker,2300,https://github.com/NathanWalker/angular-seed-advanced
ngx-formly,ngx-formly,2000,https://github.com/ngx-formly/ngx-formly
MLN,momotech,1400,https://github.com/momotech/MLN
nativescript-angular,NativeScript,1200,https://github.com/NativeScript/nativescript-angular
nativescript-plugin-firebase,EddyVerbruggen,1000,https://github.com/EddyVerbruggen/nativescript-plugin-firebase
nativescript-cli,NativeScript,988,https://github.com/NativeScript/nativescript-cli
docs,NativeScript,446,https://github.com/NativeScript/docs
android-runtime,NativeScript,410,https://github.com/NativeScript/android-runtime
xplat,nstudio,316,https://github.com/nstudio/xplat
groceries-ns-vue,tralves,298,https://github.com/tralves/groceries-ns-vue
ios-runtime,NativeScript,288,https://github.com/NativeScript/ios-runtime
nativescript-cardview,nstudio,283,https://github.com/nstudio/nativescript-cardview
nativescript-barcodescanner,EddyVerbruggen,280,https://github.com/EddyVerbruggen/nativescript-barcodescanner
angular-native-seed,TeamMaestro,270,https://github.com/TeamMaestro/angular-native-seed
godot-go,ShadowApex,267,https://github.com/ShadowApex/godot-go
rwa-trivia,anihalaney,257,https://github.com/anihalaney/rwa-trivia
react-nativescript,shirakaba,247,https://github.com/shirakaba/react-nativescript
nativescript-google-maps-sdk,dapriett,238,https://github.com/dapriett/nativescript-google-maps-sdk
ui-material-components,nativescript-community,190,https://github.com/nativescript-community/ui-material-components
nativescript-mapbox,Yermo,188,https://github.com/Yermo/nativescript-mapbox
nativescript-pluginshowcase,EddyVerbruggen,180,https://github.com/EddyVerbruggen/nativescript-pluginshowcase
nativescript-schematics,NativeScript,178,https://github.com/NativeScript/nativescript-schematics
fireloop.io,mean-expert-official,176,https://github.com/mean-expert-official/fireloop.io
nativescript-local-notifications,EddyVerbruggen,161,https://github.com/EddyVerbruggen/nativescript-local-notifications
nativescript-carousel,manijak,157,https://github.com/manijak/nativescript-carousel
ble,nativescript-community,156,https://github.com/nativescript-community/ble
ui-lottie,nativescript-community,155,https://github.com/nativescript-community/ui-lottie
nativescript-pulltorefresh,nstudio,144,https://github.com/nstudio/nativescript-pulltorefresh
awesome-nativescript-vue,Gonzalo2310,144,https://github.com/Gonzalo2310/awesome-nativescript-vue
nativescript-floatingactionbutton,nstudio,135,https://github.com/nstudio/nativescript-floatingactionbutton
nativescript-fingerprint-auth,EddyVerbruggen,134,https://github.com/EddyVerbruggen/nativescript-fingerprint-auth
nativescript-geolocation,NativeScript,134,https://github.com/NativeScript/nativescript-geolocation
nativescript-app-templates,NativeScript,133,https://github.com/NativeScript/nativescript-app-templates
nativescript-feedback,EddyVerbruggen,129,https://github.com/EddyVerbruggen/nativescript-feedback
nativescript-videoplayer,nstudio,125,https://github.com/nstudio/nativescript-videoplayer
push-plugin,NativeScript,122,https://github.com/NativeScript/push-plugin
nativescript-checkbox,nstudio,114,https://github.com/nstudio/nativescript-checkbox
nativescript-ui-feedback,ProgressNS,113,https://github.com/ProgressNS/nativescript-ui-feedback
nativescript-app-sync,NativeScript,110,https://github.com/NativeScript/nativescript-app-sync
nativescript-ar,EddyVerbruggen,108,https://github.com/EddyVerbruggen/nativescript-ar
NativeScript-Drop-Down,PeterStaev,108,https://github.com/PeterStaev/NativeScript-Drop-Down
nativescript-secure-storage,EddyVerbruggen,104,https://github.com/EddyVerbruggen/nativescript-secure-storage
nativescript-plugin-seed,NativeScript,103,https://github.com/NativeScript/nativescript-plugin-seed
nativescript-imagepicker,NativeScript,102,https://github.com/NativeScript/nativescript-imagepicker
plum,rdlauer,99,https://github.com/rdlauer/plum
nativescript-dev-webpack,NativeScript,96,https://github.com/NativeScript/nativescript-dev-webpack
nativescript-vue-navigator,nativescript-vue,92,https://github.com/nativescript-vue/nativescript-vue-navigator
nativescript-nodeify,EddyVerbruggen,90,https://github.com/EddyVerbruggen/nativescript-nodeify
nativescript-camera,NativeScript,89,https://github.com/NativeScript/nativescript-camera
nativescript-realworld-example-app,nea,86,https://github.com/nea/nativescript-realworld-example-app
nativescript-drawingpad,nativescript-community,85,https://github.com/nativescript-community/nativescript-drawingpad
nativescript-webview-interface,shripalsoni04,82,https://github.com/shripalsoni04/nativescript-webview-interface
nativescript-directions,EddyVerbruggen,82,https://github.com/EddyVerbruggen/nativescript-directions
nativescript-purchase,PeterStaev,82,https://github.com/PeterStaev/nativescript-purchase
nativescript-yoonit-camera,Yoonit-Labs,81,https://github.com/Yoonit-Labs/nativescript-yoonit-camera
nativescript-speech-recognition,EddyVerbruggen,80,https://github.com/EddyVerbruggen/nativescript-speech-recognition
nativescript-localize,EddyVerbruggen,79,https://github.com/EddyVerbruggen/nativescript-localize
nativescript-facebook,NativeScript,79,https://github.com/NativeScript/nativescript-facebook
tailwind,NativeScript,76,https://github.com/NativeScript/tailwind
nativescript-snackbar,bradmartin,74,https://github.com/bradmartin/nativescript-snackbar
nativescript-nfc,EddyVerbruggen,72,https://github.com/EddyVerbruggen/nativescript-nfc
nativescript-slides,JoshDSommer,70,https://github.com/JoshDSommer/nativescript-slides
nativescript-dev-appium,NativeScript,69,https://github.com/NativeScript/nativescript-dev-appium
nativescript-keyboard-toolbar,EddyVerbruggen,67,https://github.com/EddyVerbruggen/nativescript-keyboard-toolbar
nativescript-ionic-template,proyecto26,66,https://github.com/proyecto26/nativescript-ionic-template
nativescript-admob,EddyVerbruggen,66,https://github.com/EddyVerbruggen/nativescript-admob
nativescript-bottombar,rhanb,65,https://github.com/rhanb/nativescript-bottombar
ns-v8ios-runtime,NativeScript,64,https://github.com/NativeScript/ns-v8ios-runtime
nativescript-yoonit-websocket,Yoonit-Labs,61,https://github.com/Yoonit-Labs/nativescript-yoonit-websocket
flutter-egitim-serisi,kesali,61,https://github.com/kesali/flutter-egitim-serisi
nativescript-whatsapp-template,Especializa,60,https://github.com/Especializa/nativescript-whatsapp-template
nativescript-auth0,sitefinitysteve,57,https://github.com/sitefinitysteve/nativescript-auth0
nativescript-inappbrowser,proyecto26,57,https://github.com/proyecto26/nativescript-inappbrowser
nativescript-toolbox,mkloubert,55,https://github.com/mkloubert/nativescript-toolbox
nativescript-ng-shadow,Especializa,54,https://github.com/Especializa/nativescript-ng-shadow
nativescript-advanced-webview,bradmartin,53,https://github.com/bradmartin/nativescript-advanced-webview
nativescript-gradient,EddyVerbruggen,53,https://github.com/EddyVerbruggen/nativescript-gradient
nativescript-ripple,edusperoni,52,https://github.com/edusperoni/nativescript-ripple
EnRecipes,vishnuraghavb,51,https://github.com/vishnuraghavb/EnRecipes
nativescript-fresco,NativeScript,51,https://github.com/NativeScript/nativescript-fresco
NativeScript-Grid-View,PeterStaev,51,https://github.com/PeterStaev/NativeScript-Grid-View
angular2-webpack-advance-starter,JonnyBGod,51,https://github.com/JonnyBGod/angular2-webpack-advance-starter
nativescript-urlhandler,hypery2k,49,https://github.com/hypery2k/nativescript-urlhandler
nativescript-gif,bradmartin,48,https://github.com/bradmartin/nativescript-gif
nativescript-socket.io,naderio,48,https://github.com/naderio/nativescript-socket.io
nativescript-angular-drawer-template,shripalsoni04,48,https://github.com/shripalsoni04/nativescript-angular-drawer-template
https,nativescript-community,47,https://github.com/nativescript-community/https
nativescript-angular-web-starter,shripalsoni04,47,https://github.com/shripalsoni04/nativescript-angular-web-starter
nativescript-appversion,EddyVerbruggen,46,https://github.com/EddyVerbruggen/nativescript-appversion
nativescript-email,EddyVerbruggen,46,https://github.com/EddyVerbruggen/nativescript-email
nativescript-loading-indicator,nstudio,45,https://github.com/nstudio/nativescript-loading-indicator
nativescript-windowed-modal,mukaschultze,44,https://github.com/mukaschultze/nativescript-windowed-modal
nativescript-vue-multi-drawer,nativescript-vue,44,https://github.com/nativescript-vue/nativescript-vue-multi-drawer
nativescript-photo-editor,PeterStaev,43,https://github.com/PeterStaev/nativescript-photo-editor
nativescript-app-shortcuts,EddyVerbruggen,43,https://github.com/EddyVerbruggen/nativescript-app-shortcuts
nativescript-calendar,EddyVerbruggen,43,https://github.com/EddyVerbruggen/nativescript-calendar
nativescript-dev-sass,NativeScript,43,https://github.com/NativeScript/nativescript-dev-sass
texttospeech,nativescript-community,42,https://github.com/nativescript-community/texttospeech
nativescript-clipboard,EddyVerbruggen,41,https://github.com/EddyVerbruggen/nativescript-clipboard
nativescript-vue-rollup-template,tralves,40,https://github.com/tralves/nativescript-vue-rollup-template
nativescript-movies-demo,williamjuan027,39,https://github.com/williamjuan027/nativescript-movies-demo
template-nativescript-nx,NathanWalker,39,https://github.com/NathanWalker/template-nativescript-nx
nativescript-ocr,EddyVerbruggen,39,https://github.com/EddyVerbruggen/nativescript-ocr
ns-vue-radio,Cambalab,38,https://github.com/Cambalab/ns-vue-radio
nativescript-health-data,nativescript-community,38,https://github.com/nativescript-community/nativescript-health-data
insomnia,nativescript-community,38,https://github.com/nativescript-community/insomnia
code-samples,ProgressNS,36,https://github.com/ProgressNS/code-samples
nativescript-filter-select,moayadnajd,36,https://github.com/moayadnajd/nativescript-filter-select
i18nh,rodrigooler,36,https://github.com/rodrigooler/i18nh
nativescript-apple-sign-in,EddyVerbruggen,35,https://github.com/EddyVerbruggen/nativescript-apple-sign-in
nativescript-textinputlayout,bradleygore,35,https://github.com/bradleygore/nativescript-textinputlayout
nativescript-image-swipe,PeterStaev,35,https://github.com/PeterStaev/nativescript-image-swipe
nativescript-pdf-view,Merott,33,https://github.com/Merott/nativescript-pdf-view
nativescript-numeric-keyboard,EddyVerbruggen,33,https://github.com/EddyVerbruggen/nativescript-numeric-keyboard
nativescript-printer,EddyVerbruggen,33,https://github.com/EddyVerbruggen/nativescript-printer
nativescript-google-maps-utils,naderio,33,https://github.com/naderio/nativescript-google-maps-utils
nativescript-keyframes,EddyVerbruggen,32,https://github.com/EddyVerbruggen/nativescript-keyframes
