Repository Name,Username,Stars,URL
Nim,nim-lang,11500,https://github.com/nim-lang/Nim
nitter,zedeus,2700,https://github.com/zedeus/nitter
glad,Dav1dde,2100,https://github.com/Dav1dde/glad
nimble,nim-lang,866,https://github.com/nim-lang/nimble
Arraymancer,mratsim,848,https://github.com/mratsim/Arraymancer
nimx,yglukhov,799,https://github.com/yglukhov/nimx
prologue,planety,746,https://github.com/planety/prologue
awesome-nim,VPashkov,598,https://github.com/VPashkov/awesome-nim
nimforum,nim-lang,535,https://github.com/nim-lang/nimforum
nimporter,Pebaz,506,https://github.com/Pebaz/nimporter
NiGui,trustable-code,474,https://github.com/trustable-code/NiGui
completely-unscientific-benchmarks,frol,454,https://github.com/frol/completely-unscientific-benchmarks
INim,inim-repl,446,https://github.com/inim-repl/INim
mosdepth,brentp,411,https://github.com/brentp/mosdepth
nimbus-eth1,status-im,399,https://github.com/status-im/nimbus-eth1
nlvm,arnetheduck,394,https://github.com/arnetheduck/nlvm
choosenim,dom96,373,https://github.com/dom96/choosenim
pipelines,calebwin,361,https://github.com/calebwin/pipelines
nimtorch,sinkingsugar,358,https://github.com/sinkingsugar/nimtorch
godot-nim,pragmagic,312,https://github.com/pragmagic/godot-nim
packages,nim-lang,288,https://github.com/nim-lang/packages
moe,fox0430,286,https://github.com/fox0430/moe
NimData,bluenote10,277,https://github.com/bluenote10/NimData
nimterop,nimterop,257,https://github.com/nimterop/nimterop
app-servers,costajob,244,https://github.com/costajob/app-servers
taskopen,jschlatow,242,https://github.com/jschlatow/taskopen
min,h3rald,239,https://github.com/h3rald/min
nimgl,nimgl,235,https://github.com/nimgl/nimgl
patty,andreaferretti,221,https://github.com/andreaferretti/patty
vscode-nim,pragmagic,215,https://github.com/pragmagic/vscode-nim
norm,moigagoo,211,https://github.com/moigagoo/norm
frag,fragworks,211,https://github.com/fragworks/frag
nimbus-eth2,status-im,202,https://github.com/status-im/nimbus-eth2
neo,andreaferretti,186,https://github.com/andreaferretti/neo
rosencrantz,andreaferretti,180,https://github.com/andreaferretti/rosencrantz
NimShellCodeLoader,aeverj,175,https://github.com/aeverj/NimShellCodeLoader
npeg,zevv,174,https://github.com/zevv/npeg
docopt.nim,docopt,173,https://github.com/docopt/docopt.nim
NiM,june07,172,https://github.com/june07/NiM
hastyscribe,h3rald,169,https://github.com/h3rald/hastyscribe
compile-to-web,ChristianMurphy,165,https://github.com/ChristianMurphy/compile-to-web
NIM_PC_Demo,netease-kit,162,https://github.com/netease-kit/NIM_PC_Demo
NimScan,elddy,161,https://github.com/elddy/NimScan
gintro,StefanSalewski,159,https://github.com/StefanSalewski/gintro
nim-chronos,status-im,158,https://github.com/status-im/nim-chronos
nicy,icyphox,155,https://github.com/icyphox/nicy
awesome-nim,xflywind,150,https://github.com/xflywind/awesome-nim
sdl2-examples,xyproto,150,https://github.com/xyproto/sdl2-examples
zengine,zacharycarter,149,https://github.com/zacharycarter/zengine
nim-in-action-code,dom96,147,https://github.com/dom96/nim-in-action-code
enu,dsrw,145,https://github.com/dsrw/enu
nim-regex,nitely,144,https://github.com/nitely/nim-regex
nimdays,xmonader,144,https://github.com/xmonader/nimdays
rapid,liquidev,143,https://github.com/liquidev/rapid
nimpdf,jangko,136,https://github.com/jangko/nimpdf
nim-basolato,itsumura-h,136,https://github.com/itsumura-h/nim-basolato
nim_websitecreator,ThomasTJdev,135,https://github.com/ThomasTJdev/nim_websitecreator
hts-nim,brentp,134,https://github.com/brentp/hts-nim
linear-algebra,andreaferretti,133,https://github.com/andreaferretti/linear-algebra
nimgame2,Vladar4,131,https://github.com/Vladar4/nimgame2
zippy,guzba,129,https://github.com/guzba/zippy
omni,vitreo12,125,https://github.com/vitreo12/omni
nim-plotly,brentp,123,https://github.com/brentp/nim-plotly
nim-libp2p,status-im,123,https://github.com/status-im/nim-libp2p
NimYAML,flyx,116,https://github.com/flyx/NimYAML
nim.nvim,alaviss,116,https://github.com/alaviss/nim.nvim
sdl2_nim,Vladar4,114,https://github.com/Vladar4/sdl2_nim
nimpylib,Yardanico,113,https://github.com/Yardanico/nimpylib
NimSvg,bluenote10,113,https://github.com/bluenote10/NimSvg
nuklear-nim,zacharycarter,111,https://github.com/zacharycarter/nuklear-nim
nimph,disruptek,110,https://github.com/disruptek/nimph
vaf,d4rckh,108,https://github.com/d4rckh/vaf
mofuw,2vg,107,https://github.com/2vg/mofuw
Neel,Niminem,101,https://github.com/Niminem/Neel
so_stupid_search,Lisprez,101,https://github.com/Lisprez/so_stupid_search
rod,yglukhov,100,https://github.com/yglukhov/rod
nimcrypto,cheatfate,100,https://github.com/cheatfate/nimcrypto
telebot.nim,ba0f3,99,https://github.com/ba0f3/telebot.nim
nimgen,genotrance,98,https://github.com/genotrance/nimgen
msgpack4nim,jangko,97,https://github.com/jangko/msgpack4nim
cps,disruptek,97,https://github.com/disruptek/cps
protobuf-nim,PMunch,95,https://github.com/PMunch/protobuf-nim
nimqml,filcuc,94,https://github.com/filcuc/nimqml
nimly,loloicci,94,https://github.com/loloicci/nimly
nim-dashing,FedericoCeratto,92,https://github.com/FedericoCeratto/nim-dashing
needed-libraries,nim-lang,92,https://github.com/nim-lang/needed-libraries
emerald,flyx,92,https://github.com/flyx/emerald
gara,alehander92,91,https://github.com/alehander92/gara
itertools,narimiran,90,https://github.com/narimiran/itertools
nim-markdown,soasme,87,https://github.com/soasme/nim-markdown
nim-gatabase,juancarlospaco,86,https://github.com/juancarlospaco/nim-gatabase
jupyternim,stisa,86,https://github.com/stisa/jupyternim
nimquery,GULPF,83,https://github.com/GULPF/nimquery
commandeer,fenekku,83,https://github.com/fenekku/commandeer
parsetoml,NimParsers,82,https://github.com/NimParsers/parsetoml
dimscord,krisppurg,82,https://github.com/krisppurg/dimscord
nim-templates,onionhammer,80,https://github.com/onionhammer/nim-templates
natu,exelotl,80,https://github.com/exelotl/natu
website,nim-lang,80,https://github.com/nim-lang/website
webview,oskca,78,https://github.com/oskca/webview
asynctools,cheatfate,77,https://github.com/cheatfate/asynctools
status-desktop,status-im,75,https://github.com/status-im/status-desktop
nimLUA,jangko,71,https://github.com/jangko/nimLUA
nesper,elcritch,71,https://github.com/elcritch/nesper
nodejs,juancarlospaco,71,https://github.com/juancarlospaco/nodejs
nim-allographer,itsumura-h,70,https://github.com/itsumura-h/nim-allographer
nim-httpauth,FedericoCeratto,70,https://github.com/FedericoCeratto/nim-httpauth
webgui,juancarlospaco,69,https://github.com/juancarlospaco/webgui
nim-basics,narimiran,67,https://github.com/narimiran/nim-basics
react.nim,andreaferretti,67,https://github.com/andreaferretti/react.nim
wireworld-nim,JHonaker,67,https://github.com/JHonaker/wireworld-nim
cascade,citycide,66,https://github.com/citycide/cascade
nimib,pietroppeter,66,https://github.com/pietroppeter/nimib
couchbase-lite-C,couchbase,65,https://github.com/couchbase/couchbase-lite-C
nim-csfml,oprypin,64,https://github.com/oprypin/nim-csfml
nim-random,oprypin,63,https://github.com/oprypin/nim-random
nimler,wltsmrz,62,https://github.com/wltsmrz/nimler
Nim-SMBExec,elddy,62,https://github.com/elddy/Nim-SMBExec
imgui,nimgl,60,https://github.com/nimgl/imgui
nimdbx,snej,58,https://github.com/snej/nimdbx
