Repository Name,Username,Stars,URL
mongo,mongodb,20100,https://github.com/mongodb/mongo
rxdb,pubkey,15800,https://github.com/pubkey/rxdb
codis,CodisLabs,12000,https://github.com/CodisLabs/codis
arangodb,arangodb,11400,https://github.com/arangodb/arangodb
neo4j,neo4j,9100,https://github.com/neo4j/neo4j
dejavu,appbaseio,7400,https://github.com/appbaseio/dejavu
scylla,scylladb,7000,https://github.com/scylladb/scylla
LiteDB,mbdavid,5800,https://github.com/mbdavid/LiteDB
zeppelin,apache,5300,https://github.com/apache/zeppelin
school-of-sre,linkedin,4700,https://github.com/linkedin/school-of-sre
tinydb,msiemens,4400,https://github.com/msiemens/tinydb
orientdb,orientechnologies,4300,https://github.com/orientechnologies/orientdb
pika,OpenAtomFoundation,4200,https://github.com/OpenAtomFoundation/pika
awesome-system-design,madd86,4200,https://github.com/madd86/awesome-system-design
lucene-solr,apache,4200,https://github.com/apache/lucene-solr
awesome-elasticsearch,dzharii,4000,https://github.com/dzharii/awesome-elasticsearch
objectbox-java,objectbox,3800,https://github.com/objectbox/objectbox-java
dynomite,Netflix,3800,https://github.com/Netflix/dynomite
westore,Tencent,3700,https://github.com/Tencent/westore
nosqlclient,nosqlclient,3300,https://github.com/nosqlclient/nosqlclient
ravendb,ravendb,2800,https://github.com/ravendb/ravendb
db,upper,2600,https://github.com/upper/db
tiedot,HouzuoGuo,2600,https://github.com/HouzuoGuo/tiedot
octosql,cube2222,2500,https://github.com/cube2222/octosql
hive,hivedb,2400,https://github.com/hivedb/hive
Paper,pilgr,2200,https://github.com/pilgr/Paper
Tendis,Tencent,2100,https://github.com/Tencent/Tendis
gocql,gocql,2100,https://github.com/gocql/gocql
rom,rom-rb,1900,https://github.com/rom-rb/rom
tera,baidu,1800,https://github.com/baidu/tera
nuster,jiangwenyuan,1800,https://github.com/jiangwenyuan/nuster
NoSQLMap,codingo,1800,https://github.com/codingo/NoSQLMap
IOT-Technical-Guide,IoT-Technology,1800,https://github.com/IoT-Technology/IOT-Technical-Guide
stampede,torodb,1800,https://github.com/torodb/stampede
grandnode,grandnode,1700,https://github.com/grandnode/grandnode
ardb,yinqiwen,1700,https://github.com/yinqiwen/ardb
elassandra,strapdata,1600,https://github.com/strapdata/elassandra
variety,variety,1600,https://github.com/variety/variety
unqlite,symisc,1500,https://github.com/symisc/unqlite
couchbase-lite-ios,couchbase,1500,https://github.com/couchbase/couchbase-lite-ios
griddb,griddb,1500,https://github.com/griddb/griddb
iotdb,apache,1500,https://github.com/apache/iotdb
incubator-pegasus,apache,1400,https://github.com/apache/incubator-pegasus
RedisGraph,RedisGraph,1400,https://github.com/RedisGraph/RedisGraph
djongo,nesdis,1300,https://github.com/nesdis/djongo
summitdb,tidwall,1300,https://github.com/tidwall/summitdb
tidis,yongman,1200,https://github.com/yongman/tidis
ejdb,Softmotions,1200,https://github.com/Softmotions/ejdb
1store,fastio,1200,https://github.com/fastio/1store
rest-hapi,JKHeadley,1100,https://github.com/JKHeadley/rest-hapi
titan,distributedio,1100,https://github.com/distributedio/titan
fluent,vapor,1100,https://github.com/vapor/fluent
nodejs-driver,datastax,1100,https://github.com/datastax/nodejs-driver
agensgraph,bitnine-oss,1100,https://github.com/bitnine-oss/agensgraph
redix,alash3al,945,https://github.com/alash3al/redix
dynamodb-toolbox,jeremydaly,925,https://github.com/jeremydaly/dynamodb-toolbox
typeorm,nestjs,904,https://github.com/nestjs/typeorm
xodus,JetBrains,900,https://github.com/JetBrains/xodus
Kundera,Impetus,894,https://github.com/Impetus/Kundera
infinispan,infinispan,887,https://github.com/infinispan/infinispan
mongo-cxx-driver,mongodb,823,https://github.com/mongodb/mongo-cxx-driver
libmdbx,erthink,814,https://github.com/erthink/libmdbx
Nano-SQL,only-cliches,735,https://github.com/only-cliches/Nano-SQL
restheart,SoftInstigate,677,https://github.com/SoftInstigate/restheart
laravel-schemaless-attributes,spatie,650,https://github.com/spatie/laravel-schemaless-attributes
Nosql-Exploitation-Framework,torque59,578,https://github.com/torque59/Nosql-Exploitation-Framework
nitrite-java,nitrite,576,https://github.com/nitrite/nitrite-java
framework-learning,guang19,558,https://github.com/guang19/framework-learning
CorfuDB,CorfuDB,548,https://github.com/CorfuDB/CorfuDB
arangojs,arangodb,518,https://github.com/arangodb/arangojs
SleekDB,rakibtg,512,https://github.com/rakibtg/SleekDB
nodejs-firestore,googleapis,505,https://github.com/googleapis/nodejs-firestore
csharp-driver,datastax,496,https://github.com/datastax/csharp-driver
DotNetGuide,YSGStudyHards,489,https://github.com/YSGStudyHards/DotNetGuide
bolthold,timshannon,470,https://github.com/timshannon/bolthold
KitDB,frost373,433,https://github.com/frost373/KitDB
DBreeze,hhblaze,396,https://github.com/hhblaze/DBreeze
sharedhashfile,simonhf,395,https://github.com/simonhf/sharedhashfile
NoDB,Miserlou,355,https://github.com/Miserlou/NoDB
RethinkDb.Driver,bchavez,353,https://github.com/bchavez/RethinkDb.Driver
kache,kasvith,352,https://github.com/kasvith/kache
bitnami-docker-redis,bitnami,343,https://github.com/bitnami/bitnami-docker-redis
lucene,apache,337,https://github.com/apache/lucene
unqlite-python,coleifer,335,https://github.com/coleifer/unqlite-python
query-engine,bevry-archive,332,https://github.com/bevry-archive/query-engine
odmantic,art049,322,https://github.com/art049/odmantic
exist,eXist-db,309,https://github.com/eXist-db/exist
concourse,cinchapi,309,https://github.com/cinchapi/concourse
Android-NoSql,florent37,287,https://github.com/florent37/Android-NoSql
skills-summary,xiaobeicn,264,https://github.com/xiaobeicn/skills-summary
bedquilt-core,BedquiltDB,255,https://github.com/BedquiltDB/bedquilt-core
hibari,hibari,253,https://github.com/hibari/hibari
eshop,totaljs,246,https://github.com/totaljs/eshop
data,atk4,245,https://github.com/atk4/data
mongodb-quickstart-course,mikeckennedy,235,https://github.com/mikeckennedy/mongodb-quickstart-course
k8ssandra,k8ssandra,231,https://github.com/k8ssandra/k8ssandra
AngularMaterialFirebase,jeroenouw,230,https://github.com/jeroenouw/AngularMaterialFirebase
mongoose,nestjs,223,https://github.com/nestjs/mongoose
cassandra-operator,instaclustr,221,https://github.com/instaclustr/cassandra-operator
ftserver,iboxdb,221,https://github.com/iboxdb/ftserver
iowow,Softmotions,219,https://github.com/Softmotions/iowow
helicalinsight,helicalinsight,217,https://github.com/helicalinsight/helicalinsight
kivik,go-kivik,211,https://github.com/go-kivik/kivik
azure-cosmos-js,Azure,203,https://github.com/Azure/azure-cosmos-js
pyArango,ArangoDB-Community,195,https://github.com/ArangoDB-Community/pyArango
couchbase-lite-core,couchbase,194,https://github.com/couchbase/couchbase-lite-core
mage2vuestorefront,vuestorefront,191,https://github.com/vuestorefront/mage2vuestorefront
cassandradump,gianlucaborello,190,https://github.com/gianlucaborello/cassandradump
aerospike-client-nodejs,aerospike,187,https://github.com/aerospike/aerospike-client-nodejs
objectdb,marioreggiori,182,https://github.com/marioreggiori/objectdb
arangodb-java-driver,arangodb,179,https://github.com/arangodb/arangodb-java-driver
arangodb-php,arangodb,178,https://github.com/arangodb/arangodb-php
manifest,couchbase,177,https://github.com/couchbase/manifest
nodejs-datastore,googleapis,169,https://github.com/googleapis/nodejs-datastore
MCW-Serverless-architecture,microsoft,162,https://github.com/microsoft/MCW-Serverless-architecture
AvanceDB,RipcordSoftware,161,https://github.com/RipcordSoftware/AvanceDB
db,blobcity,161,https://github.com/blobcity/db
LiteDB.FSharp,Zaid-Ajaj,156,https://github.com/Zaid-Ajaj/LiteDB.FSharp
nosqli,Charlie-belmer,154,https://github.com/Charlie-belmer/nosqli
db-tutorial,dunwu,153,https://github.com/dunwu/db-tutorial
