Repository Name,Username,Stars,URL
freeCodeCamp,freeCodeCamp,326000,https://github.com/freeCodeCamp/freeCodeCamp
electron,electron,94400,https://github.com/electron/electron
axios,axios,85800,https://github.com/axios/axios
30-seconds-of-code,30-seconds,80500,https://github.com/30-seconds/30-seconds-of-code
node,nodejs,80400,https://github.com/nodejs/node
nodebestpractices,goldbergyoni,68700,https://github.com/goldbergyoni/nodebestpractices
express,expressjs,53700,https://github.com/expressjs/express
nvm,nvm-sh,49900,https://github.com/nvm-sh/nvm
meteor,meteor,42500,https://github.com/meteor/meteor
33-js-concepts,leonardomso,41800,https://github.com/leonardomso/33-js-concepts
awesome-nodejs,sindresorhus,41700,https://github.com/sindresorhus/awesome-nodejs
nest,nestjs,38500,https://github.com/nestjs/nest
nw.js,nwjs,38200,https://github.com/nwjs/nw.js
Ghost,TryGhost,38000,https://github.com/TryGhost/Ghost
strapi,strapi,37600,https://github.com/strapi/strapi
freecodecamp.cn,FreeCodeCampChina,36600,https://github.com/FreeCodeCampChina/freecodecamp.cn
pm2,Unitech,35200,https://github.com/Unitech/pm2
edex-ui,GitSquared,33100,https://github.com/GitSquared/edex-ui
hexo,hexojs,33100,https://github.com/hexojs/hexo
hackathon-starter,sahat,32000,https://github.com/sahat/hackathon-starter
nativefier,nativefier,27600,https://github.com/nativefier/nativefier
date-fns,date-fns,26300,https://github.com/date-fns/date-fns
sheetjs,SheetJS,26100,https://github.com/SheetJS/sheetjs
standard,standard,25700,https://github.com/standard/standard
joplin,laurent22,24200,https://github.com/laurent22/joplin
webtorrent,webtorrent,24000,https://github.com/webtorrent/webtorrent
awesome-cheatsheets,LeCoupa,21100,https://github.com/LeCoupa/awesome-cheatsheets
react-starter-kit,kriasoft,20800,https://github.com/kriasoft/react-starter-kit
mocha,mochajs,20600,https://github.com/mochajs/mocha
NeteaseCloudMusicApi,Binaryify,20600,https://github.com/Binaryify/NeteaseCloudMusicApi
sharp,lovell,20000,https://github.com/lovell/sharp
faas,openfaas,20000,https://github.com/openfaas/faas
fastify,fastify,19700,https://github.com/fastify/fastify
ava,avajs,19100,https://github.com/avajs/ava
parse-server,parse-community,18800,https://github.com/parse-community/parse-server
pkg,vercel,18400,https://github.com/vercel/pkg
fe-interview,haizlin,18200,https://github.com/haizlin/fe-interview
zx,google,17900,https://github.com/google/zx
egg,eggjs,17100,https://github.com/eggjs/egg
ws,websockets,16600,https://github.com/websockets/ws
nvm-windows,coreybutler,16600,https://github.com/coreybutler/nvm-windows
mysql,mysqljs,16600,https://github.com/mysqljs/mysql
svgo,svg,16400,https://github.com/svg/svgo
node-lessons,alsotang,16300,https://github.com/alsotang/node-lessons
jsdom,jsdom,16100,https://github.com/jsdom/jsdom
statsd,statsd,15900,https://github.com/statsd/statsd
lowdb,typicode,15800,https://github.com/typicode/lowdb
rxdb,pubkey,15800,https://github.com/pubkey/rxdb
N-blog,nswbmw,14900,https://github.com/nswbmw/N-blog
prisma,prisma,14900,https://github.com/prisma/prisma
best-resume-ever,salomonelli,14800,https://github.com/salomonelli/best-resume-ever
keystone-classic,keystonejs,14800,https://github.com/keystonejs/keystone-classic
Inquirer.js,SBoudrias,14600,https://github.com/SBoudrias/Inquirer.js
fiber,gofiber,14200,https://github.com/gofiber/fiber
node-redis,NodeRedis,14000,https://github.com/NodeRedis/node-redis
feathers,feathersjs,13500,https://github.com/feathersjs/feathers
hapi,hapijs,13400,https://github.com/hapijs/hapi
wiki,Requarks,13300,https://github.com/Requarks/wiki
spellbook-of-modern-webdev,dexteryy,13000,https://github.com/dexteryy/spellbook-of-modern-webdev
discord.js,discordjs,12900,https://github.com/discordjs/discord.js
face-api.js,justadudewhohacks,12600,https://github.com/justadudewhohacks/face-api.js
gpu.js,gpujs,12600,https://github.com/gpujs/gpu.js
shelljs,shelljs,12600,https://github.com/shelljs/shelljs
javascript-testing-best-practices,goldbergyoni,12400,https://github.com/goldbergyoni/javascript-testing-best-practices
brain.js,BrainJS,12100,https://github.com/BrainJS/brain.js
NodeBB,NodeBB,12000,https://github.com/NodeBB/NodeBB
outline,outline,12000,https://github.com/outline/outline
verdaccio,verdaccio,11900,https://github.com/verdaccio/verdaccio
pnpm,pnpm,11800,https://github.com/pnpm/pnpm
wp-calypso,Automattic,11800,https://github.com/Automattic/wp-calypso
smartcrop.js,jwagner,11700,https://github.com/jwagner/smartcrop.js
volkswagen,auchenberg,11500,https://github.com/auchenberg/volkswagen
asdf,asdf-vm,11300,https://github.com/asdf-vm/asdf
bull,OptimalBits,10900,https://github.com/OptimalBits/bull
Administrative-divisions-of-China,modood,10900,https://github.com/modood/Administrative-divisions-of-China
nightwatch,nightwatchjs,10800,https://github.com/nightwatchjs/nightwatch
cube.js,cube-js,10700,https://github.com/cube-js/cube.js
core,adonisjs,10700,https://github.com/adonisjs/core
dataloader,graphql,10600,https://github.com/graphql/dataloader
postgraphile,graphile,10500,https://github.com/graphile/postgraphile
ndb,GoogleChromeLabs,10500,https://github.com/GoogleChromeLabs/ndb
marko,marko-js,10400,https://github.com/marko-js/marko
nexe,nexe,10200,https://github.com/nexe/nexe
reactide,reactide,10200,https://github.com/reactide/reactide
spectrum,withspectrum,10000,https://github.com/withspectrum/spectrum
node-interview,ElemeFE,10000,https://github.com/ElemeFE/node-interview
ungit,FredrikNoren,9700,https://github.com/FredrikNoren/ungit
got,sindresorhus,9700,https://github.com/sindresorhus/got
art-template,aui,9500,https://github.com/aui/art-template
google-api-nodejs-client,googleapis,9400,https://github.com/googleapis/google-api-nodejs-client
ip2region,lionsoul2014,9400,https://github.com/lionsoul2014/ip2region
dogehouse,benawad,9200,https://github.com/benawad/dogehouse
connect,senchalabs,9200,https://github.com/senchalabs/connect
pollyjs,Netflix,9000,https://github.com/Netflix/pollyjs
napajs,microsoft,8900,https://github.com/microsoft/napajs
whistle,avwo,8900,https://github.com/avwo/whistle
ts-node,TypeStrong,8900,https://github.com/TypeStrong/ts-node
warriorjs,olistic,8600,https://github.com/olistic/warriorjs
SpaceX-API,r-spacex,8600,https://github.com/r-spacex/SpaceX-API
signale,klaussinani,8500,https://github.com/klaussinani/signale
habitica,HabitRPG,8400,https://github.com/HabitRPG/habitica
webtorrent-desktop,webtorrent,8300,https://github.com/webtorrent/webtorrent-desktop
http-proxy-middleware,chimurai,8300,https://github.com/chimurai/http-proxy-middleware
up,apex,8300,https://github.com/apex/up
pencil,evolus,8100,https://github.com/evolus/pencil
social-analyzer,qeeqbox,8000,https://github.com/qeeqbox/social-analyzer
blog,jawil,7800,https://github.com/jawil/blog
InversifyJS,inversify,7800,https://github.com/inversify/InversifyJS
node-fs-extra,jprichardson,7800,https://github.com/jprichardson/node-fs-extra
zenbot,DeviaVir,7800,https://github.com/DeviaVir/zenbot
gridsome,gridsome,7700,https://github.com/gridsome/gridsome
nx,nrwl,7700,https://github.com/nrwl/nx
leon,leon-ai,7700,https://github.com/leon-ai/leon
node-gyp,nodejs,7600,https://github.com/nodejs/node-gyp
pino,pinojs,7400,https://github.com/pinojs/pino
flexsearch,nextapps-de,7400,https://github.com/nextapps-de/flexsearch
caprover,caprover,7400,https://github.com/caprover/caprover
js-beautify,beautify-web,7300,https://github.com/beautify-web/js-beautify
dillinger,joemccann,7100,https://github.com/joemccann/dillinger
nideshop-mini-program,tumobi,7000,https://github.com/tumobi/nideshop-mini-program
