Repository Name,Username,Stars,URL
awesome-ios,vsouza,37900,https://github.com/vsouza/awesome-ios
open-source-ios-apps,dkhamsing,27700,https://github.com/dkhamsing/open-source-ios-apps
open-source-mac-os-apps,serhii-londar,26400,https://github.com/serhii-londar/open-source-mac-os-apps
SDWebImage,SDWebImage,23600,https://github.com/SDWebImage/SDWebImage
IQKeyboardManager,hackiftekhar,15100,https://github.com/hackiftekhar/IQKeyboardManager
realm-cocoa,realm,14500,https://github.com/realm/realm-cocoa
MJRefresh,CoderMJLee,13500,https://github.com/CoderMJLee/MJRefresh
CocoaPods,CocoaPods,13300,https://github.com/CocoaPods/CocoaPods
OpenEmu,OpenEmu,12900,https://github.com/OpenEmu/OpenEmu
CocoaLumberjack,CocoaLumberjack,12400,https://github.com/CocoaLumberjack/CocoaLumberjack
infer,facebook,12400,https://github.com/facebook/infer
SVProgressHUD,SVProgressHUD,12300,https://github.com/SVProgressHUD/SVProgressHUD
IGListKit,Instagram,12000,https://github.com/Instagram/IGListKit
Mantle,Mantle,11300,https://github.com/Mantle/Mantle
TimLiu-iOS,Tim9Liu9,10700,https://github.com/Tim9Liu9/TimLiu-iOS
ios-good-practices,futurice,10300,https://github.com/futurice/ios-good-practices
BackgroundMusic,kyleneideck,9800,https://github.com/kyleneideck/BackgroundMusic
FSCalendar,WenchaoD,9600,https://github.com/WenchaoD/FSCalendar
Halfrost-Field,halfrost,9200,https://github.com/halfrost/Halfrost-Field
Quick,Quick,9200,https://github.com/Quick/Quick
macdown,MacDownApp,8700,https://github.com/MacDownApp/macdown
MJExtension,CoderMJLee,8400,https://github.com/CoderMJLee/MJExtension
sequelpro,sequelpro,8400,https://github.com/sequelpro/sequelpro
Aspects,steipete,8200,https://github.com/steipete/Aspects
hammerspoon,Hammerspoon,8000,https://github.com/Hammerspoon/hammerspoon
analyze,draveness,7800,https://github.com/draveness/analyze
JVFloatLabeledTextField,jverdi,7100,https://github.com/jverdi/JVFloatLabeledTextField
kotlin-native,JetBrains,7100,https://github.com/JetBrains/kotlin-native
Awesome-ARKit,olucurious,7000,https://github.com/olucurious/Awesome-ARKit
Reachability,tonymillion,6900,https://github.com/tonymillion/Reachability
assimp,assimp,6700,https://github.com/assimp/assimp
quicktype,quicktype,6700,https://github.com/quicktype/quicktype
CYLTabBarController,ChenYilong,6500,https://github.com/ChenYilong/CYLTabBarController
nimbus,jverkoey,6500,https://github.com/jverkoey/nimbus
FSPagerView,WenchaoD,6000,https://github.com/WenchaoD/FSPagerView
MacPass,MacPass,5900,https://github.com/MacPass/MacPass
XLForm,xmartlabs,5700,https://github.com/xmartlabs/XLForm
terminal-notifier,julienXX,5600,https://github.com/julienXX/terminal-notifier
popping,schneiderandre,5600,https://github.com/schneiderandre/popping
flutter-examples,nisrulz,5600,https://github.com/nisrulz/flutter-examples
JLRoutes,joeldev,5500,https://github.com/joeldev/JLRoutes
JXCategoryView,pujiaxin33,5400,https://github.com/pujiaxin33/JXCategoryView
SAMKeychain,soffes,5400,https://github.com/soffes/SAMKeychain
iOSProject,NJHu,5300,https://github.com/NJHu/iOSProject
vimr,qvacua,5300,https://github.com/qvacua/vimr
iOS-Developer-Roadmap,BohdanOrlov,5300,https://github.com/BohdanOrlov/iOS-Developer-Roadmap
MonkeyDev,AloneMonkey,5300,https://github.com/AloneMonkey/MonkeyDev
awesome-swift,Wolg,5200,https://github.com/Wolg/awesome-swift
TSMessages,KrauseFx,4900,https://github.com/KrauseFx/TSMessages
ZipArchive,ZipArchive,4800,https://github.com/ZipArchive/ZipArchive
OHHTTPStubs,AliSoftware,4800,https://github.com/AliSoftware/OHHTTPStubs
ESTabBarController,eggswift,4500,https://github.com/eggswift/ESTabBarController
Provenance,Provenance-Emu,4500,https://github.com/Provenance-Emu/Provenance
Sloth,sveinbjornt,4400,https://github.com/sveinbjornt/Sloth
material-components-ios,material-components,4400,https://github.com/material-components/material-components-ios
KeepingYouAwake,newmarcel,4200,https://github.com/newmarcel/KeepingYouAwake
mapbox-gl-native,mapbox,4000,https://github.com/mapbox/mapbox-gl-native
NJKWebViewProgress,ninjinkun,3900,https://github.com/ninjinkun/NJKWebViewProgress
PINRemoteImage,pinterest,3900,https://github.com/pinterest/PINRemoteImage
gravity,marcobambini,3900,https://github.com/marcobambini/gravity
HMSegmentedControl,HeshamMegid,3800,https://github.com/HeshamMegid/HMSegmentedControl
coobjc,alibaba,3800,https://github.com/alibaba/coobjc
nui,tombenner,3800,https://github.com/tombenner/nui
PYSearch,ko1o,3800,https://github.com/ko1o/PYSearch
TLYShyNavBar,telly,3800,https://github.com/telly/TLYShyNavBar
SBJson,SBJson,3800,https://github.com/SBJson/SBJson
EAIntroView,ealeksandrov,3800,https://github.com/ealeksandrov/EAIntroView
iOS-Weekly,SwiftOldDriver,3800,https://github.com/SwiftOldDriver/iOS-Weekly
xmake,xmake-io,3700,https://github.com/xmake-io/xmake
FoldingTabBar.iOS,Yalantis,3700,https://github.com/Yalantis/FoldingTabBar.iOS
CocoaDebug,CocoaDebug,3700,https://github.com/CocoaDebug/CocoaDebug
MarqueeLabel,cbpowell,3600,https://github.com/cbpowell/MarqueeLabel
DKNightVersion,draveness,3500,https://github.com/draveness/DKNightVersion
XHLaunchAd,CoderZhuXH,3500,https://github.com/CoderZhuXH/XHLaunchAd
promises,google,3500,https://github.com/google/promises
santa,google,3500,https://github.com/google/santa
macdriver,progrium,3400,https://github.com/progrium/macdriver
SCLAlertView,dogo,3400,https://github.com/dogo/SCLAlertView
Sequel-Ace,Sequel-Ace,3300,https://github.com/Sequel-Ace/Sequel-Ace
JKCategories,shaojiankui,3200,https://github.com/shaojiankui/JKCategories
LayoutKit,LinkedInAttic,3200,https://github.com/LinkedInAttic/LayoutKit
WordPress-iOS,wordpress-mobile,3200,https://github.com/wordpress-mobile/WordPress-iOS
JGProgressHUD,JonasGessner,3000,https://github.com/JonasGessner/JGProgressHUD
ChatSecure-iOS,ChatSecure,3000,https://github.com/ChatSecure/ChatSecure-iOS
firebase-ios-sdk,firebase,3000,https://github.com/firebase/firebase-ios-sdk
TYAttributedLabel,12207480,2900,https://github.com/12207480/TYAttributedLabel
ClangFormat-Xcode,travisjeffery,2800,https://github.com/travisjeffery/ClangFormat-Xcode
clang,llvm-mirror,2800,https://github.com/llvm-mirror/clang
eigen,artsy,2800,https://github.com/artsy/eigen
Parse-SDK-iOS-OSX,parse-community,2800,https://github.com/parse-community/Parse-SDK-iOS-OSX
LNPopupController,LeoNatan,2700,https://github.com/LeoNatan/LNPopupController
TABAnimated,tigerAndBull,2700,https://github.com/tigerAndBull/TABAnimated
Harpy,ArtSabintsev,2600,https://github.com/ArtSabintsev/Harpy
Ono,mattt,2600,https://github.com/mattt/Ono
Playgrounds,krzysztofzablocki,2600,https://github.com/krzysztofzablocki/Playgrounds
NYXImagesKit,Nyx0uf,2600,https://github.com/Nyx0uf/NYXImagesKit
ZFDragableModalTransition,zoonooz,2500,https://github.com/zoonooz/ZFDragableModalTransition
PINCache,pinterest,2500,https://github.com/pinterest/PINCache
EKAlgorithms,EvgenyKarkan,2400,https://github.com/EvgenyKarkan/EKAlgorithms
specta,specta,2300,https://github.com/specta/specta
RDVTabBarController,robbdimitrov,2300,https://github.com/robbdimitrov/RDVTabBarController
wikipedia-ios,wikimedia,2300,https://github.com/wikimedia/wikipedia-ios
libPhoneNumber-iOS,iziz,2200,https://github.com/iziz/libPhoneNumber-iOS
cocoa-rest-client,mmattozzi,2200,https://github.com/mmattozzi/cocoa-rest-client
organicmaps,organicmaps,2200,https://github.com/organicmaps/organicmaps
Pull-to-Refresh.Rentals-iOS,Yalantis,2200,https://github.com/Yalantis/Pull-to-Refresh.Rentals-iOS
OpenSSL-for-iPhone,x2on,2200,https://github.com/x2on/OpenSSL-for-iPhone
Core-Data-Editor,ChristianKienle,2100,https://github.com/ChristianKienle/Core-Data-Editor
iOS-blur,JagCesar,2100,https://github.com/JagCesar/iOS-blur
CodeExamples,kharrison,2100,https://github.com/kharrison/CodeExamples
MobileProject,wujunyang,2000,https://github.com/wujunyang/MobileProject
ocmock,erikdoe,2000,https://github.com/erikdoe/ocmock
cordova-ios,apache,2000,https://github.com/apache/cordova-ios
HTY360Player,hanton,2000,https://github.com/hanton/HTY360Player
ProvisionQL,ealeksandrov,2000,https://github.com/ealeksandrov/ProvisionQL
iOSCourse,eseedo,2000,https://github.com/eseedo/iOSCourse
PBJVision,piemonte,1900,https://github.com/piemonte/PBJVision
react-native-iap,dooboolab,1900,https://github.com/dooboolab/react-native-iap
fui,dblock,1900,https://github.com/dblock/fui
