Repository Name,Username,Stars,URL
alacritty,alacritty,33500,https://github.com/alacritty/alacritty
kitty,kovidgoyal,11800,https://github.com/kovidgoyal/kitty
filament,google,11300,https://github.com/google/filament
tinyrenderer,ssloy,10900,https://github.com/ssloy/tinyrenderer
3d-game-shaders-for-beginners,lettier,10700,https://github.com/lettier/3d-game-shaders-for-beginners
openage,SFTtech,10400,https://github.com/SFTtech/openage
OpenRCT2,OpenRCT2,9600,https://github.com/OpenRCT2/OpenRCT2
bgfx,bkaradzic,9600,https://github.com/bkaradzic/bgfx
Craft,fogleman,8700,https://github.com/fogleman/Craft
openFrameworks,openframeworks,8400,https://github.com/openframeworks/openFrameworks
android-gpuimage,cats-oss,8000,https://github.com/cats-oss/android-gpuimage
glfw,glfw,7800,https://github.com/glfw/glfw
SFML,SFML,6900,https://github.com/SFML/SFML
raylib,raysan5,6800,https://github.com/raysan5/raylib
renderdoc,baldurk,5500,https://github.com/baldurk/renderdoc
glm,g-truc,5300,https://github.com/g-truc/glm
olive,olive-editor,5200,https://github.com/olive-editor/olive
gfx,gfx-rs,4900,https://github.com/gfx-rs/gfx
Open3D,intel-isl,4800,https://github.com/intel-isl/Open3D
azul,fschutt,4600,https://github.com/fschutt/azul
gephi,gephi,4400,https://github.com/gephi/gephi
openscad,openscad,4100,https://github.com/openscad/openscad
mapbox-gl-native,mapbox,4000,https://github.com/mapbox/mapbox-gl-native
CameraView,natario1,3900,https://github.com/natario1/CameraView
StarWars.iOS,Yalantis,3700,https://github.com/Yalantis/StarWars.iOS
magnum,mosra,3500,https://github.com/mosra/magnum
Ultralight,ultralight-ux,3400,https://github.com/ultralight-ux/Ultralight
lwjgl3,LWJGL,3300,https://github.com/LWJGL/lwjgl3
cute_headers,RandyGaul,3100,https://github.com/RandyGaul/cute_headers
SHADERed,dfranx,2900,https://github.com/dfranx/SHADERed
editly,mifi,2900,https://github.com/mifi/editly
panda3d,panda3d,2800,https://github.com/panda3d/panda3d
vispy,vispy,2700,https://github.com/vispy/vispy
MangoHud,flightlessmango,2500,https://github.com/flightlessmango/MangoHud
glium,glium,2500,https://github.com/glium/glium
ogre,OGRECave,2300,https://github.com/OGRECave/ogre
aminal,liamg,2300,https://github.com/liamg/aminal
permafrost-engine,eduard-permyakov,2200,https://github.com/eduard-permyakov/permafrost-engine
OpenSceneGraph,openscenegraph,2200,https://github.com/openscenegraph/OpenSceneGraph
react-imgpro,nitin42,2200,https://github.com/nitin42/react-imgpro
awesome-vulkan,vinjn,2200,https://github.com/vinjn/awesome-vulkan
spring,spring,2200,https://github.com/spring/spring
opentk,opentk,2100,https://github.com/opentk/opentk
glad,Dav1dde,2100,https://github.com/Dav1dde/glad
apitrace,apitrace,2100,https://github.com/apitrace/apitrace
reshade,crosire,2100,https://github.com/crosire/reshade
rust-doom,cristicbz,2000,https://github.com/cristicbz/rust-doom
Glitter,Polytonic,2000,https://github.com/Polytonic/Glitter
HTY360Player,hanton,2000,https://github.com/hanton/HTY360Player
duckstation,stenzek,2000,https://github.com/stenzek/duckstation
StarWars.Android,Yalantis,1900,https://github.com/Yalantis/StarWars.Android
