Repository Name,Username,Stars,URL
laravel,laravel,65900,https://github.com/laravel/laravel
symfony,symfony,25600,https://github.com/symfony/symfony
awesome-php,ziadoz,25500,https://github.com/ziadoz/awesome-php
composer,composer,25400,https://github.com/composer/composer
framework,laravel,24400,https://github.com/laravel/framework
awesome-cheatsheets,LeCoupa,21100,https://github.com/LeCoupa/awesome-cheatsheets
guzzle,guzzle,21000,https://github.com/guzzle/guzzle
DesignPatternsPHP,DesignPatternsPHP,19700,https://github.com/DesignPatternsPHP/DesignPatternsPHP
CodeIgniter,bcit-ci,18200,https://github.com/bcit-ci/CodeIgniter
phpunit,sebastianbergmann,17700,https://github.com/sebastianbergmann/phpunit
hhvm,facebook,17000,https://github.com/facebook/hhvm
swoole-src,swoole,17000,https://github.com/swoole/swoole-src
PHPMailer,PHPMailer,16900,https://github.com/PHPMailer/PHPMailer
matomo,matomo-org,15100,https://github.com/matomo-org/matomo
PHP-Parser,nikic,14700,https://github.com/nikic/PHP-Parser
parsedown,erusev,13800,https://github.com/erusev/parsedown
yii2,yiisoft,13800,https://github.com/yiisoft/yii2
monica,monicahq,13100,https://github.com/monicahq/monica
grav,getgrav,12800,https://github.com/getgrav/grav
whoops,filp,12500,https://github.com/filp/whoops
Cachet,CachetHQ,12200,https://github.com/CachetHQ/Cachet
phabricator,phacility,12200,https://github.com/phacility/phabricator
flysystem,thephpleague,12000,https://github.com/thephpleague/flysystem
image,Intervention,12000,https://github.com/Intervention/image
flarum,flarum,11700,https://github.com/flarum/flarum
uuid,ramsey,11300,https://github.com/ramsey/uuid
Slim,slimphp,11100,https://github.com/slimphp/Slim
laradock,laradock,10700,https://github.com/laradock/laradock
october,octobercms,10700,https://github.com/octobercms/october
cphalcon,phalcon,10400,https://github.com/phalcon/cphalcon
PHP-CS-Fixer,FriendsOfPHP,10300,https://github.com/FriendsOfPHP/PHP-CS-Fixer
awesome-laravel,chiraggude,10300,https://github.com/chiraggude/awesome-laravel
antlr4,antlr,10300,https://github.com/antlr/antlr4
EmailValidator,egulias,10200,https://github.com/egulias/EmailValidator
PhpSpreadsheet,PHPOffice,10100,https://github.com/PHPOffice/PhpSpreadsheet
jwt-auth,tymondesigns,10100,https://github.com/tymondesigns/jwt-auth
Laravel-Excel,Maatwebsite,10000,https://github.com/Maatwebsite/Laravel-Excel
phpstan,phpstan,10000,https://github.com/phpstan/phpstan
mockery,mockery,9900,https://github.com/mockery/mockery
Mobile-Detect,serbanghita,9800,https://github.com/serbanghita/Mobile-Detect
