Repository Name,Username,Stars,URL
pyxel,kitao,8300,https://github.com/kitao/pyxel
awesome-PICO-8,pico-8,1900,https://github.com/pico-8/awesome-PICO-8
picolove,picolove,497,https://github.com/picolove/picolove
picotool,dansanderson,262,https://github.com/dansanderson/picotool
scumm-8,Liquidream,242,https://github.com/Liquidream/scumm-8
picoDeploy,torch2424,166,https://github.com/torch2424/picoDeploy
retro8,Jakz,135,https://github.com/Jakz/retro8
tac08,0xcafed00d,121,https://github.com/0xcafed00d/tac08
fake-08,jtothebell,119,https://github.com/jtothebell/fake-08
pico8-api,Neko250,118,https://github.com/Neko250/pico8-api
PICO-8-Token-Optimizations,seleb,102,https://github.com/seleb/PICO-8-Token-Optimizations
neko8,egordorichev,89,https://github.com/egordorichev/neko8
picolove,gamax92,86,https://github.com/gamax92/picolove
P8Coder,movAX13h,81,https://github.com/movAX13h/P8Coder
Minima,Feneric,63,https://github.com/Feneric/Minima
p8-programming-fonts,juanitogan,52,https://github.com/juanitogan/p8-programming-fonts
PICO-Tween,JoebRogers,51,https://github.com/JoebRogers/PICO-Tween
pico8,freds72,50,https://github.com/freds72/pico8
jspicl,jspicl,49,https://github.com/jspicl/jspicl
midi-to-pico8,andmatand,49,https://github.com/andmatand/midi-to-pico8
midi2pico,gamax92,41,https://github.com/gamax92/midi2pico
pico8-boilerplate,ojdon,38,https://github.com/ojdon/pico8-boilerplate
picobox,cauli,38,https://github.com/cauli/picobox
pico-8-projects,NangiDev,37,https://github.com/NangiDev/pico-8-projects
pico2tic,musurca,37,https://github.com/musurca/pico2tic
p8,jozanza,36,https://github.com/jozanza/p8
Pico8Platformer,Enichan,34,https://github.com/Enichan/Pico8Platformer
sublime-PICO-8,Neko250,34,https://github.com/Neko250/sublime-PICO-8
PICO-EC,JoebRogers,31,https://github.com/JoebRogers/PICO-EC
pico-test,jozanza,28,https://github.com/jozanza/pico-test
Depicofier,Enichan,25,https://github.com/Enichan/Depicofier
Pico-8-Cookbook,nateProjects,23,https://github.com/nateProjects/Pico-8-Cookbook
PICO-8.vim,Bakudankun,20,https://github.com/Bakudankun/PICO-8.vim
pico8-gpio-listener,benwiley4000,19,https://github.com/benwiley4000/pico8-gpio-listener
jspicl-mario-sample,jspicl,18,https://github.com/jspicl/jspicl-mario-sample
pico8-emmylua-definitions,peabnuts123,18,https://github.com/peabnuts123/pico8-emmylua-definitions
MadeWithPICO-8Badges,JoebRogers,16,https://github.com/JoebRogers/MadeWithPICO-8Badges
lexaloffle,dansanderson,15,https://github.com/dansanderson/lexaloffle
pico8-deploy,tducasse,15,https://github.com/tducasse/pico8-deploy
language-pico8,tobiasvl,14,https://github.com/tobiasvl/language-pico8
p8advent,dansanderson,14,https://github.com/dansanderson/p8advent
pico-8-gpio,seleb,14,https://github.com/seleb/pico-8-gpio
picoverse,namuol,13,https://github.com/namuol/picoverse
pecs,jesstelford,13,https://github.com/jesstelford/pecs
picochak,Megus,13,https://github.com/Megus/picochak
pico8dev,morningtoast,13,https://github.com/morningtoast/pico8dev
pico8-google-analytics,mtthsflk,12,https://github.com/mtthsflk/pico8-google-analytics
Anteform,Feneric,12,https://github.com/Feneric/Anteform
sonic-pico8,hsandt,12,https://github.com/hsandt/sonic-pico8
mosaic,kometbomb,12,https://github.com/kometbomb/mosaic
CIS---102---Getting-Started-with-Video-Game-Development,nicklalone,12,https://github.com/nicklalone/CIS---102---Getting-Started-with-Video-Game-Development
pico8-table-string,benwiley4000,12,https://github.com/benwiley4000/pico8-table-string
pico-tools,nicholaswagner,11,https://github.com/nicholaswagner/pico-tools
sk8border,sk8border,11,https://github.com/sk8border/sk8border
picomoon,jozanza,11,https://github.com/jozanza/picomoon
analytics-pico8,segmentio,11,https://github.com/segmentio/analytics-pico8
fix-pico8-ios-sound,nucleartide,11,https://github.com/nucleartide/fix-pico8-ios-sound
PICO-TweenMachine,JoebRogers,11,https://github.com/JoebRogers/PICO-TweenMachine
3DS-Pico8,Pixel-Pop,11,https://github.com/Pixel-Pop/3DS-Pico8
pico-8-newgrounds-tutorial,Bigaston,10,https://github.com/Bigaston/pico-8-newgrounds-tutorial
PICO-8-Styler,seleb,9,https://github.com/seleb/PICO-8-Styler
pico8-to-lua,benwiley4000,9,https://github.com/benwiley4000/pico8-to-lua
jspicl-cli,jspicl,9,https://github.com/jspicl/jspicl-cli
piconiccc,Megus,9,https://github.com/Megus/piconiccc
pico8,xavier,8,https://github.com/xavier/pico8
pico8,britzl,8,https://github.com/britzl/pico8
pico-nfig,codl,8,https://github.com/codl/pico-nfig
zeldo-game,alanxoc3,8,https://github.com/alanxoc3/zeldo-game
pico8-customcart,usrshare,7,https://github.com/usrshare/pico8-customcart
fila,sicusa,7,https://github.com/sicusa/fila
RetroJam-Submissions,afonsojramos,7,https://github.com/afonsojramos/RetroJam-Submissions
pico-snippets,nucleartide,7,https://github.com/nucleartide/pico-snippets
dragon_demo_platformer,Achie72,7,https://github.com/Achie72/dragon_demo_platformer
zzlib-pico8,zerkman,6,https://github.com/zerkman/zzlib-pico8
pico-boots,hsandt,6,https://github.com/hsandt/pico-boots
pico8,aquova,6,https://github.com/aquova/pico8
vector-paint,andmatand,6,https://github.com/andmatand/vector-paint
Pico3D,qualiaa,6,https://github.com/qualiaa/Pico3D
jspicl-megaman-sample,jspicl,6,https://github.com/jspicl/jspicl-megaman-sample
pico-8,DanielOaks,6,https://github.com/DanielOaks/pico-8
Pico8-Sokoban-Framework,Woj-Rak,6,https://github.com/Woj-Rak/Pico8-Sokoban-Framework
Bootyful-Demake,nateProjects,6,https://github.com/nateProjects/Bootyful-Demake
knifey-spoony,Jonic,5,https://github.com/Jonic/knifey-spoony
picomake,Siapran,5,https://github.com/Siapran/picomake
p8,p3r7,5,https://github.com/p3r7/p8
picolarium,tobiasvl,5,https://github.com/tobiasvl/picolarium
meteor-night,tobiasvl,5,https://github.com/tobiasvl/meteor-night
pico8-ui,tobiasvl,5,https://github.com/tobiasvl/pico8-ui
tower-noire,smketterer,5,https://github.com/smketterer/tower-noire
jspicl-starter,jspicl,4,https://github.com/jspicl/jspicl-starter
vim-pico8-syntax,aquova,4,https://github.com/aquova/vim-pico8-syntax
pico_modules,jozanza,4,https://github.com/jozanza/pico_modules
colorbox,livacengiz,4,https://github.com/livacengiz/colorbox
Celeste-META,minirop,4,https://github.com/minirop/Celeste-META
picogps,kmartinez,4,https://github.com/kmartinez/picogps
dungener,MattMcFarland,4,https://github.com/MattMcFarland/dungener
pico-8-experiments,Megus,4,https://github.com/Megus/pico-8-experiments
tiny-pico8-touch-ui,benwiley4000,4,https://github.com/benwiley4000/tiny-pico8-touch-ui
tiny-terrarium,HeladoDeBrownie,4,https://github.com/HeladoDeBrownie/tiny-terrarium
react-pico-8,woofers,4,https://github.com/woofers/react-pico-8
pico-rl,tobiasvl,4,https://github.com/tobiasvl/pico-rl
pypega,FilippoLeone,4,https://github.com/FilippoLeone/pypega
bull-sheep,abhijit-kar,3,https://github.com/abhijit-kar/bull-sheep
shark-wars,a2,3,https://github.com/a2/shark-wars
pico8-imgtools,gamax92,3,https://github.com/gamax92/pico8-imgtools
i_core,jihem,3,https://github.com/jihem/i_core
pico8demakes,pixelbath,3,https://github.com/pixelbath/pico8demakes
The-Floor-is-Lava,seattlesuekim,3,https://github.com/seattlesuekim/The-Floor-is-Lava
selection-sort-visualization,grunkgrunk,3,https://github.com/grunkgrunk/selection-sort-visualization
QPong-PICO-8,HuangJunye,3,https://github.com/HuangJunye/QPong-PICO-8
pico-ps,MaxwellDexter,3,https://github.com/MaxwellDexter/pico-ps
leaf,mateusmds,3,https://github.com/mateusmds/leaf
detroid,smketterer,3,https://github.com/smketterer/detroid
pico-8,jukefr,3,https://github.com/jukefr/pico-8
hungry-birdie,aalekseev,3,https://github.com/aalekseev/hungry-birdie
pico8-d8-console,dewil-official,3,https://github.com/dewil-official/pico8-d8-console
embedded-picofont,althonos,3,https://github.com/althonos/embedded-picofont
game-off-2016,michaelchadwick,2,https://github.com/michaelchadwick/game-off-2016
ggj-2019,Pomettini,2,https://github.com/Pomettini/ggj-2019
carts,simonewebdesign,2,https://github.com/simonewebdesign/carts
