Repository Name,Username,Stars,URL
angular,angular,74600,https://github.com/angular/angular
ionic-framework,ionic-team,44900,https://github.com/ionic-team/ionic-framework
hoppscotch,hoppscotch,29900,https://github.com/hoppscotch/hoppscotch
devdocs,freeCodeCamp,26100,https://github.com/freeCodeCamp/devdocs
lighthouse,GoogleChrome,23100,https://github.com/GoogleChrome/lighthouse
quasar,quasarframework,19000,https://github.com/quasarframework/quasar
rxdb,pubkey,15800,https://github.com/pubkey/rxdb
saleor,mirumee,13400,https://github.com/mirumee/saleor
stencil,ionic-team,9400,https://github.com/ionic-team/stencil
YesPlayMusic,qier222,9000,https://github.com/qier222/YesPlayMusic
snapdrop,RobinLinus,8900,https://github.com/RobinLinus/snapdrop
vue-storefront,vuestorefront,8600,https://github.com/vuestorefront/vue-storefront
OnsenUI,OnsenUI,8400,https://github.com/OnsenUI/OnsenUI
amplify-js,aws-amplify,8200,https://github.com/aws-amplify/amplify-js
rax,alibaba,7400,https://github.com/alibaba/rax
capacitor,ionic-team,5900,https://github.com/ionic-team/capacitor
go-app,maxence-charriere,4900,https://github.com/maxence-charriere/go-app
UpUp,TalAter,4800,https://github.com/TalAter/UpUp
preact-cli,preactjs,4500,https://github.com/preactjs/preact-cli
offline-plugin,NekR,4400,https://github.com/NekR/offline-plugin
web-skills,andreasbm,4200,https://github.com/andreasbm/web-skills
assemble,assemble,4000,https://github.com/assemble/assemble
awesome-pwa,hemanth,3700,https://github.com/hemanth/awesome-pwa
angular-performance-checklist,mgechev,3700,https://github.com/mgechev/angular-performance-checklist
awesome-learning-resources,lauragift21,3600,https://github.com/lauragift21/awesome-learning-resources
PWA-Book-CN,SangKa,3500,https://github.com/SangKa/PWA-Book-CN
hint,webhintio,3200,https://github.com/webhintio/hint
pwa,vuejs-templates,3000,https://github.com/vuejs-templates/pwa
Reactive-Resume,AmruthPillai,2900,https://github.com/AmruthPillai/Reactive-Resume
frontend-tech-list,alienzhou,2900,https://github.com/alienzhou/frontend-tech-list
just,angus-c,2800,https://github.com/angus-c/just
react-pwa,Atyantik,2400,https://github.com/Atyantik/react-pwa
lighthousebot,GoogleChromeLabs,2200,https://github.com/GoogleChromeLabs/lighthousebot
swarmpit,swarmpit,2100,https://github.com/swarmpit/swarmpit
cezerin,cezerin,2000,https://github.com/cezerin/cezerin
builder,BuilderIO,1800,https://github.com/BuilderIO/builder
metastream,samuelmaddock,1800,https://github.com/samuelmaddock/metastream
storefront-ui,vuestorefront,1700,https://github.com/vuestorefront/storefront-ui
learning-article,webproblem,1700,https://github.com/webproblem/learning-article
Front-end-tutorial,nicejade,1600,https://github.com/nicejade/Front-end-tutorial
react-most-wanted,TarikHuber,1600,https://github.com/TarikHuber/react-most-wanted
ReactiveTraderCloud,AdaptiveConsulting,1600,https://github.com/AdaptiveConsulting/ReactiveTraderCloud
pwa-asset-generator,onderceylan,1600,https://github.com/onderceylan/pwa-asset-generator
knowledge,f2e-awesome,1500,https://github.com/f2e-awesome/knowledge
generative.fm,generative-music,1500,https://github.com/generative-music/generative.fm
bento-starter,kefranabg,1500,https://github.com/kefranabg/bento-starter
OpenNote,FoxUSA,1500,https://github.com/FoxUSA/OpenNote
next-pwa,shadowwalker,1400,https://github.com/shadowwalker/next-pwa
next-offline,hanford,1400,https://github.com/hanford/next-offline
generator-ngx-rocket,ngx-rocket,1400,https://github.com/ngx-rocket/generator-ngx-rocket
community-modules,nuxt-community,1300,https://github.com/nuxt-community/community-modules
gatsby-advanced-starter,Vagr9K,1300,https://github.com/Vagr9K/gatsby-advanced-starter
deckdeckgo,deckgo,1200,https://github.com/deckgo/deckdeckgo
flatris,skidding,1200,https://github.com/skidding/flatris
pgtune,le0pard,1200,https://github.com/le0pard/pgtune
jpg-glitch,snorpey,1100,https://github.com/snorpey/jpg-glitch
ng-toolkit,maciejtreder,1100,https://github.com/maciejtreder/ng-toolkit
aurelia,aurelia,1100,https://github.com/aurelia/aurelia
jekyll-theme-chirpy,cotes2020,1100,https://github.com/cotes2020/jekyll-theme-chirpy
pwa-module,nuxt-community,1100,https://github.com/nuxt-community/pwa-module
pwacompat,GoogleChromeLabs,1000,https://github.com/GoogleChromeLabs/pwacompat
tris-webpack-boilerplate,tr1s,1000,https://github.com/tr1s/tris-webpack-boilerplate
