Repository Name,Username,Stars,URL
yarn,yarnpkg,39900,https://github.com/yarnpkg/yarn
brew,Homebrew,28500,https://github.com/Homebrew/brew
composer,composer,25400,https://github.com/composer/composer
poetry,python-poetry,15600,https://github.com/python-poetry/poetry
bower,bower,15100,https://github.com/bower/bower
Carthage,Carthage,14400,https://github.com/Carthage/Carthage
winget-cli,microsoft,14300,https://github.com/microsoft/winget-cli
CocoaPods,CocoaPods,13300,https://github.com/CocoaPods/CocoaPods
vcpkg,microsoft,13200,https://github.com/microsoft/vcpkg
dep,golang,13200,https://github.com/golang/dep
pnpm,pnpm,11800,https://github.com/pnpm/pnpm
choco,chocolatey,7600,https://github.com/chocolatey/choco
cargo,rust-lang,7000,https://github.com/rust-lang/cargo
antigen,zsh-users,6600,https://github.com/zsh-users/antigen
patch-package,ds300,5200,https://github.com/ds300/patch-package
conan,conan-io,5100,https://github.com/conan-io/conan
cli,npm,4600,https://github.com/npm/cli
nix,NixOS,4500,https://github.com/NixOS/nix
volta,volta-cli,3800,https://github.com/volta-cli/volta
awesome-npm,sindresorhus,3800,https://github.com/sindresorhus/awesome-npm
xmake,xmake-io,3700,https://github.com/xmake-io/xmake
berry,yarnpkg,3600,https://github.com/yarnpkg/berry
athens,gomods,3600,https://github.com/gomods/athens
whalebrew,whalebrew,3200,https://github.com/whalebrew/whalebrew
rubygems,rubygems,2800,https://github.com/rubygems/rubygems
npx,zkat,2600,https://github.com/zkat/npx
brew,Linuxbrew,2600,https://github.com/Linuxbrew/brew
dcos,dcos,2300,https://github.com/dcos/dcos
habitat,habitat-sh,2300,https://github.com/habitat-sh/habitat
hatch,ofek,2200,https://github.com/ofek/hatch
luarocks,luarocks,2200,https://github.com/luarocks/luarocks
tink,npm,2200,https://github.com/npm/tink
spack,spack,2100,https://github.com/spack/spack
bolt,boltpkg,2100,https://github.com/boltpkg/bolt
ied,alexanderGugel,2000,https://github.com/alexanderGugel/ied
topgrade,r-darwish,1800,https://github.com/r-darwish/topgrade
integration,hacs,1800,https://github.com/hacs/integration
chromebrew,skycocker,1800,https://github.com/skycocker/chromebrew
Paket,fsprojects,1700,https://github.com/fsprojects/Paket
BaGet,loic-sharma,1700,https://github.com/loic-sharma/BaGet
straight.el,raxod502,1700,https://github.com/raxod502/straight.el
Mint,yonaskolb,1600,https://github.com/yonaskolb/Mint
bpkg,bpkg,1600,https://github.com/bpkg/bpkg
aura,fosskers,1100,https://github.com/fosskers/aura
packer.nvim,wbthomason,966,https://github.com/wbthomason/packer.nvim
Shrine,minexew,960,https://github.com/minexew/Shrine
macports-ports,macports,959,https://github.com/macports/macports-ports
opam,ocaml,929,https://github.com/ocaml/opam
libraries.io,librariesio,928,https://github.com/librariesio/libraries.io
peru,buildinspace,927,https://github.com/buildinspace/peru
dnf,rpm-software-management,877,https://github.com/rpm-software-management/dnf
nimble,nim-lang,866,https://github.com/nim-lang/nimble
buckaroo,LoopPerfect,841,https://github.com/LoopPerfect/buckaroo
basher,basherpm,815,https://github.com/basherpm/basher
AppManager,MuntashirAkon,810,https://github.com/MuntashirAkon/AppManager
Rome,tmspzz,752,https://github.com/tmspzz/Rome
modern-cpp-template,filipdutescu,752,https://github.com/filipdutescu/modern-cpp-template
niv,nmattia,750,https://github.com/nmattia/niv
