Repository Name,Username,Stars,URL
CyberChef,gchq,12400,https://github.com/gchq/CyberChef
antlr4,antlr,10300,https://github.com/antlr/antlr4
pydantic,samuelcolvin,6900,https://github.com/samuelcolvin/pydantic
esprima,jquery,6200,https://github.com/jquery/esprima
tree-sitter,tree-sitter,5800,https://github.com/tree-sitter/tree-sitter
acwj,DoctorWkt,5400,https://github.com/DoctorWkt/acwj
node-xml2js,Leonidas-from-XIV,4300,https://github.com/Leonidas-from-XIV/node-xml2js
PhoneNumberKit,marmelroy,4200,https://github.com/marmelroy/PhoneNumberKit
ohm,harc,3800,https://github.com/harc/ohm
SBJson,SBJson,3800,https://github.com/SBJson/SBJson
estree,estree,3600,https://github.com/estree/estree
reek,troessner,3600,https://github.com/troessner/reek
maya,timofurrer,3300,https://github.com/timofurrer/maya
nearley,kach,3000,https://github.com/kach/nearley
wuffs,google,2800,https://github.com/google/wuffs
jsmn,zserge,2600,https://github.com/zserge/jsmn
LIEF,lief-project,2500,https://github.com/lief-project/LIEF
gabs,Jeffail,2400,https://github.com/Jeffail/gabs
pest,pest-parser,2400,https://github.com/pest-parser/pest
command-line-api,dotnet,2200,https://github.com/dotnet/command-line-api
CppSharp,mono,2100,https://github.com/mono/CppSharp
fecha,taylorhakes,1900,https://github.com/taylorhakes/fecha
abot,sjdirect,1900,https://github.com/sjdirect/abot
govaluate,Knetic,1900,https://github.com/Knetic/govaluate
Down,johnxnguyen,1800,https://github.com/johnxnguyen/Down
chevrotain,Chevrotain,1700,https://github.com/Chevrotain/chevrotain
dateutil,dateutil,1600,https://github.com/dateutil/dateutil
ImportJSON,bradjasper,1500,https://github.com/bradjasper/ImportJSON
PEGTL,taocpp,1400,https://github.com/taocpp/PEGTL
Rubberduck,rubberduck-vba,1400,https://github.com/rubberduck-vba/Rubberduck
Making-a-custom-React-renderer,nitin42,1200,https://github.com/nitin42/Making-a-custom-React-renderer
php-svg-lib,PhenX,1200,https://github.com/PhenX/php-svg-lib
pyparsing,pyparsing,1200,https://github.com/pyparsing/pyparsing
comby,comby-tools,1100,https://github.com/comby-tools/comby
logos,maciejhirsz,1100,https://github.com/maciejhirsz/logos
plaso,log2timeline,1100,https://github.com/log2timeline/plaso
react-native-parsed-text,taskrabbit,1000,https://github.com/taskrabbit/react-native-parsed-text
Fuzi,cezheng,922,https://github.com/cezheng/Fuzi
FeedKit,nmdias,918,https://github.com/nmdias/FeedKit
rust-peg,kevinmehall,913,https://github.com/kevinmehall/rust-peg
moment.php,fightbulc,911,https://github.com/fightbulc/moment.php
readr,tidyverse,848,https://github.com/tidyverse/readr
m3u8,grafov,840,https://github.com/grafov/m3u8
ason,afollestad,779,https://github.com/afollestad/ason
phonelib,daddyz,763,https://github.com/daddyz/phonelib
meriyah,meriyah,739,https://github.com/meriyah/meriyah
neon,nette,719,https://github.com/nette/neon
owl,ianh,657,https://github.com/ianh/owl
self-attentive-parser,nikitakit,610,https://github.com/nikitakit/self-attentive-parser
rjsx-mode,felipeochoa,609,https://github.com/felipeochoa/rjsx-mode
firely-net-sdk,FirelyTeam,584,https://github.com/FirelyTeam/firely-net-sdk
bottlenose,lionheart,567,https://github.com/lionheart/bottlenose
jikan,jikan-me,556,https://github.com/jikan-me/jikan
scala-parser-combinators,scala,545,https://github.com/scala/scala-parser-combinators
maigret,soxoj,544,https://github.com/soxoj/maigret
Multi-Human-Parsing,ZhaoJ9014,522,https://github.com/ZhaoJ9014/Multi-Human-Parsing
Pidgin,benjamin-hodgson,496,https://github.com/benjamin-hodgson/Pidgin
emacs-tree-sitter,ubolonton,491,https://github.com/ubolonton/emacs-tree-sitter
cpp-peglib,yhirose,475,https://github.com/yhirose/cpp-peglib
json-machine,halaxa,468,https://github.com/halaxa/json-machine
opensource,tunnckoCore,462,https://github.com/tunnckoCore/opensource
SharpConfig,cemdervis,456,https://github.com/cemdervis/SharpConfig
angstrom,inhabitedtype,455,https://github.com/inhabitedtype/angstrom
scnlib,eliaskosunen,439,https://github.com/eliaskosunen/scnlib
seafox,KFlash,439,https://github.com/KFlash/seafox
jsoniter-scala,plokhotnyuk,434,https://github.com/plokhotnyuk/jsoniter-scala
MachO-Kit,DeVaukz,431,https://github.com/DeVaukz/MachO-Kit
json.h,sheredom,416,https://github.com/sheredom/json.h
csv,beatrichartz,409,https://github.com/beatrichartz/csv
jflex,jflex-de,403,https://github.com/jflex-de/jflex
binjs-ref,binast,401,https://github.com/binast/binjs-ref
AngouriMath,asc-community,392,https://github.com/asc-community/AngouriMath
VnCoreNLP,vncorenlp,388,https://github.com/vncorenlp/VnCoreNLP
PSPNet-Keras-tensorflow,Vladkryvoruchko,388,https://github.com/Vladkryvoruchko/PSPNet-Keras-tensorflow
kgt,katef,387,https://github.com/katef/kgt
nlpnet,erickrf,385,https://github.com/erickrf/nlpnet
see-phit,rep-movsd,378,https://github.com/rep-movsd/see-phit
gval,PaesslerAG,351,https://github.com/PaesslerAG/gval
atto,tpolecat,346,https://github.com/tpolecat/atto
como-lang-ng,analang,341,https://github.com/analang/como-lang-ng
ClangKit,macmade,339,https://github.com/macmade/ClangKit
tag,dhowden,336,https://github.com/dhowden/tag
pom,J-F-Liu,324,https://github.com/J-F-Liu/pom
phply,viraptor,313,https://github.com/viraptor/phply
Serpent,nodes-ios,284,https://github.com/nodes-ios/Serpent
ldetool,sirkon,283,https://github.com/sirkon/ldetool
creek,pythonicrubyist,278,https://github.com/pythonicrubyist/creek
kataw,kataw,276,https://github.com/kataw/kataw
NLPython,jalajthanaki,275,https://github.com/jalajthanaki/NLPython
cbor,pyfisch,267,https://github.com/pyfisch/cbor
StringsAreEvil,indy-singh,264,https://github.com/indy-singh/StringsAreEvil
funcparserlib,vlasovskikh,263,https://github.com/vlasovskikh/funcparserlib
npm-pdfreader,adrienjoly,261,https://github.com/adrienjoly/npm-pdfreader
link-preview-js,ospfranco,256,https://github.com/ospfranco/link-preview-js
ScrapySharp,rflechner,240,https://github.com/rflechner/ScrapySharp
vscode-antlr4,mike-lischke,240,https://github.com/mike-lischke/vscode-antlr4
Deep-Generative-Models-for-Natural-Language-Processing,FranxYao,239,https://github.com/FranxYao/Deep-Generative-Models-for-Natural-Language-Processing
semantic-csv,metasoarous,237,https://github.com/metasoarous/semantic-csv
spacy-api-docker,jgontrum,229,https://github.com/jgontrum/spacy-api-docker
jikan-rest,jikan-me,228,https://github.com/jikan-me/jikan-rest
UserAgentParser,ThaDafinser,227,https://github.com/ThaDafinser/UserAgentParser
Chatette,SimGus,224,https://github.com/SimGus/Chatette
pypacker,mike01,223,https://github.com/mike01/pypacker
neodoc,felixSchl,222,https://github.com/felixSchl/neodoc
dissect.cstruct,fox-it,218,https://github.com/fox-it/dissect.cstruct
pollinate,howardroark,214,https://github.com/howardroark/pollinate
gramfuzz,d0c-s4vage,212,https://github.com/d0c-s4vage/gramfuzz
goose-parser,redco,211,https://github.com/redco/goose-parser
HTMLKit,iabudiab,211,https://github.com/iabudiab/HTMLKit
Arpeggio,textX,210,https://github.com/textX/Arpeggio
bllip-parser,BLLIP,208,https://github.com/BLLIP/bllip-parser
rust-lexical,Alexhuszagh,205,https://github.com/Alexhuszagh/rust-lexical
eo-yaml,decorators-squad,203,https://github.com/decorators-squad/eo-yaml
parse-xml,rgrove,193,https://github.com/rgrove/parse-xml
nHapi,nHapiNET,184,https://github.com/nHapiNET/nHapi
yamerl,yakaz,180,https://github.com/yakaz/yamerl
combine,bitwalker,174,https://github.com/bitwalker/combine
StaticJSON,netheril96,174,https://github.com/netheril96/StaticJSON
RatS,StegSchreck,169,https://github.com/StegSchreck/RatS
