Repository Name,Username,Stars,URL
Command-line-text-processing,learnbyexample,9600,https://github.com/learnbyexample/Command-line-text-processing
theos,theos,3500,https://github.com/theos/theos
kaitai_struct,kaitai-io,2600,https://github.com/kaitai-io/kaitai_struct
mojo,mojolicious,2300,https://github.com/mojolicious/mojo
weechat,weechat,2200,https://github.com/weechat/weechat
rsnapshot,rsnapshot,2200,https://github.com/rsnapshot/rsnapshot
postgresqltuner,jfcoz,2100,https://github.com/jfcoz/postgresqltuner
imapsync,imapsync,2100,https://github.com/imapsync/imapsync
KomodoEdit,Komodo,2000,https://github.com/Komodo/KomodoEdit
activemq,apache,1900,https://github.com/apache/activemq
avro,apache,1900,https://github.com/apache/avro
Mojo-Webqq,hexsum,1800,https://github.com/hexsum/Mojo-Webqq
arl,kaxap,1500,https://github.com/kaxap/arl
munin,munin-monitoring,1500,https://github.com/munin-monitoring/munin
ack2,beyondgrep,1500,https://github.com/beyondgrep/ack2
Mojo-Weixin,hexsum,1200,https://github.com/hexsum/Mojo-Weixin
shc,neurobin,1200,https://github.com/neurobin/shc
perl5,Perl,1100,https://github.com/Perl/perl5
nipe,htrgouvea,1100,https://github.com/htrgouvea/nipe
exiftool,exiftool,993,https://github.com/exiftool/exiftool
openkore,OpenKore,990,https://github.com/OpenKore/openkore
zeroclickinfo-goodies,duckduckgo,948,https://github.com/duckduckgo/zeroclickinfo-goodies
scripting_course,learnbyexample,918,https://github.com/learnbyexample/scripting_course
youtube-viewer,trizen,849,https://github.com/trizen/youtube-viewer
Monitorix,mikaku,837,https://github.com/mikaku/Monitorix
convos,convos-chat,824,https://github.com/convos-chat/convos
OneLang,onelang,820,https://github.com/onelang/OneLang
Color-Scripts,stark,815,https://github.com/stark/Color-Scripts
sysadmin-util,skx,808,https://github.com/skx/sysadmin-util
inxi,smxi,740,https://github.com/smxi/inxi
fib,drujensen,718,https://github.com/drujensen/fib
Dancer,PerlDancer,716,https://github.com/PerlDancer/Dancer
trizen,trizen,707,https://github.com/trizen/trizen
slimserver,Logitech,671,https://github.com/Logitech/slimserver
Rex,RexOps,661,https://github.com/RexOps/Rex
dotdotpwn,wireghoul,646,https://github.com/wireghoul/dotdotpwn
asbru-cm,asbru-cm,642,https://github.com/asbru-cm/asbru-cm
musicbrainz-server,metabrainz,603,https://github.com/metabrainz/musicbrainz-server
rt,bestpractical,593,https://github.com/bestpractical/rt
hack-tools,hacktoolspack,555,https://github.com/hacktoolspack/hack-tools
LANraragi,Difegue,544,https://github.com/Difegue/LANraragi
zeroclickinfo-spice,duckduckgo,541,https://github.com/duckduckgo/zeroclickinfo-spice
vim-plugins-profile,hyiltiz,533,https://github.com/hyiltiz/vim-plugins-profile
clamav-faq,Cisco-Talos,529,https://github.com/Cisco-Talos/clamav-faq
altium2kicad,thesourcerer8,528,https://github.com/thesourcerer8/altium2kicad
mt-aws-glacier,vsespb,526,https://github.com/vsespb/mt-aws-glacier
Dancer2,PerlDancer,492,https://github.com/PerlDancer/Dancer2
cli,linode,475,https://github.com/linode/cli
