Repository Name,Username,Stars,URL
phaser,photonstorm,30000,https://github.com/photonstorm/phaser
OpenSC2K,nicholas-ochoa,4700,https://github.com/nicholas-ochoa/OpenSC2K
phaser-examples,photonstorm,1700,https://github.com/photonstorm/phaser-examples
Machine-Learning-Flappy-Bird,ssusnic,1600,https://github.com/ssusnic/Machine-Learning-Flappy-Bird
phaser-es6-webpack,lean,1300,https://github.com/lean/phaser-es6-webpack
games,channingbreeze,1200,https://github.com/channingbreeze/games
phaser-ce,photonstorm,1200,https://github.com/photonstorm/phaser-ce
phaser3-typescript,digitsensitive,719,https://github.com/digitsensitive/phaser3-typescript
DragonBonesJS,DragonBones,624,https://github.com/DragonBones/DragonBonesJS
webpack-starter-basic,lifenautjoe,571,https://github.com/lifenautjoe/webpack-starter-basic
iogrid,jondubois,460,https://github.com/jondubois/iogrid
phaser-ce-npm-webpack-typescript-starter-project,rroylance,415,https://github.com/rroylance/phaser-ce-npm-webpack-typescript-starter-project
free-tex-packer,odrick,396,https://github.com/odrick/free-tex-packer
enable3d,enable3d,362,https://github.com/enable3d/enable3d
phaser3-docs,photonstorm,343,https://github.com/photonstorm/phaser3-docs
commit4,balajmarius,335,https://github.com/balajmarius/commit4
phaserquest,Jerenaux,320,https://github.com/Jerenaux/phaserquest
phaser-catch-the-cat,ganlvtech,317,https://github.com/ganlvtech/phaser-catch-the-cat
generator-phaser,julien,257,https://github.com/julien/generator-phaser
phaser3-typescript-project-template,photonstorm,227,https://github.com/photonstorm/phaser3-typescript-project-template
phaser-project-template,yandeu,223,https://github.com/yandeu/phaser-project-template
navmesh,mikewesthad,197,https://github.com/mikewesthad/navmesh
phaser-ui-tools,jsfehler,196,https://github.com/jsfehler/phaser-ui-tools
expo-phaser,expo,189,https://github.com/expo/expo-phaser
phaser-input,azerion,188,https://github.com/azerion/phaser-input
slick-ui,Flaxis,184,https://github.com/Flaxis/slick-ui
slither.io-clone,Loonride,177,https://github.com/Loonride/slither.io-clone
phaser-state-transition,cristianbote,170,https://github.com/cristianbote/phaser-state-transition
ion-phaser,proyecto26,167,https://github.com/proyecto26/ion-phaser
phaser-collection,yuwanli,149,https://github.com/yuwanli/phaser-collection
phaser-examples,jojoee,148,https://github.com/jojoee/phaser-examples
reldens,damian-pastorini,148,https://github.com/damian-pastorini/reldens
generator-phaser-plus,rblopes,147,https://github.com/rblopes/generator-phaser-plus
phaser-project-template-es6,yandeu,143,https://github.com/yandeu/phaser-project-template-es6
Creature_WebGL,kestrelm,142,https://github.com/kestrelm/Creature_WebGL
phaser3-particle-editor,koreezgames,136,https://github.com/koreezgames/phaser3-particle-editor
phaser,phaserjs,129,https://github.com/phaserjs/phaser
PhaserEditor2D-v3,PhaserEditor2D,122,https://github.com/PhaserEditor2D/PhaserEditor2D-v3
phaser-arcade-slopes,hexus,121,https://github.com/hexus/phaser-arcade-slopes
Phaser-Kinetic-Scrolling-Plugin,proyecto26,118,https://github.com/proyecto26/Phaser-Kinetic-Scrolling-Plugin
EasyGameFrameworkOpen,AILHC,114,https://github.com/AILHC/EasyGameFrameworkOpen
phaser-spine,azerion,111,https://github.com/azerion/phaser-spine
phaser-list-view,mattcolman,107,https://github.com/mattcolman/phaser-list-view
IsoCitySim,snollygolly,103,https://github.com/snollygolly/IsoCitySim
phaser-ts-boilerplate,azerion,98,https://github.com/azerion/phaser-ts-boilerplate
badsanta,Lallassu,97,https://github.com/Lallassu/badsanta
red-packet-rain,AmosXu,93,https://github.com/AmosXu/red-packet-rain
phaser3-tilemap-pack,B3L7,90,https://github.com/B3L7/phaser3-tilemap-pack
phaser-webpack-loader,goldfire,86,https://github.com/goldfire/phaser-webpack-loader
phaser-ads,azerion,83,https://github.com/azerion/phaser-ads
gowog,giongto35,81,https://github.com/giongto35/gowog
phaser-starter,oliverbenns,74,https://github.com/oliverbenns/phaser-starter
phaser3-typescript-starter-kit,josephmbustamante,71,https://github.com/josephmbustamante/phaser3-typescript-starter-kit
phaser-parcel,samme,61,https://github.com/samme/phaser-parcel
phaser3-ninepatch-plugin,koreezgames,61,https://github.com/koreezgames/phaser3-ninepatch-plugin
PokeMMO-Online-Realtime-Multiplayer-Game,aaron5670,60,https://github.com/aaron5670/PokeMMO-Online-Realtime-Multiplayer-Game
phaser-ui-comps,xense,57,https://github.com/xense/phaser-ui-comps
phaser-tilemap-plus,colinvella,57,https://github.com/colinvella/phaser-tilemap-plus
phaser-boilerplate,goldfire,57,https://github.com/goldfire/phaser-boilerplate
weixin-minigame-tutorial,dotgreg,57,https://github.com/dotgreg/weixin-minigame-tutorial
phaser3-typescript-platformer-example,yandeu,57,https://github.com/yandeu/phaser3-typescript-platformer-example
phasocketonline,vezwork,54,https://github.com/vezwork/phasocketonline
phaser3-plugin-pathbuilder,samid737,53,https://github.com/samid737/phaser3-plugin-pathbuilder
phaser3-simple-rpg,pierpo,53,https://github.com/pierpo/phaser3-simple-rpg
collection-mobile-page,yuwanli,52,https://github.com/yuwanli/collection-mobile-page
phaser-cli,phaser-cli,52,https://github.com/phaser-cli/phaser-cli
phaser-nineslice,azerion,52,https://github.com/azerion/phaser-nineslice
uai_shot,sergioaugrod,49,https://github.com/sergioaugrod/uai_shot
phaser-sprite-gui,samme,49,https://github.com/samme/phaser-sprite-gui
Phaser.io-v3-Boilerplate,22mahmoud,49,https://github.com/22mahmoud/Phaser.io-v3-Boilerplate
phaser-super-storage,azerion,48,https://github.com/azerion/phaser-super-storage
phaser-on-nodejs,geckosio,47,https://github.com/geckosio/phaser-on-nodejs
phaser-web-workers,azerion,46,https://github.com/azerion/phaser-web-workers
phaser3-webpack-es6-dev-starter,snowbillr,45,https://github.com/snowbillr/phaser3-webpack-es6-dev-starter
expo-graphics,expo,44,https://github.com/expo/expo-graphics
blocker,jojoee,43,https://github.com/jojoee/blocker
ChowPhaser,jatinchowdhury18,43,https://github.com/jatinchowdhury18/ChowPhaser
gstatsjs,eXponenta,42,https://github.com/eXponenta/gstatsjs
phaser3-faq,samme,42,https://github.com/samme/phaser3-faq
phaser-candy-crush,anjmao,42,https://github.com/anjmao/phaser-candy-crush
wechat-small-game-phaser,littlee,39,https://github.com/littlee/wechat-small-game-phaser
grid-engine,Annoraaq,39,https://github.com/Annoraaq/grid-engine
phaser-node-kit,develephant,39,https://github.com/develephant/phaser-node-kit
Phaser-PickApple,VincentPat,38,https://github.com/VincentPat/Phaser-PickApple
PhaserTutorials,JamesSkemp,38,https://github.com/JamesSkemp/PhaserTutorials
phaser-plugin-game-scale,samme,37,https://github.com/samme/phaser-plugin-game-scale
generator-phaser-browserify,jroblak,37,https://github.com/jroblak/generator-phaser-browserify
phaser-raycaster,wiserim,37,https://github.com/wiserim/phaser-raycaster
bomber,DmytroVasin,37,https://github.com/DmytroVasin/bomber
backwards,rootasjey,36,https://github.com/rootasjey/backwards
brunch-phaser,samme,36,https://github.com/samme/brunch-phaser
chunks_tutorial,Jerenaux,35,https://github.com/Jerenaux/chunks_tutorial
phaser_multiplayer_demo,dpogorzelski,34,https://github.com/dpogorzelski/phaser_multiplayer_demo
elemental-one,voithos,34,https://github.com/voithos/elemental-one
phaser-behavior-plugin,luizbills,34,https://github.com/luizbills/phaser-behavior-plugin
TooManyCaptains,TooManyCaptains,33,https://github.com/TooManyCaptains/TooManyCaptains
phaser-plugin-game-gui,samme,33,https://github.com/samme/phaser-plugin-game-gui
phaser-plugin-scene-graph,samme,32,https://github.com/samme/phaser-plugin-scene-graph
phaser-es6-starter,brenopolanski,32,https://github.com/brenopolanski/phaser-es6-starter
vue-phaser-starter,ttzshawn,31,https://github.com/ttzshawn/vue-phaser-starter
phaser3-es6-webpack4,rafaeldelboni,31,https://github.com/rafaeldelboni/phaser3-es6-webpack4
procedural_dungeon,anthony-mills,31,https://github.com/anthony-mills/procedural_dungeon
PhaserHearthStone,SangLiang,31,https://github.com/SangLiang/PhaserHearthStone
phaser-3-palette-swapping-example,Colbydude,30,https://github.com/Colbydude/phaser-3-palette-swapping-example
phaser-3-snake-game,rblopes,29,https://github.com/rblopes/phaser-3-snake-game
phaser-template-tsc,kiswa,29,https://github.com/kiswa/phaser-template-tsc
phaser-manifest-loader,mattcolman,28,https://github.com/mattcolman/phaser-manifest-loader
phaser-i18next,azerion,27,https://github.com/azerion/phaser-i18next
craft,webcaetano,26,https://github.com/webcaetano/craft
reactive-pacman,netifi,26,https://github.com/netifi/reactive-pacman
phaser-plugin-advanced-timing,samme,25,https://github.com/samme/phaser-plugin-advanced-timing
phaser-particle-editor-plugin,koreezgames,25,https://github.com/koreezgames/phaser-particle-editor-plugin
phaser-responsive,azerion,25,https://github.com/azerion/phaser-responsive
node-vue-phaser-boilerplate,sekl,24,https://github.com/sekl/node-vue-phaser-boilerplate
Rogue-Tanks-Tank-Shooter-Game,Berabjesus,24,https://github.com/Berabjesus/Rogue-Tanks-Tank-Shooter-Game
badassquest,dmonllao,22,https://github.com/dmonllao/badassquest
RobotlegsJS-Phaser,RobotlegsJS,21,https://github.com/RobotlegsJS/RobotlegsJS-Phaser
Phaser-Workshop,proyecto26,20,https://github.com/proyecto26/Phaser-Workshop
phaser3-spine-example,yandeu,20,https://github.com/yandeu/phaser3-spine-example
phaser3-juice-plugin,RetroVX,20,https://github.com/RetroVX/phaser3-juice-plugin
