Repository Name,Username,Stars,URL
discourse,discourse,33600,https://github.com/discourse/discourse
metabase,metabase,25300,https://github.com/metabase/metabase
typeorm,typeorm,24900,https://github.com/typeorm/typeorm
sequelize,sequelize,24600,https://github.com/sequelize/sequelize
dbeaver,dbeaver,21300,https://github.com/dbeaver/dbeaver
redash,getredash,19100,https://github.com/getredash/redash
postgrest,PostgREST,17200,https://github.com/PostgREST/postgrest
prisma,prisma,14900,https://github.com/prisma/prisma
supabase,supabase,14600,https://github.com/supabase/supabase
knex,knex,14400,https://github.com/knex/knex
shardingsphere,apache,14200,https://github.com/apache/shardingsphere
Qix,ty4z2008,13600,https://github.com/ty4z2008/Qix
nocodb,nocodb,13600,https://github.com/nocodb/nocodb
NodeBB,NodeBB,12000,https://github.com/NodeBB/NodeBB
directus,directus,11500,https://github.com/directus/directus
timescaledb,timescale,11300,https://github.com/timescale/timescaledb
mybatis-plus,baomidou,11300,https://github.com/baomidou/mybatis-plus
cube.js,cube-js,10700,https://github.com/cube-js/cube.js
postgraphile,graphile,10500,https://github.com/graphile/postgraphile
node-postgres,brianc,9700,https://github.com/brianc/node-postgres
pgcli,dbcli,9700,https://github.com/dbcli/pgcli
dogehouse,benawad,9200,https://github.com/benawad/dogehouse
analytics,plausible,8200,https://github.com/plausible/analytics
awesome-postgres,dhamaniasad,7100,https://github.com/dhamaniasad/awesome-postgres
diesel,diesel-rs,7000,https://github.com/diesel-rs/diesel
pgweb,sosedoff,6900,https://github.com/sosedoff/pgweb
usql,xo,6600,https://github.com/xo/usql
beekeeper-studio,beekeeper-studio,6500,https://github.com/beekeeper-studio/beekeeper-studio
azuredatastudio,microsoft,6400,https://github.com/microsoft/azuredatastudio
xorm,go-xorm,6400,https://github.com/go-xorm/xorm
full-stack-fastapi-postgresql,tiangolo,6300,https://github.com/tiangolo/full-stack-fastapi-postgresql
bookshelf,bookshelf,6200,https://github.com/bookshelf/bookshelf
flyway,flyway,6000,https://github.com/flyway/flyway
blog,digoal,6000,https://github.com/digoal/blog
NewsBlur,samuelclay,5800,https://github.com/samuelclay/NewsBlur
dev-setup,donnemartin,5500,https://github.com/donnemartin/dev-setup
citus,citusdata,5000,https://github.com/citusdata/citus
asyncpg,MagicStack,5000,https://github.com/MagicStack/asyncpg
adminer,vrana,4800,https://github.com/vrana/adminer
falcon,plotly,4800,https://github.com/plotly/falcon
pg,go-pg,4700,https://github.com/go-pg/pg
backup,backup,4700,https://github.com/backup/backup
gpdb,greenplum-db,4600,https://github.com/greenplum-db/gpdb
jOOQ,jOOQ,4500,https://github.com/jOOQ/jOOQ
react-firebase-starter,kriasoft,4300,https://github.com/kriasoft/react-firebase-starter
sqlx,launchbadge,4300,https://github.com/launchbadge/sqlx
patroni,zalando,4100,https://github.com/zalando/patroni
bolt,bolt,4100,https://github.com/bolt/bolt
sqlboiler,volatiletech,4100,https://github.com/volatiletech/sqlboiler
sysbench,akopytov,4000,https://github.com/akopytov/sysbench
franchise,HVF,3800,https://github.com/HVF/franchise
realtime,supabase,3700,https://github.com/supabase/realtime
SqlSugar,donet5,3500,https://github.com/donet5/SqlSugar
zombodb,zombodb,3500,https://github.com/zombodb/zombodb
pgloader,dimitri,3500,https://github.com/dimitri/pgloader
devilbox,cytopia,3500,https://github.com/cytopia/devilbox
stolon,sorintlab,3300,https://github.com/sorintlab/stolon
sqlc,kyleconroy,3300,https://github.com/kyleconroy/sqlc
mikro-orm,mikro-orm,3300,https://github.com/mikro-orm/mikro-orm
wal-e,wal-e,3300,https://github.com/wal-e/wal-e
graphql-starter,kriasoft,3200,https://github.com/kriasoft/graphql-starter
JSqlParser,JSQLParser,3100,https://github.com/JSQLParser/JSqlParser
node-orm2,dresende,3100,https://github.com/dresende/node-orm2
v2,miniflux,3000,https://github.com/miniflux/v2
pg-promise,vitaly-t,2900,https://github.com/vitaly-t/pg-promise
FreeSql,dotnetcore,2900,https://github.com/dotnetcore/FreeSql
xo,xo,2800,https://github.com/xo/xo
