Repository Name,Username,Stars,URL
Ghost,TryGhost,38000,https://github.com/TryGhost/Ghost
lerna,lerna,29000,https://github.com/lerna/lerna
pandoc,jgm,23000,https://github.com/jgm/pandoc
papermill,nteract,4200,https://github.com/nteract/papermill
gradle-play-publisher,Triple-T,3600,https://github.com/Triple-T/gradle-play-publisher
substance,substance,2700,https://github.com/substance/substance
canvas,austintoddj,2700,https://github.com/austintoddj/canvas
wink,themsaid,2500,https://github.com/themsaid/wink
writefreely,writefreely,2300,https://github.com/writefreely/writefreely
Casper,TryGhost,2200,https://github.com/TryGhost/Casper
auto,intuit,1200,https://github.com/intuit/auto
epubcheck,w3c,1100,https://github.com/w3c/epubcheck
sile,sile-typesetter,1100,https://github.com/sile-typesetter/sile
texture,substance,965,https://github.com/substance/texture
joss,openjournals,851,https://github.com/openjournals/joss
easybook,javiereguiluz,748,https://github.com/javiereguiluz/easybook
Publish-Docker-Github-Action,elgohr,599,https://github.com/elgohr/Publish-Docker-Github-Action
tailwind-nextjs-starter-blog,timlrx,543,https://github.com/timlrx/tailwind-nextjs-starter-blog
postleaf,Postleaf,519,https://github.com/Postleaf/postleaf
gradle-maven-publish-plugin,vanniktech,493,https://github.com/vanniktech/gradle-maven-publish-plugin
feather,FeatherCMS,421,https://github.com/FeatherCMS/feather
markdeep,morgan3d,394,https://github.com/morgan3d/markdeep
PodcastGenerator,PodcastGenerator,372,https://github.com/PodcastGenerator/PodcastGenerator
pandoc-scholar,pandoc-scholar,369,https://github.com/pandoc-scholar/pandoc-scholar
The-Shell,mityalebedev,368,https://github.com/mityalebedev/The-Shell
pressbooks,pressbooks,338,https://github.com/pressbooks/pressbooks
Ghost-CLI,TryGhost,336,https://github.com/TryGhost/Ghost-CLI
rootstock,manubot,323,https://github.com/manubot/rootstock
caffeine-theme,kelyvin,307,https://github.com/kelyvin/caffeine-theme
android-maven-publish,wupdigital,304,https://github.com/wupdigital/android-maven-publish
dita-ot,dita-ot,284,https://github.com/dita-ot/dita-ot
manubot,manubot,282,https://github.com/manubot/manubot
parsifal,vitorfs,274,https://github.com/vitorfs/parsifal
notehub,chmllr,263,https://github.com/chmllr/notehub
Open-Publisher,chrisanthropic,244,https://github.com/chrisanthropic/Open-Publisher
google-docs-publisher,augnustin,240,https://github.com/augnustin/google-docs-publisher
notebooker,man-group,226,https://github.com/man-group/notebooker
Ghost-Android,TryGhost,221,https://github.com/TryGhost/Ghost-Android
London,TryGhost,218,https://github.com/TryGhost/London
Starter,TryGhost,215,https://github.com/TryGhost/Starter
ghost-on-heroku,SNathJr,215,https://github.com/SNathJr/ghost-on-heroku
org-mode,bzg,198,https://github.com/bzg/org-mode
lines-engine,opoloo,194,https://github.com/opoloo/lines-engine
manshar,manshar,183,https://github.com/manshar/manshar
boo,PoeticThemes,178,https://github.com/PoeticThemes/boo
dotcom-rendering,guardian,178,https://github.com/guardian/dotcom-rendering
epub-specs,w3c,177,https://github.com/w3c/epub-specs
Dawn,TryGhost,175,https://github.com/TryGhost/Dawn
Massively,TryGhost,169,https://github.com/TryGhost/Massively
Editorial,TryGhost,169,https://github.com/TryGhost/Editorial
uptoc,saltbo,168,https://github.com/saltbo/uptoc
typemill,typemill,168,https://github.com/typemill/typemill
publish-plugin,gradle-nexus,155,https://github.com/gradle-nexus/publish-plugin
Lyra,TryGhost,150,https://github.com/TryGhost/Lyra
whatsbook,pbeck,147,https://github.com/pbeck/whatsbook
laravel-blog,binshops,145,https://github.com/binshops/laravel-blog
Roon,TryGhost,136,https://github.com/TryGhost/Roon
gmpublisher,WilliamVenner,133,https://github.com/WilliamVenner/gmpublisher
archivist,archivist,133,https://github.com/archivist/archivist
publish-nuget,brandedoutcast,128,https://github.com/brandedoutcast/publish-nuget
