Repository Name,Username,Stars,URL
cool-retro-term,Swordfish90,14800,https://github.com/Swordfish90/cool-retro-term
matplotlib,matplotlib,13900,https://github.com/matplotlib/matplotlib
flameshot,flameshot-org,13400,https://github.com/flameshot-org/flameshot
openage,SFTtech,10400,https://github.com/SFTtech/openage
qt,therecipe,8600,https://github.com/therecipe/qt
tiled,mapeditor,8100,https://github.com/mapeditor/tiled
urh,jopohl,7400,https://github.com/jopohl/urh
qutebrowser,qutebrowser,7000,https://github.com/qutebrowser/qutebrowser
nodegui,nodegui,6900,https://github.com/nodegui/nodegui
PySimpleGUI,PySimpleGUI,6700,https://github.com/PySimpleGUI/PySimpleGUI
liteide,visualfc,6500,https://github.com/visualfc/liteide
spyder,spyder-ide,6400,https://github.com/spyder-ide/spyder
MuseScore,musescore,6100,https://github.com/musescore/MuseScore
react-nodegui,nodegui,5800,https://github.com/nodegui/react-nodegui
olive,olive-editor,5200,https://github.com/olive-editor/olive
QtScrcpy,barry-ran,4900,https://github.com/barry-ran/QtScrcpy
mapbox-gl-native,mapbox,4000,https://github.com/mapbox/mapbox-gl-native
qTox,qTox,3600,https://github.com/qTox/qTox
Clementine,clementine-player,3000,https://github.com/clementine-player/Clementine
PyBitmessage,Bitmessage,2600,https://github.com/Bitmessage/PyBitmessage
svelte-nodegui,nodegui,2400,https://github.com/nodegui/svelte-nodegui
pywebview,r0x0r,2400,https://github.com/r0x0r/pywebview
LibreCAD,LibreCAD,2400,https://github.com/LibreCAD/LibreCAD
mixxx,mixxxdj,2300,https://github.com/mixxxdj/mixxx
moonlight-qt,moonlight-stream,2300,https://github.com/moonlight-stream/moonlight-qt
hotspot,KDAB,2200,https://github.com/KDAB/hotspot
apkstudio,vaibhavpandeyvpz,2100,https://github.com/vaibhavpandeyvpz/apkstudio
sqlitestudio,pawelsalawa,2100,https://github.com/pawelsalawa/sqlitestudio
edb-debugger,eteran,1900,https://github.com/eteran/edb-debugger
qgroundcontrol,mavlink,1900,https://github.com/mavlink/qgroundcontrol
antimony,mkeeter,1900,https://github.com/mkeeter/antimony
openauto,f1xpl,1800,https://github.com/f1xpl/openauto
QDarkStyleSheet,ColinDuquesnoy,1800,https://github.com/ColinDuquesnoy/QDarkStyleSheet
gqrx,csete,1800,https://github.com/csete/gqrx
Serial-Studio,Serial-Studio,1800,https://github.com/Serial-Studio/Serial-Studio
appleseed,appleseedhq,1800,https://github.com/appleseedhq/appleseed
feedback,Snipaste,1700,https://github.com/Snipaste/feedback
mindforger,dvorka,1600,https://github.com/dvorka/mindforger
toggldesktop,toggl-open-source,1600,https://github.com/toggl-open-source/toggldesktop
otter-browser,OtterBrowser,1400,https://github.com/OtterBrowser/otter-browser
linuxdeployqt,probonopd,1400,https://github.com/probonopd/linuxdeployqt
qtbase,qt,1400,https://github.com/qt/qtbase
examples,pyqt,1300,https://github.com/pyqt/examples
GoldenCheetah,GoldenCheetah,1300,https://github.com/GoldenCheetah/GoldenCheetah
Lector,BasioMeusPuga,1300,https://github.com/BasioMeusPuga/Lector
LibrePCB,LibrePCB,1200,https://github.com/LibrePCB/LibrePCB
CuteMarkEd,cloose,1200,https://github.com/cloose/CuteMarkEd
awesome-qt-qml,mikalv,1200,https://github.com/mikalv/awesome-qt-qml
nitroshare-desktop,nitroshare,1200,https://github.com/nitroshare/nitroshare-desktop
Guitar,soramimi,1200,https://github.com/soramimi/Guitar
qt-material-widgets,laserpants,1200,https://github.com/laserpants/qt-material-widgets
goneovim,akiyosi,1200,https://github.com/akiyosi/goneovim
neovim-qt,equalsraf,1100,https://github.com/equalsraf/neovim-qt
guiscrcpy,srevinsaju,1100,https://github.com/srevinsaju/guiscrcpy
strawberry,strawberrymusicplayer,1100,https://github.com/strawberrymusicplayer/strawberry
MEGAsync,meganz,1000,https://github.com/meganz/MEGAsync
GammaRay,KDAB,1000,https://github.com/KDAB/GammaRay
qdirstat,shundhammer,955,https://github.com/shundhammer/qdirstat
ksnip,ksnip,898,https://github.com/ksnip/ksnip
SlicerGitSVNArchive,Slicer,890,https://github.com/Slicer/SlicerGitSVNArchive
mlt,mltframework,889,https://github.com/mltframework/mlt
gImageReader,manisandro,856,https://github.com/manisandro/gImageReader
ritual,rust-qt,851,https://github.com/rust-qt/ritual
awesome-qt,JesseTG,845,https://github.com/JesseTG/awesome-qt
score,ossia,843,https://github.com/ossia/score
aspia,dchapyshev,823,https://github.com/dchapyshev/aspia
FlyingCarpet,spieglt,818,https://github.com/spieglt/FlyingCarpet
TTKMusicplayer,Greedysky,806,https://github.com/Greedysky/TTKMusicplayer
qimgv,easymodo,804,https://github.com/easymodo/qimgv
veles,codilime,787,https://github.com/codilime/veles
PyFlow,wonderworks-software,778,https://github.com/wonderworks-software/PyFlow
slate,mitchcurtis,769,https://github.com/mitchcurtis/slate
SciHubEVA,leovan,722,https://github.com/leovan/SciHubEVA
qspectrumanalyzer,xmikos,714,https://github.com/xmikos/qspectrumanalyzer
cutelyst,cutelyst,690,https://github.com/cutelyst/cutelyst
Qt-Frameless-Window-DarkStyle,Jorgen-VikingGod,681,https://github.com/Jorgen-VikingGod/Qt-Frameless-Window-DarkStyle
Ripes,mortbopet,653,https://github.com/mortbopet/Ripes
vue-nodegui,nodegui,640,https://github.com/nodegui/vue-nodegui
notes,nuttyartist,637,https://github.com/nuttyartist/notes
echo,timi-liuliang,603,https://github.com/timi-liuliang/echo
TaoQuick,jaredtao,582,https://github.com/jaredtao/TaoQuick
qView,jurplel,557,https://github.com/jurplel/qView
screencloud,olav-st,547,https://github.com/olav-st/screencloud
QtSharp,ddobrev,543,https://github.com/ddobrev/QtSharp
CTK,commontk,521,https://github.com/commontk/CTK
tufao,vinipsmaker,518,https://github.com/vinipsmaker/tufao
hidviz,ondrejbudai,511,https://github.com/ondrejbudai/hidviz
huestacean,BradyBrenot,498,https://github.com/BradyBrenot/huestacean
qt.go,kitech,497,https://github.com/kitech/qt.go
QtAutoUpdater,Skycoder42,493,https://github.com/Skycoder42/QtAutoUpdater
ScriptCommunicator_serial-terminal,szieke,488,https://github.com/szieke/ScriptCommunicator_serial-terminal
qlcplus,mcallegari,486,https://github.com/mcallegari/qlcplus
RenderLab,Ubpa,484,https://github.com/Ubpa/RenderLab
