Repository Name,Username,Stars,URL
spark,apache,30300,https://github.com/apache/spark
graal,oracle,15600,https://github.com/oracle/graal
dash,plotly,14800,https://github.com/plotly/dash
prophet,facebook,13000,https://github.com/facebook/prophet
LightGBM,microsoft,12700,https://github.com/microsoft/LightGBM
ds-cheatsheets,FavioVazquez,9000,https://github.com/FavioVazquez/ds-cheatsheets
mal,kanaka,8000,https://github.com/kanaka/mal
catboost,catboost,6000,https://github.com/catboost/catboost
wowchemy-hugo-modules,wowchemy,5700,https://github.com/wowchemy/wowchemy-hugo-modules
h2o-3,h2oai,5400,https://github.com/h2oai/h2o-3
ggplot2,tidyverse,5000,https://github.com/tidyverse/ggplot2
awesome-R,qinwf,4700,https://github.com/qinwf/awesome-R
metaflow,Netflix,4500,https://github.com/Netflix/metaflow
shiny,rstudio,4300,https://github.com/rstudio/shiny
papermill,nteract,4200,https://github.com/nteract/papermill
dplyr,tidyverse,3800,https://github.com/tidyverse/dplyr
data-science-at-the-command-line,jeroenjanssens,3100,https://github.com/jeroenjanssens/data-science-at-the-command-line
r4ds,hadley,3000,https://github.com/hadley/r4ds
wave,h2oai,2600,https://github.com/h2oai/wave
awesome-quant,thuquant,2400,https://github.com/thuquant/awesome-quant
awesome-machine-learning-interpretability,jphall663,2200,https://github.com/jphall663/awesome-machine-learning-interpretability
rmarkdown,rstudio,2200,https://github.com/rstudio/rmarkdown
devtools,r-lib,2100,https://github.com/r-lib/devtools
knitr,yihui,2100,https://github.com/yihui/knitr
ml-workspace,ml-tooling,2000,https://github.com/ml-tooling/ml-workspace
plotly,ropensci,2000,https://github.com/ropensci/plotly
adv-r,hadley,1900,https://github.com/hadley/adv-r
forecasting,microsoft,1900,https://github.com/microsoft/forecasting
m2cgen,BayesWitnesses,1800,https://github.com/BayesWitnesses/m2cgen
benchm-ml,szilard,1800,https://github.com/szilard/benchm-ml
DifferentialEquations.jl,SciML,1800,https://github.com/SciML/DifferentialEquations.jl
datasciencecoursera,mGalarnyk,1800,https://github.com/mGalarnyk/datasciencecoursera
DataScienceR,ujjwalkarn,1700,https://github.com/ujjwalkarn/DataScienceR
ESL-CN,szcf-weiya,1700,https://github.com/szcf-weiya/ESL-CN
arl,kaxap,1500,https://github.com/kaxap/arl
mlr,mlr-org,1500,https://github.com/mlr-org/mlr
nodebook,netgusto,1500,https://github.com/netgusto/nodebook
FinMind,FinMind,1500,https://github.com/FinMind/FinMind
DiagrammeR,rich-iannone,1500,https://github.com/rich-iannone/DiagrammeR
AIF360,Trusted-AI,1400,https://github.com/Trusted-AI/AIF360
wesanderson,karthik,1400,https://github.com/karthik/wesanderson
IRkernel,IRkernel,1400,https://github.com/IRkernel/IRkernel
blogdown,rstudio,1400,https://github.com/rstudio/blogdown
Data-science-best-resources,tirthajyoti,1300,https://github.com/tirthajyoti/Data-science-best-resources
h2o-tutorials,h2oai,1300,https://github.com/h2oai/h2o-tutorials
gt,rstudio,1300,https://github.com/rstudio/gt
drake,ropensci,1300,https://github.com/ropensci/drake
rvest,tidyverse,1300,https://github.com/tidyverse/rvest
ggstatsplot,IndrajeetPatil,1200,https://github.com/IndrajeetPatil/ggstatsplot
sqlserver-kit,ktaranov,1200,https://github.com/ktaranov/sqlserver-kit
esquisse,dreamRs,1200,https://github.com/dreamRs/esquisse
xaringan,yihui,1200,https://github.com/yihui/xaringan
plumber,rstudio,1200,https://github.com/rstudio/plumber
broom,tidymodels,1100,https://github.com/tidymodels/broom
naming-convention,ktaranov,1100,https://github.com/ktaranov/naming-convention
tidyverse,tidyverse,1100,https://github.com/tidyverse/tidyverse
radian,randy3k,1100,https://github.com/randy3k/radian
tidyr,tidyverse,1000,https://github.com/tidyverse/tidyr
janitor,sfirke,1000,https://github.com/sfirke/janitor
tidy-text-mining,dgrtwo,1000,https://github.com/dgrtwo/tidy-text-mining
tidytext,juliasilge,988,https://github.com/juliasilge/tidytext
rticles,rstudio,977,https://github.com/rstudio/rticles
purrr,tidyverse,976,https://github.com/tidyverse/purrr
jupyterlab-lsp,krassowski,968,https://github.com/krassowski/jupyterlab-lsp
swirl,swirldev,966,https://github.com/swirldev/swirl
hrbrthemes,hrbrmstr,934,https://github.com/hrbrmstr/hrbrthemes
skimr,ropensci,930,https://github.com/ropensci/skimr
cocalc,sagemathinc,925,https://github.com/sagemathinc/cocalc
geocompr,Robinlovelace,923,https://github.com/Robinlovelace/geocompr
forecast,robjhyndman,918,https://github.com/robjhyndman/forecast
httr,r-lib,905,https://github.com/r-lib/httr
sf,r-spatial,885,https://github.com/r-spatial/sf
mit-15-003-data-science-tools,shervinea,877,https://github.com/shervinea/mit-15-003-data-science-tools
mastering-shiny,hadley,872,https://github.com/hadley/mastering-shiny
lintr,jimhester,861,https://github.com/jimhester/lintr
magrittr,tidyverse,851,https://github.com/tidyverse/magrittr
readr,tidyverse,848,https://github.com/tidyverse/readr
ggraph,thomasp85,848,https://github.com/thomasp85/ggraph
rstan,stan-dev,796,https://github.com/stan-dev/rstan
sparklyr,sparklyr,793,https://github.com/sparklyr/sparklyr
r-color-palettes,EmilHvitfeldt,782,https://github.com/EmilHvitfeldt/r-color-palettes
googlesheets,jennybc,778,https://github.com/jennybc/googlesheets
future,HenrikBengtsson,764,https://github.com/HenrikBengtsson/future
testthat,r-lib,742,https://github.com/r-lib/testthat
datapasta,MilesMcBain,734,https://github.com/MilesMcBain/datapasta
ggthemr,Mikata-Project,727,https://github.com/Mikata-Project/ggthemr
shinydashboard,rstudio,726,https://github.com/rstudio/shinydashboard
fib,drujensen,718,https://github.com/drujensen/fib
MLPB,ben519,716,https://github.com/ben519/MLPB
dash-bootstrap-components,facultyai,692,https://github.com/facultyai/dash-bootstrap-components
Stock_Analysis_For_Quant,LastAncientOne,688,https://github.com/LastAncientOne/Stock_Analysis_For_Quant
vitae,mitchelloharawild,687,https://github.com/mitchelloharawild/vitae
leaflet,rstudio,685,https://github.com/rstudio/leaflet
quanteda,quanteda,673,https://github.com/quanteda/quanteda
pagedown,rstudio,663,https://github.com/rstudio/pagedown
rtweet,ropensci,662,https://github.com/ropensci/rtweet
datascience-box,rstudio-education,661,https://github.com/rstudio-education/datascience-box
waffle,hrbrmstr,637,https://github.com/hrbrmstr/waffle
usethis,r-lib,635,https://github.com/r-lib/usethis
efficientR,csgillespie,635,https://github.com/csgillespie/efficientR
engsoccerdata,jalapic,634,https://github.com/jalapic/engsoccerdata
posterdown,brentthorne,625,https://github.com/brentthorne/posterdown
book_sample,rnorm,611,https://github.com/rnorm/book_sample
highcharter,jbkunst,609,https://github.com/jbkunst/highcharter
quantmod,joshuaulrich,606,https://github.com/joshuaulrich/quantmod
readxl,tidyverse,599,https://github.com/tidyverse/readxl
tidybayes,mjskay,597,https://github.com/mjskay/tidybayes
reprex,tidyverse,596,https://github.com/tidyverse/reprex
Rcpp,RcppCore,592,https://github.com/RcppCore/Rcpp
shinyWidgets,dreamRs,592,https://github.com/dreamRs/shinyWidgets
workflowr,jdblischak,589,https://github.com/jdblischak/workflowr
shinyjs,daattali,588,https://github.com/daattali/shinyjs
rmarkdown-book,rstudio,576,https://github.com/rstudio/rmarkdown-book
ggalt,hrbrmstr,573,https://github.com/hrbrmstr/ggalt
paletteer,EmilHvitfeldt,571,https://github.com/EmilHvitfeldt/paletteer
golem,ThinkR-open,568,https://github.com/ThinkR-open/golem
lubridate,tidyverse,563,https://github.com/tidyverse/lubridate
pkgdown,r-lib,562,https://github.com/r-lib/pkgdown
ModernDive_book,moderndive,554,https://github.com/moderndive/ModernDive_book
disk.frame,xiaodaigh,549,https://github.com/xiaodaigh/disk.frame
