Repository Name,Username,Stars,URL
httpie,httpie,51400,https://github.com/httpie/httpie
hoppscotch,hoppscotch,29900,https://github.com/hoppscotch/hoppscotch
swagger-ui,swagger-api,20300,https://github.com/swagger-api/swagger-ui
parse-server,parse-community,18800,https://github.com/parse-community/parse-server
api-guidelines,microsoft,17300,https://github.com/microsoft/api-guidelines
insomnia,Kong,16900,https://github.com/Kong/insomnia
fiber,gofiber,14200,https://github.com/gofiber/fiber
kratos,go-kratos,13600,https://github.com/go-kratos/kratos
nocodb,nocodb,13600,https://github.com/nocodb/nocodb
swagger-codegen,swagger-api,13300,https://github.com/swagger-api/swagger-codegen
grpc-gateway,grpc-ecosystem,11100,https://github.com/grpc-ecosystem/grpc-gateway
node-restify,restify,10200,https://github.com/restify/node-restify
chi,go-chi,9700,https://github.com/go-chi/chi
openapi-generator,OpenAPITools,9100,https://github.com/OpenAPITools/openapi-generator
SpaceX-API,r-spacex,8600,https://github.com/r-spacex/SpaceX-API
cakephp,cakephp,8400,https://github.com/cakephp/cakephp
http-prompt,httpie,8200,https://github.com/httpie/http-prompt
swagger-editor,swagger-api,7100,https://github.com/swagger-api/swagger-editor
swagger-core,swagger-api,6800,https://github.com/swagger-api/swagger-core
eShopOnWeb,dotnet-architecture,6200,https://github.com/dotnet-architecture/eShopOnWeb
modular-monolith-with-ddd,kgrzybek,5500,https://github.com/kgrzybek/modular-monolith-with-ddd
rest-assured,rest-assured,5400,https://github.com/rest-assured/rest-assured
javalin,tipsy,4800,https://github.com/tipsy/javalin
restful-api-design-references,aisuhua,4800,https://github.com/aisuhua/restful-api-design-references
headless-wp-starter,postlight,4100,https://github.com/postlight/headless-wp-starter
bk-cmdb,Tencent,4100,https://github.com/Tencent/bk-cmdb
swagger-node,swagger-api,3900,https://github.com/swagger-api/swagger-node
practicalnode,azat-co,3700,https://github.com/azat-co/practicalnode
Flask-AppBuilder,dpgaspar,3400,https://github.com/dpgaspar/Flask-AppBuilder
Guns,stylefeng,3300,https://github.com/stylefeng/Guns
vulcain,dunglas,3100,https://github.com/dunglas/vulcain
vscode-restclient,Huachao,3000,https://github.com/Huachao/vscode-restclient
mockoon,mockoon,3000,https://github.com/mockoon/mockoon
Deep-Learning-in-Production,ahkarami,2900,https://github.com/ahkarami/Deep-Learning-in-Production
php-crud-api,mevdschee,2800,https://github.com/mevdschee/php-crud-api
node-express-boilerplate,hagopj13,2800,https://github.com/hagopj13/node-express-boilerplate
prest,prest,2700,https://github.com/prest/prest
spark-jobserver,spark-jobserver,2700,https://github.com/spark-jobserver/spark-jobserver
flasgger,flasgger,2700,https://github.com/flasgger/flasgger
FOSRestBundle,FriendsOfSymfony,2600,https://github.com/FriendsOfSymfony/FOSRestBundle
frappe,frappe,2600,https://github.com/frappe/frappe
auxpi,0xDkd,2600,https://github.com/0xDkd/auxpi
openapi-directory,APIs-guru,2500,https://github.com/APIs-guru/openapi-directory
drf-yasg,axnsan12,2300,https://github.com/axnsan12/drf-yasg
blynk-server,blynkkk,2300,https://github.com/blynkkk/blynk-server
deepdetect,jolibrain,2200,https://github.com/jolibrain/deepdetect
swagger-js,swagger-api,2200,https://github.com/swagger-api/swagger-js
JDA,DV8FromTheWorld,2200,https://github.com/DV8FromTheWorld/JDA
tipe,tipeio,2200,https://github.com/tipeio/tipe
vue-material-admin,tookit,2100,https://github.com/tookit/vue-material-admin
PayPal-PHP-SDK,paypal,2100,https://github.com/paypal/PayPal-PHP-SDK
Linkis,WeBankFinTech,2000,https://github.com/WeBankFinTech/Linkis
awesome-http-benchmark,denji,2000,https://github.com/denji/awesome-http-benchmark
restcountries,apilayer,2000,https://github.com/apilayer/restcountries
djoser,sunscrapers,1900,https://github.com/sunscrapers/djoser
easyappointments,alextselegidis,1900,https://github.com/alextselegidis/easyappointments
graphql-mesh,Urigo,1800,https://github.com/Urigo/graphql-mesh
generatedata,benkeen,1800,https://github.com/benkeen/generatedata
coolstore-microservices,vietnam-devs,1800,https://github.com/vietnam-devs/coolstore-microservices
kafka-rest,confluentinc,1800,https://github.com/confluentinc/kafka-rest
strest,eykrehbein,1700,https://github.com/eykrehbein/strest
tsed,tsedio,1700,https://github.com/tsedio/tsed
spring-boot-vuejs,jonashackt,1700,https://github.com/jonashackt/spring-boot-vuejs
sandman2,jeffknupp,1700,https://github.com/jeffknupp/sandman2
30-Days-of-Python,codingforentrepreneurs,1600,https://github.com/codingforentrepreneurs/30-Days-of-Python
rest,diegohaz,1600,https://github.com/diegohaz/rest
express-rest-boilerplate,danielfsousa,1600,https://github.com/danielfsousa/express-rest-boilerplate
icinga2,Icinga,1600,https://github.com/Icinga/icinga2
