Repository Name,Username,Stars,URL
rails,rails,48700,https://github.com/rails/rails
discourse,discourse,33600,https://github.com/discourse/discourse
gitlabhq,gitlabhq,22600,https://github.com/gitlabhq/gitlabhq
devise,heartcombo,21800,https://github.com/heartcombo/devise
diaspora,diaspora,12800,https://github.com/diaspora/diaspora
spree,spree,11300,https://github.com/spree/spree
chatwoot,chatwoot,9500,https://github.com/chatwoot/chatwoot
activeadmin,activeadmin,9000,https://github.com/activeadmin/activeadmin
kaminari,kaminari,8000,https://github.com/kaminari/kaminari
simple_form,heartcombo,7800,https://github.com/heartcombo/simple_form
factory_bot,thoughtbot,7200,https://github.com/thoughtbot/factory_bot
octicons,primer,6800,https://github.com/primer/octicons
buffalo,gobuffalo,6300,https://github.com/gobuffalo/buffalo
react-rails,reactjs,6300,https://github.com/reactjs/react-rails
brakeman,presidentbeef,6200,https://github.com/presidentbeef/brakeman
rails-style-guide,rubocop,6100,https://github.com/rubocop/rails-style-guide
paper_trail,paper-trail-gem,6100,https://github.com/paper-trail-gem/paper_trail
will_paginate,mislav,5600,https://github.com/mislav/will_paginate
mailcatcher,sj26,5300,https://github.com/sj26/mailcatcher
webpacker,rails,5200,https://github.com/rails/webpacker
administrate,thoughtbot,5200,https://github.com/thoughtbot/administrate
cancancan,CanCanCommunity,4900,https://github.com/CanCanCommunity/cancancan
graphql-ruby,rmosolgo,4800,https://github.com/rmosolgo/graphql-ruby
simplecov,simplecov-ruby,4300,https://github.com/simplecov-ruby/simplecov
octobox,octobox,4100,https://github.com/octobox/octobox
refinerycms,refinery,3800,https://github.com/refinery/refinerycms
solidus,solidusio,3800,https://github.com/solidusio/solidus
annotate_models,ctran,3700,https://github.com/ctran/annotate_models
suspenders,thoughtbot,3700,https://github.com/thoughtbot/suspenders
homeland,ruby-china,3400,https://github.com/ruby-china/homeland
clearance,thoughtbot,3400,https://github.com/thoughtbot/clearance
ahoy,ankane,3400,https://github.com/ankane/ahoy
devise_token_auth,lynndylanhurley,3200,https://github.com/lynndylanhurley/devise_token_auth
pagy,ddnexus,3100,https://github.com/ddnexus/pagy
shoulda-matchers,thoughtbot,3100,https://github.com/thoughtbot/shoulda-matchers
timecop,travisjeffery,3100,https://github.com/travisjeffery/timecop
