Repository Name,Username,Stars,URL
core,home-assistant,44500,https://github.com/home-assistant/core
pi-hole,pi-hole,31800,https://github.com/pi-hole/pi-hole
MagicMirror,MichMich,15100,https://github.com/MichMich/MagicMirror
johnny-five,rwaldron,12300,https://github.com/rwaldron/johnny-five
nnn,jarun,11800,https://github.com/jarun/nnn
raspberry-pi-os,s-matyukevich,10400,https://github.com/s-matyukevich/raspberry-pi-os
RetroPie-Setup,RetroPie,9200,https://github.com/RetroPie/RetroPie-Setup
awesome-raspberry-pi,thibmaek,8800,https://github.com/thibmaek/awesome-raspberry-pi
qt,therecipe,8600,https://github.com/therecipe/qt
openFrameworks,openframeworks,8400,https://github.com/openframeworks/openFrameworks
fprime,nasa,8300,https://github.com/nasa/fprime
gobot,hybridgroup,7200,https://github.com/hybridgroup/gobot
raylib,raysan5,6800,https://github.com/raysan5/raylib
OctoPrint,OctoPrint,5900,https://github.com/OctoPrint/OctoPrint
mycroft-core,MycroftAI,5200,https://github.com/MycroftAI/mycroft-core
rust-raspberrypi-OS-tutorials,rust-embedded,4900,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
pivpn,pivpn,4400,https://github.com/pivpn/pivpn
cylon,hybridgroup,3800,https://github.com/hybridgroup/cylon
cuberite,cuberite,3800,https://github.com/cuberite/cuberite
k3sup,alexellis,3500,https://github.com/alexellis/k3sup
Home-AssistantConfig,CCOSTAN,3500,https://github.com/CCOSTAN/Home-AssistantConfig
raspotify,dtcooper,3300,https://github.com/dtcooper/raspotify
blynk-library,blynkkk,3200,https://github.com/blynkkk/blynk-library
BILIBILI-HELPER,JunzhouLiu,3200,https://github.com/JunzhouLiu/BILIBILI-HELPER
raspap-webgui,RaspAP,3100,https://github.com/RaspAP/raspap-webgui
pikvm,pikvm,3100,https://github.com/pikvm/pikvm
starrtc-android-demo,starrtc,2900,https://github.com/starrtc/starrtc-android-demo
RPiPlay,FD-,2800,https://github.com/FD-/RPiPlay
whitelist,anudeepND,2700,https://github.com/anudeepND/whitelist
smart-mirror,evancohen,2600,https://github.com/evancohen/smart-mirror
PJON,gioblu,2600,https://github.com/gioblu/PJON
glslViewer,patriciogonzalezvivo,2600,https://github.com/patriciogonzalezvivo/glslViewer
IoT-For-Beginners,microsoft,2500,https://github.com/microsoft/IoT-For-Beginners
OpenWrt-Rpi,SuLingGG,2500,https://github.com/SuLingGG/OpenWrt-Rpi
porcupine,Picovoice,2500,https://github.com/Picovoice/porcupine
rpi-rgb-led-matrix,hzeller,2400,https://github.com/hzeller/rpi-rgb-led-matrix
OTTO,bitfieldaudio,2300,https://github.com/bitfieldaudio/OTTO
Debian-Pi-Aarch64,openfans-community-offical,2300,https://github.com/openfans-community-offical/Debian-Pi-Aarch64
blynk-server,blynkkk,2300,https://github.com/blynkkk/blynk-server
pyload,pyload,2300,https://github.com/pyload/pyload
tensorflow-on-raspberry-pi,samjabrahams,2100,https://github.com/samjabrahams/tensorflow-on-raspberry-pi
donkeycar,autorope,2100,https://github.com/autorope/donkeycar
audio-reactive-led-strip,scottlawsonbc,2100,https://github.com/scottlawsonbc/audio-reactive-led-strip
vosk-api,alphacep,2000,https://github.com/alphacep/vosk-api
PiShrink,Drewsif,2000,https://github.com/Drewsif/PiShrink
vidgear,abhiTronix,1800,https://github.com/abhiTronix/vidgear
openauto,f1xpl,1800,https://github.com/f1xpl/openauto
dingdang-robot,wzpan,1800,https://github.com/wzpan/dingdang-robot
Gladys,GladysAssistant,1800,https://github.com/GladysAssistant/Gladys
awesome-raspberry-pi-zh,wwj718,1700,https://github.com/wwj718/awesome-raspberry-pi-zh
periph,google,1700,https://github.com/google/periph
docker-homebridge,oznu,1700,https://github.com/oznu/docker-homebridge
crankshaft,opencardev,1600,https://github.com/opencardev/crankshaft
log2ram,azlux,1600,https://github.com/azlux/log2ram
project_alias,bjoernkarmann,1500,https://github.com/bjoernkarmann/project_alias
cncjs,cncjs,1500,https://github.com/cncjs/cncjs
balena-sound,balenalabs,1500,https://github.com/balenalabs/balena-sound
BerryNet,DT42,1500,https://github.com/DT42/BerryNet
aiyprojects-raspbian,google,1500,https://github.com/google/aiyprojects-raspbian
susi_linux,fossasia,1400,https://github.com/fossasia/susi_linux
nextcloudpi,nextcloud,1400,https://github.com/nextcloud/nextcloudpi
IOTstack,gcgarner,1400,https://github.com/gcgarner/IOTstack
raspberry-pi-dramble,geerlingguy,1400,https://github.com/geerlingguy/raspberry-pi-dramble
Mycodo,kizniche,1400,https://github.com/kizniche/Mycodo
picamera,waveform80,1400,https://github.com/waveform80/picamera
tinypilot,tiny-pilot,1400,https://github.com/tiny-pilot/tinypilot
deconz-rest-plugin,dresden-elektronik,1400,https://github.com/dresden-elektronik/deconz-rest-plugin
gpiozero,gpiozero,1400,https://github.com/gpiozero/gpiozero
navidrome,navidrome,1300,https://github.com/navidrome/navidrome
piku,piku,1300,https://github.com/piku/piku
Volumio2,volumio,1300,https://github.com/volumio/Volumio2
screenly-ose,Screenly,1300,https://github.com/Screenly/screenly-ose
Awesome-Embedded,nhivp,1300,https://github.com/nhivp/Awesome-Embedded
xplr,sayanarijit,1300,https://github.com/sayanarijit/xplr
chromium_os-raspberry_pi,FydeOS,1200,https://github.com/FydeOS/chromium_os-raspberry_pi
mraa,eclipse,1200,https://github.com/eclipse/mraa
SwiftyGPIO,uraimo,1200,https://github.com/uraimo/SwiftyGPIO
Guitar,soramimi,1200,https://github.com/soramimi/Guitar
rpi-vk-driver,Yours3lf,1200,https://github.com/Yours3lf/rpi-vk-driver
hcxtools,ZerBea,1200,https://github.com/ZerBea/hcxtools
dockerpi,lukechilds,1200,https://github.com/lukechilds/dockerpi
pi-webcam,geerlingguy,1100,https://github.com/geerlingguy/pi-webcam
Lakka-LibreELEC,libretro,1100,https://github.com/libretro/Lakka-LibreELEC
onoff,fivdi,1100,https://github.com/fivdi/onoff
embedio,unosquare,1100,https://github.com/unosquare/embedio
Guides,codingforentrepreneurs,1100,https://github.com/codingforentrepreneurs/Guides
PADD,pi-hole,1100,https://github.com/pi-hole/PADD
OpenSwiftUI,Cosmo,1000,https://github.com/Cosmo/OpenSwiftUI
image-builder-rpi,hypriot,998,https://github.com/hypriot/image-builder-rpi
hcxdumptool,ZerBea,992,https://github.com/ZerBea/hcxdumptool
chilipie-kiosk,futurice,990,https://github.com/futurice/chilipie-kiosk
flash,hypriot,952,https://github.com/hypriot/flash
GassistPi,shivasiddharth,947,https://github.com/shivasiddharth/GassistPi
direwolf,wb2osz,937,https://github.com/wb2osz/direwolf
