Repository Name,Username,Stars,URL
free-programming-books-zh_CN,justjavac,81300,https://github.com/justjavac/free-programming-books-zh_CN
storybook,storybookjs,63300,https://github.com/storybookjs/storybook
awesome-react,enaqx,44300,https://github.com/enaqx/awesome-react
awesome-react-native,jondot,30000,https://github.com/jondot/awesome-react-native
taro,NervJS,29200,https://github.com/NervJS/taro
open-source-ios-apps,dkhamsing,27700,https://github.com/dkhamsing/open-source-ios-apps
formik,formium,27700,https://github.com/formium/formik
typeorm,typeorm,24900,https://github.com/typeorm/typeorm
joplin,laurent22,24200,https://github.com/laurent22/joplin
react-hook-form,react-hook-form,22000,https://github.com/react-hook-form/react-hook-form
react-native-elements,react-native-elements,20900,https://github.com/react-native-elements/react-native-elements
mattermost-server,mattermost,20600,https://github.com/mattermost/mattermost-server
react-navigation,react-navigation,20000,https://github.com/react-navigation/react-navigation
react-native-web,necolas,19000,https://github.com/necolas/react-native-web
swr,vercel,17900,https://github.com/vercel/swr
rxdb,pubkey,15800,https://github.com/pubkey/rxdb
NativeBase,GeekyAnts,15400,https://github.com/GeekyAnts/NativeBase
reactjs-interview-questions,sudheerj,15200,https://github.com/sudheerj/reactjs-interview-questions
react-native-vector-icons,oblador,15000,https://github.com/oblador/react-native-vector-icons
lottie-react-native,lottie-react-native,14300,https://github.com/lottie-react-native/lottie-react-native
zulip,zulip,13900,https://github.com/zulip/zulip
react-native-windows,microsoft,13700,https://github.com/microsoft/react-native-windows
feathers,feathersjs,13500,https://github.com/feathersjs/feathers
reactotron,infinitered,13000,https://github.com/infinitered/reactotron
create-react-native-app,expo,12700,https://github.com/expo/create-react-native-app
ignite,infinitered,12700,https://github.com/infinitered/ignite
react-native-maps,react-native-maps,12400,https://github.com/react-native-maps/react-native-maps
react-native-navigation,wix,12200,https://github.com/wix/react-native-navigation
react-content-loader,danilowoz,11200,https://github.com/danilowoz/react-content-loader
react-native-gifted-chat,FaridSafi,10700,https://github.com/FaridSafi/react-native-gifted-chat
react-native-swiper,leecade,9600,https://github.com/leecade/react-native-swiper
react-native-camera,react-native-camera,9300,https://github.com/react-native-camera/react-native-camera
react-native-firebase,invertase,9200,https://github.com/invertase/react-native-firebase
react-native-animatable,oblador,8800,https://github.com/oblador/react-native-animatable
boardgame.io,boardgameio,8800,https://github.com/boardgameio/boardgame.io
react-native-debugger,jhen0409,8700,https://github.com/jhen0409/react-native-debugger
react-native-ui-kitten,akveo,8400,https://github.com/akveo/react-native-ui-kitten
Winds,GetStream,8400,https://github.com/GetStream/Winds
react-native-paper,callstack,8200,https://github.com/callstack/react-native-paper
Detox,wix,8200,https://github.com/wix/Detox
amplify-js,aws-amplify,8200,https://github.com/aws-amplify/amplify-js
svgr,gregberge,7800,https://github.com/gregberge/svgr
react-native-code-push,microsoft,7600,https://github.com/microsoft/react-native-code-push
WatermelonDB,Nozbe,7600,https://github.com/Nozbe/WatermelonDB
client,keybase,7600,https://github.com/keybase/client
devhub,devhubapp,7500,https://github.com/devhubapp/devhub
rematch,rematch,7300,https://github.com/rematch/rematch
react-native-image-picker,react-native-image-picker,7200,https://github.com/react-native-image-picker/react-native-image-picker
react-native-calendars,wix,6900,https://github.com/wix/react-native-calendars
react-native-scrollable-tab-view,ptomasroos,6700,https://github.com/ptomasroos/react-native-scrollable-tab-view
kittenTricks,akveo,6700,https://github.com/akveo/kittenTricks
why-did-you-render,welldone-software,6600,https://github.com/welldone-software/why-did-you-render
react-i18next,i18next,6500,https://github.com/i18next/react-i18next
30-days-of-react-native,fangwei716,6400,https://github.com/fangwei716/30-days-of-react-native
react-native-fast-image,DylanVann,6000,https://github.com/DylanVann/react-native-fast-image
redux-offline,redux-offline,6000,https://github.com/redux-offline/redux-offline
react-native-push-notification,zo0r,6000,https://github.com/zo0r/react-native-push-notification
aurora-imui,jpush,5400,https://github.com/jpush/aurora-imui
learnapollo,learnapollo,5300,https://github.com/learnapollo/learnapollo
react-native-nw-react-calculator,benoitvallon,5100,https://github.com/benoitvallon/react-native-nw-react-calculator
react-native-image-crop-picker,ivpusic,5100,https://github.com/ivpusic/react-native-image-crop-picker
react-native-splash-screen,crazycodeboy,4900,https://github.com/crazycodeboy/react-native-splash-screen
react-native-reanimated,software-mansion,4900,https://github.com/software-mansion/react-native-reanimated
react-native-material-kit,xinthink,4800,https://github.com/xinthink/react-native-material-kit
ui,shoutem,4700,https://github.com/shoutem/ui
pepperoni-app-kit,futurice,4700,https://github.com/futurice/pepperoni-app-kit
berty,berty,4600,https://github.com/berty/berty
snowflake,bartonhammond,4600,https://github.com/bartonhammond/snowflake
react-native-tab-view,satya164,4600,https://github.com/satya164/react-native-tab-view
git-point,gitpoint,4500,https://github.com/gitpoint/git-point
react-native-modal,react-native-modal,4500,https://github.com/react-native-modal/react-native-modal
react-native-keyboard-aware-scroll-view,APSL,4300,https://github.com/APSL/react-native-keyboard-aware-scroll-view
