Repository Name,Username,Stars,URL
redux,reduxjs,56300,https://github.com/reduxjs/redux
react-boilerplate,react-boilerplate,27700,https://github.com/react-boilerplate/react-boilerplate
redux-saga,redux-saga,21700,https://github.com/redux-saga/redux-saga
react-redux,reduxjs,21200,https://github.com/reduxjs/react-redux
react-redux-links,markerikson,20700,https://github.com/markerikson/react-redux-links
immer,immerjs,20700,https://github.com/immerjs/immer
normalizr,paularmstrong,20300,https://github.com/paularmstrong/normalizr
js-stack-from-scratch,verekia,18600,https://github.com/verekia/js-stack-from-scratch
reselect,reduxjs,18000,https://github.com/reduxjs/reselect
dva,dvajs,15700,https://github.com/dvajs/dva
reactjs-interview-questions,sudheerj,15200,https://github.com/sudheerj/reactjs-interview-questions
front-end-guide,grab,13800,https://github.com/grab/front-end-guide
reactotron,infinitered,13000,https://github.com/infinitered/reactotron
redux-devtools-extension,zalmoxisus,12900,https://github.com/zalmoxisus/redux-devtools-extension
redux-form,redux-form,12600,https://github.com/redux-form/redux-form
responsively-app,responsively-org,12400,https://github.com/responsively-org/responsively-app
awesome-redux,xgrommx,11900,https://github.com/xgrommx/awesome-redux
wp-calypso,Automattic,11800,https://github.com/Automattic/wp-calypso
oni,onivim,11500,https://github.com/onivim/oni
redux-persist,rt2zz,11400,https://github.com/rt2zz/redux-persist
react-redux-typescript-guide,piotrwitek,11200,https://github.com/piotrwitek/react-redux-typescript-guide
frontend-bootcamp,microsoft,10400,https://github.com/microsoft/frontend-bootcamp
reactide,reactide,10200,https://github.com/reactide/reactide
react-slingshot,coryhouse,9800,https://github.com/coryhouse/react-slingshot
Lepton,hackjutsu,8700,https://github.com/hackjutsu/Lepton
Winds,GetStream,8400,https://github.com/GetStream/Winds
devhub,devhubapp,7500,https://github.com/devhubapp/devhub
rematch,rematch,7300,https://github.com/rematch/rematch
flutter_architecture_samples,brianegan,7100,https://github.com/brianegan/flutter_architecture_samples
fish-redux,alibaba,7100,https://github.com/alibaba/fish-redux
ReSwift,ReSwift,6900,https://github.com/ReSwift/ReSwift
react-apollo,apollographql,6900,https://github.com/apollographql/react-apollo
platform,ngrx,6800,https://github.com/ngrx/platform
react-tetris,chvin,6600,https://github.com/chvin/react-tetris
mobx-state-tree,mobxjs,6100,https://github.com/mobxjs/mobx-state-tree
redux-offline,redux-offline,6000,https://github.com/redux-offline/redux-offline
hospitalrun-frontend,HospitalRun,5900,https://github.com/HospitalRun/hospitalrun-frontend
redux-logger,LogRocket,5500,https://github.com/LogRocket/redux-logger
mosby,sockeqwe,5500,https://github.com/sockeqwe/mosby
sound-redux,andrewngu,5000,https://github.com/andrewngu/sound-redux
redux-ecosystem-links,markerikson,5000,https://github.com/markerikson/redux-ecosystem-links
react_on_rails,shakacode,4700,https://github.com/shakacode/react_on_rails
pepperoni-app-kit,futurice,4700,https://github.com/futurice/pepperoni-app-kit
debugger,firefox-devtools,4600,https://github.com/firefox-devtools/debugger
xadmin,sshwsfc,4600,https://github.com/sshwsfc/xadmin
FAQGURU,FAQGURU,4600,https://github.com/FAQGURU/FAQGURU
snowflake,bartonhammond,4600,https://github.com/bartonhammond/snowflake
connected-react-router,supasate,4500,https://github.com/supasate/connected-react-router
rekit,rekit,4400,https://github.com/rekit/rekit
easy-peasy,ctrlplusb,4300,https://github.com/ctrlplusb/easy-peasy
typescript-book-chinese,jkchao,4300,https://github.com/jkchao/typescript-book-chinese
react,duxianwei520,4200,https://github.com/duxianwei520/react
store,ngrx,4000,https://github.com/ngrx/store
reactjs101,kdchang,3900,https://github.com/kdchang/reactjs101
