Repository Name,Username,Stars,URL
rails,rails,48700,https://github.com/rails/rails
jekyll,jekyll,43000,https://github.com/jekyll/jekyll
awesome-interview-questions,DopplerHQ,41700,https://github.com/DopplerHQ/awesome-interview-questions
discourse,discourse,33600,https://github.com/discourse/discourse
fastlane,fastlane,32600,https://github.com/fastlane/fastlane
brew,Homebrew,28500,https://github.com/Homebrew/brew
open-source-mac-os-apps,serhii-londar,26400,https://github.com/serhii-londar/open-source-mac-os-apps
gitlabhq,gitlabhq,22600,https://github.com/gitlabhq/gitlabhq
vagrant,hashicorp,22200,https://github.com/hashicorp/vagrant
devise,heartcombo,21800,https://github.com/heartcombo/devise
selenium,SeleniumHQ,21200,https://github.com/SeleniumHQ/selenium
ruby,ruby,18300,https://github.com/ruby/ruby
ruby-style-guide,rubocop,15700,https://github.com/rubocop/ruby-style-guide
graal,oracle,15600,https://github.com/oracle/graal
rbenv,rbenv,13500,https://github.com/rbenv/rbenv
diaspora,diaspora,12800,https://github.com/diaspora/diaspora
capistrano,capistrano,11900,https://github.com/capistrano/capistrano
awesome-ruby,markets,11600,https://github.com/markets/awesome-ruby
rubocop,rubocop,11400,https://github.com/rubocop/rubocop
sinatra,sinatra,11400,https://github.com/sinatra/sinatra
spree,spree,11300,https://github.com/spree/spree
asdf,asdf-vm,11300,https://github.com/asdf-vm/asdf
sidekiq,mperham,11100,https://github.com/mperham/sidekiq
setup,lewagon,10600,https://github.com/lewagon/setup
postal,postalhq,10600,https://github.com/postalhq/postal
fluentd,fluent,10400,https://github.com/fluent/fluentd
Command-line-text-processing,learnbyexample,9600,https://github.com/learnbyexample/Command-line-text-processing
homebrew-core,Homebrew,9600,https://github.com/Homebrew/homebrew-core
faker,faker-ruby,9400,https://github.com/faker-ruby/faker
grape,ruby-grape,9300,https://github.com/ruby-grape/grape
activeadmin,activeadmin,9000,https://github.com/activeadmin/activeadmin
TabNine,codota,8400,https://github.com/codota/TabNine
kaminari,kaminari,8000,https://github.com/kaminari/kaminari
awesomo,lk-geimfari,8000,https://github.com/lk-geimfari/awesomo
mal,kanaka,8000,https://github.com/kanaka/mal
simple_form,heartcombo,7800,https://github.com/heartcombo/simple_form
factory_bot,thoughtbot,7200,https://github.com/thoughtbot/factory_bot
jazzy,realm,7000,https://github.com/realm/jazzy
puma,puma,6800,https://github.com/puma/puma
