Repository Name,Username,Stars,URL
deno,denoland,76600,https://github.com/denoland/deno
rust,rust-lang,56800,https://github.com/rust-lang/rust
alacritty,alacritty,33500,https://github.com/alacritty/alacritty
bat,sharkdp,28100,https://github.com/sharkdp/bat
awesome-rust,rust-unofficial,20800,https://github.com/rust-unofficial/awesome-rust
servo,servo,19800,https://github.com/servo/servo
tauri,tauri-apps,18000,https://github.com/tauri-apps/tauri
fd,sharkdp,18000,https://github.com/sharkdp/fd
starship,starship,17700,https://github.com/starship/starship
rustlings,rust-lang,17400,https://github.com/rust-lang/rustlings
flatbuffers,google,16500,https://github.com/google/flatbuffers
yew,yewstack,16300,https://github.com/yewstack/yew
firecracker,firecracker-microvm,15700,https://github.com/firecracker-microvm/firecracker
MeiliSearch,meilisearch,15000,https://github.com/meilisearch/MeiliSearch
nushell,nushell,14800,https://github.com/nushell/nushell
Rocket,SergioBenitez,14100,https://github.com/SergioBenitez/Rocket
exa,ogham,13900,https://github.com/ogham/exa
redox,redox-os,13300,https://github.com/redox-os/redox
swc,swc-project,12600,https://github.com/swc-project/swc
tokio,tokio-rs,12500,https://github.com/tokio-rs/tokio
actix-web,actix,11700,https://github.com/actix/actix-web
sonic,valeriansaliou,11500,https://github.com/valeriansaliou/sonic
wasmer,wasmerio,10000,https://github.com/wasmerio/wasmer
delta,dandavison,9800,https://github.com/dandavison/delta
iced,hecrj,9800,https://github.com/hecrj/iced
vaultwarden,dani-garcia,9800,https://github.com/dani-garcia/vaultwarden
bevy,bevyengine,9700,https://github.com/bevyengine/bevy
tikv,tikv,9600,https://github.com/tikv/tikv
navi,denisidoro,9400,https://github.com/denisidoro/navi
ip2region,lionsoul2014,9400,https://github.com/lionsoul2014/ip2region
compiler-explorer,compiler-explorer,9000,https://github.com/compiler-explorer/compiler-explorer
spotify-tui,Rigellute,8800,https://github.com/Rigellute/spotify-tui
coreutils,uutils,8700,https://github.com/uutils/coreutils
TabNine,codota,8400,https://github.com/codota/TabNine
ruffle,ruffle-rs,8300,https://github.com/ruffle-rs/ruffle
hyperfine,sharkdp,8200,https://github.com/sharkdp/hyperfine
hyper,hyperium,8200,https://github.com/hyperium/hyper
gdbgui,cs01,8100,https://github.com/cs01/gdbgui
awesomo,lk-geimfari,8000,https://github.com/lk-geimfari/awesomo
RustPython,RustPython,7900,https://github.com/RustPython/RustPython
vector,timberio,7600,https://github.com/timberio/vector
blog_os,phil-opp,7400,https://github.com/phil-opp/blog_os
book,rust-lang,7300,https://github.com/rust-lang/book
xsv,BurntSushi,7300,https://github.com/BurntSushi/xsv
linkerd2,linkerd,7200,https://github.com/linkerd/linkerd2
amethyst,amethyst,7200,https://github.com/amethyst/amethyst
zola,getzola,7100,https://github.com/getzola/zola
diesel,diesel-rs,7000,https://github.com/diesel-rs/diesel
cargo,rust-lang,7000,https://github.com/rust-lang/cargo
rust-learning,ctjhoa,6800,https://github.com/ctjhoa/rust-learning
rust-analyzer,rust-analyzer,6800,https://github.com/rust-analyzer/rust-analyzer
quicktype,quicktype,6700,https://github.com/quicktype/quicktype
citybound,citybound,6500,https://github.com/citybound/citybound
actix,actix,6400,https://github.com/actix/actix
parity-ethereum,openethereum,6400,https://github.com/openethereum/parity-ethereum
talent-plan,pingcap,6300,https://github.com/pingcap/talent-plan
clap,clap-rs,6100,https://github.com/clap-rs/clap
hexyl,sharkdp,6100,https://github.com/sharkdp/hexyl
rust-clippy,rust-lang,6000,https://github.com/rust-lang/rust-clippy
lsd,Peltoche,6000,https://github.com/Peltoche/lsd
tree-sitter,tree-sitter,5800,https://github.com/tree-sitter/tree-sitter
wasmtime,bytecodealliance,5600,https://github.com/bytecodealliance/wasmtime
broot,Canop,5600,https://github.com/Canop/broot
windows-rs,microsoft,5400,https://github.com/microsoft/windows-rs
nom,Geal,5400,https://github.com/Geal/nom
ffsend,timvisee,5300,https://github.com/timvisee/ffsend
tui-rs,fdehau,5300,https://github.com/fdehau/tui-rs
geckodriver,mozilla,5300,https://github.com/mozilla/geckodriver
lemmy,LemmyNet,5200,https://github.com/LemmyNet/lemmy
gitui,extrawurst,5200,https://github.com/extrawurst/gitui
tokei,XAMPPRocky,5100,https://github.com/XAMPPRocky/tokei
patterns,rust-unofficial,5100,https://github.com/rust-unofficial/patterns
warp,seanmonstar,5000,https://github.com/seanmonstar/warp
tantivy,tantivy-search,5000,https://github.com/tantivy-search/tantivy
quiche,cloudflare,5000,https://github.com/cloudflare/quiche
gfx,gfx-rs,4900,https://github.com/gfx-rs/gfx
rust-raspberrypi-OS-tutorials,rust-embedded,4900,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
sled,spacejam,4900,https://github.com/spacejam/sled
grin,mimblewimble,4900,https://github.com/mimblewimble/grin
azul,fschutt,4600,https://github.com/fschutt/azul
remacs,remacs,4500,https://github.com/remacs/remacs
neovide,Kethku,4500,https://github.com/Kethku/neovide
pyo3,PyO3,4400,https://github.com/PyO3/pyo3
mio,tokio-rs,4400,https://github.com/tokio-rs/mio
wasm-bindgen,rustwasm,4300,https://github.com/rustwasm/wasm-bindgen
serde,serde-rs,4300,https://github.com/serde-rs/serde
RustScan,RustScan,4300,https://github.com/RustScan/RustScan
czkawka,qarmin,4300,https://github.com/qarmin/czkawka
sqlx,launchbadge,4300,https://github.com/launchbadge/sqlx
reqwest,seanmonstar,4300,https://github.com/seanmonstar/reqwest
grex,pemistahl,4100,https://github.com/pemistahl/grex
lucet,bytecodealliance,3900,https://github.com/bytecodealliance/lucet
piston,PistonDevelopers,3800,https://github.com/PistonDevelopers/piston
juniper,graphql-rust,3800,https://github.com/graphql-rust/juniper
polkadot,paritytech,3800,https://github.com/paritytech/polkadot
crossbeam,crossbeam-rs,3800,https://github.com/crossbeam-rs/crossbeam
rfcs,rust-lang,3800,https://github.com/rust-lang/rfcs
tonic,hyperium,3700,https://github.com/hyperium/tonic
rustfmt,rust-lang,3700,https://github.com/rust-lang/rustfmt
gnirehtet,Genymobile,3600,https://github.com/Genymobile/gnirehtet
intellij-rust,intellij-rust,3600,https://github.com/intellij-rust/intellij-rust
pastel,sharkdp,3600,https://github.com/sharkdp/pastel
wasm-pack,rustwasm,3500,https://github.com/rustwasm/wasm-pack
open-location-code,google,3500,https://github.com/google/open-location-code
rust-gpu,EmbarkStudios,3500,https://github.com/EmbarkStudios/rust-gpu
egui,emilk,3500,https://github.com/emilk/egui
lsp-mode,emacs-lsp,3400,https://github.com/emacs-lsp/lsp-mode
rust-blog,pretzelhammer,3400,https://github.com/pretzelhammer/rust-blog
boringtun,cloudflare,3300,https://github.com/cloudflare/boringtun
rls,rust-lang,3300,https://github.com/rust-lang/rls
onefetch,o2sh,3300,https://github.com/o2sh/onefetch
Toshi,toshi-search,3200,https://github.com/toshi-search/Toshi
orbtk,redox-os,3200,https://github.com/redox-os/orbtk
rust,tensorflow,3200,https://github.com/tensorflow/rust
stdweb,koute,3100,https://github.com/koute/stdweb
dog,ogham,3100,https://github.com/ogham/dog
