Repository Name,Username,Stars,URL
spark,apache,30300,https://github.com/apache/spark
tidb,pingcap,28400,https://github.com/pingcap/tidb
sequelize,sequelize,24600,https://github.com/sequelize/sequelize
dbeaver,dbeaver,21300,https://github.com/dbeaver/dbeaver
cockroach,cockroachdb,20900,https://github.com/cockroachdb/cockroach
osquery,osquery,18100,https://github.com/osquery/osquery
ClickHouse,ClickHouse,17700,https://github.com/ClickHouse/ClickHouse
mybatis-3,mybatis,15900,https://github.com/mybatis/mybatis-3
knex,knex,14400,https://github.com/knex/knex
shardingsphere,apache,14200,https://github.com/apache/shardingsphere
Dapper,DapperLib,13900,https://github.com/DapperLib/Dapper
presto,prestodb,12200,https://github.com/prestodb/presto
devops-exercises,bregman-arie,11900,https://github.com/bregman-arie/devops-exercises
timescaledb,timescale,11300,https://github.com/timescale/timescaledb
mysql,go-sql-driver,11100,https://github.com/go-sql-driver/mysql
dolt,dolthub,9200,https://github.com/dolthub/dolt
sql.js,sql-js,8900,https://github.com/sql-js/sql.js
rqlite,rqlite,8600,https://github.com/rqlite/rqlite
q,harelba,8500,https://github.com/harelba/q
server,bitwarden,8000,https://github.com/bitwarden/server
soar,XiaoMi,7300,https://github.com/XiaoMi/soar
migrate,golang-migrate,6700,https://github.com/golang-migrate/migrate
records,kennethreitz,6700,https://github.com/kennethreitz/records
usql,xo,6600,https://github.com/xo/usql
beekeeper-studio,beekeeper-studio,6500,https://github.com/beekeeper-studio/beekeeper-studio
elasticsearch-sql,NLPchina,6400,https://github.com/NLPchina/elasticsearch-sql
azuredatastudio,microsoft,6400,https://github.com/microsoft/azuredatastudio
nopCommerce,nopSolutions,6400,https://github.com/nopSolutions/nopCommerce
modin,modin-project,6200,https://github.com/modin-project/modin
flyway,flyway,6000,https://github.com/flyway/flyway
Yearning,cookieY,5500,https://github.com/cookieY/Yearning
yugabyte-db,yugabyte,5300,https://github.com/yugabyte/yugabyte-db
poco,pocoproject,5300,https://github.com/pocoproject/poco
Exposed,JetBrains,5300,https://github.com/JetBrains/Exposed
datasette,simonw,5200,https://github.com/simonw/datasette
citus,citusdata,5000,https://github.com/citusdata/citus
beam,apache,4900,https://github.com/apache/beam
ransack,activerecord-hackery,4900,https://github.com/activerecord-hackery/ransack
falcon,plotly,4800,https://github.com/plotly/falcon
pg,go-pg,4700,https://github.com/go-pg/pg
FAQGURU,FAQGURU,4600,https://github.com/FAQGURU/FAQGURU
go-clean-arch,bxcodec,4500,https://github.com/bxcodec/go-clean-arch
jOOQ,jOOQ,4500,https://github.com/jOOQ/jOOQ
ksql,confluentinc,4400,https://github.com/confluentinc/ksql
orientdb,orientechnologies,4300,https://github.com/orientechnologies/orientdb
sqlx,launchbadge,4300,https://github.com/launchbadge/sqlx
questdb,questdb,4100,https://github.com/questdb/questdb
Opserver,opserver,4100,https://github.com/opserver/Opserver
GRDB.swift,groue,4100,https://github.com/groue/GRDB.swift
sqldelight,cashapp,4100,https://github.com/cashapp/sqldelight
dataset,pudo,4100,https://github.com/pudo/dataset
sqlalchemy,sqlalchemy,4000,https://github.com/sqlalchemy/sqlalchemy
ignite,apache,3900,https://github.com/apache/ignite
hive,apache,3800,https://github.com/apache/hive
franchise,HVF,3800,https://github.com/HVF/franchise
go-sqlmock,DATA-DOG,3600,https://github.com/DATA-DOG/go-sqlmock
trino,trinodb,3600,https://github.com/trinodb/trino
zombodb,zombodb,3500,https://github.com/zombodb/zombodb
Flask-AppBuilder,dpgaspar,3400,https://github.com/dpgaspar/Flask-AppBuilder
sqlc,kyleconroy,3300,https://github.com/kyleconroy/sqlc
duckdb,duckdb,3200,https://github.com/duckdb/duckdb
The-Complete-FAANG-Preparation,AkashSingh3031,3200,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
crate,crate,3100,https://github.com/crate/crate
JSqlParser,JSQLParser,3100,https://github.com/JSQLParser/JSqlParser
requery,requery,3100,https://github.com/requery/requery
blazer,ankane,3000,https://github.com/ankane/blazer
immudb,codenotary,3000,https://github.com/codenotary/immudb
fselect,jhspetersson,2900,https://github.com/jhspetersson/fselect
h2database,h2database,2900,https://github.com/h2database/h2database
ElasticHD,360EntSecGroup-Skylar,2900,https://github.com/360EntSecGroup-Skylar/ElasticHD
materialize,MaterializeInc,2900,https://github.com/MaterializeInc/materialize
xo,xo,2800,https://github.com/xo/xo
scenic,scenic-views,2700,https://github.com/scenic-views/scenic
CS-Books,forthespada,2700,https://github.com/forthespada/CS-Books
liquibase,liquibase,2700,https://github.com/liquibase/liquibase
db,upper,2600,https://github.com/upper/db
HeidiSQL,HeidiSQL,2600,https://github.com/HeidiSQL/HeidiSQL
JavaCollection,hansonwang99,2600,https://github.com/hansonwang99/JavaCollection
calcite,apache,2600,https://github.com/apache/calcite
beakerx,twosigma,2600,https://github.com/twosigma/beakerx
chainquery,lbryio,2600,https://github.com/lbryio/chainquery
fluentmigrator,fluentmigrator,2500,https://github.com/fluentmigrator/fluentmigrator
massive-js,dmfay,2500,https://github.com/dmfay/massive-js
omniscidb,omnisci,2500,https://github.com/omnisci/omniscidb
easy-tips,TIGERB,2500,https://github.com/TIGERB/easy-tips
octosql,cube2222,2500,https://github.com/cube2222/octosql
better-sqlite3,JoshuaWise,2400,https://github.com/JoshuaWise/better-sqlite3
pipelinedb,pipelinedb,2400,https://github.com/pipelinedb/pipelinedb
pgbadger,darold,2400,https://github.com/darold/pgbadger
join-monster,join-monster,2300,https://github.com/join-monster/join-monster
askgit,askgitdev,2300,https://github.com/askgitdev/askgit
migrate,mattes,2300,https://github.com/mattes/migrate
npgsql,npgsql,2300,https://github.com/npgsql/npgsql
ts-sql,codemix,2200,https://github.com/codemix/ts-sql
sql-migrate,rubenv,2200,https://github.com/rubenv/sql-migrate
