Repository Name,Username,Stars,URL
bootstrap,twbs,152000,https://github.com/twbs/bootstrap
vue2-elm,bailicangdu,36500,https://github.com/bailicangdu/vue2-elm
Hover,IanLunn,24700,https://github.com/IanLunn/Hover
tabler,tabler,23800,https://github.com/tabler/tabler
ngx-admin,akveo,22800,https://github.com/akveo/ngx-admin
blueprint,palantir,18000,https://github.com/palantir/blueprint
css,primer,10400,https://github.com/primer/css
chatwoot,chatwoot,9500,https://github.com/chatwoot/chatwoot
bourbon,thoughtbot,9000,https://github.com/thoughtbot/bourbon
stylelint,stylelint,8900,https://github.com/stylelint/stylelint
nebular,akveo,7200,https://github.com/akveo/nebular
hamburgers,jonsuh,6400,https://github.com/jonsuh/hamburgers
css-blocks,linkedin,6300,https://github.com/linkedin/css-blocks
generator-angular-fullstack,angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
madge,pahen,5100,https://github.com/pahen/madge
balloon.css,kazzkiq,4800,https://github.com/kazzkiq/balloon.css
angular-electron,maximegris,4700,https://github.com/maximegris/angular-electron
neat,thoughtbot,4500,https://github.com/thoughtbot/neat
csshake,elrumordelaluz,4400,https://github.com/elrumordelaluz/csshake
sass-loader,webpack-contrib,3700,https://github.com/webpack-contrib/sass-loader
devportfolio,RyanFitzgerald,3500,https://github.com/RyanFitzgerald/devportfolio
jeet,mojotech,3000,https://github.com/mojotech/jeet
eui,elastic,2900,https://github.com/elastic/eui
mini.css,Chalarangelo,2900,https://github.com/Chalarangelo/mini.css
modular-admin-html,modularcode,2800,https://github.com/modularcode/modular-admin-html
FoundationPress,olefredrik,2800,https://github.com/olefredrik/FoundationPress
Gutenberg,matejlatin,2700,https://github.com/matejlatin/Gutenberg
rfs,twbs,2700,https://github.com/twbs/rfs
sass-boilerplate,KittyGiraudel,2600,https://github.com/KittyGiraudel/sass-boilerplate
dart-sass,sass,2400,https://github.com/sass/dart-sass
100-days-of-code-frontend,nas5w,2400,https://github.com/nas5w/100-days-of-code-frontend
family.scss,LukyVj,2300,https://github.com/LukyVj/family.scss
include-media,eduardoboucas,2300,https://github.com/eduardoboucas/include-media
SmartStoreNET,smartstore,2200,https://github.com/smartstore/SmartStoreNET
Uniform,AudithSoftworks,2200,https://github.com/AudithSoftworks/Uniform
stylefmt,morishitter,2100,https://github.com/morishitter/stylefmt
Han,ethantw,2100,https://github.com/ethantw/Han
spotless,diffplug,2000,https://github.com/diffplug/spotless
webpack-encore,symfony,1900,https://github.com/symfony/webpack-encore
kuma,mdn,1900,https://github.com/mdn/kuma
css-modal,drublic,1800,https://github.com/drublic/css-modal
reactql,leebenson,1800,https://github.com/leebenson/reactql
react-shopping-cart,jeffersonRibeiro,1700,https://github.com/jeffersonRibeiro/react-shopping-cart
shards-ui,DesignRevision,1700,https://github.com/DesignRevision/shards-ui
webpack-starter,wbkd,1700,https://github.com/wbkd/webpack-starter
awesome-sass,Famolus,1700,https://github.com/Famolus/awesome-sass
vue-netease-music,sl1673495,1700,https://github.com/sl1673495/vue-netease-music
static-site-boilerplate,ericalli,1600,https://github.com/ericalli/static-site-boilerplate
svg-sprite,svg-sprite,1600,https://github.com/svg-sprite/svg-sprite
refills,thoughtbot,1500,https://github.com/thoughtbot/refills
vue-h5-template,sunniejs,1500,https://github.com/sunniejs/vue-h5-template
atoms,BlazeSoftware,1500,https://github.com/BlazeSoftware/atoms
bulmaswatch,jenil,1500,https://github.com/jenil/bulmaswatch
wordpressify,luangjokaj,1400,https://github.com/luangjokaj/wordpressify
bitters,thoughtbot,1400,https://github.com/thoughtbot/bitters
wordless,welaika,1400,https://github.com/welaika/wordless
generator-ngx-rocket,ngx-rocket,1400,https://github.com/ngx-rocket/generator-ngx-rocket
sassdoc,SassDoc,1400,https://github.com/SassDoc/sassdoc
gridlex,devlint,1300,https://github.com/devlint/gridlex
react-dashboard,flatlogic,1300,https://github.com/flatlogic/react-dashboard
a11y.css,ffoodd,1300,https://github.com/ffoodd/a11y.css
fontsource,fontsource,1300,https://github.com/fontsource/fontsource
StarAdmin-Free-Bootstrap-Admin-Template,BootstrapDash,1200,https://github.com/BootstrapDash/StarAdmin-Free-Bootstrap-Admin-Template
sing-app,flatlogic,1200,https://github.com/flatlogic/sing-app
propeller,digicorp,1100,https://github.com/digicorp/propeller
starter-kit,ngx-rocket,1100,https://github.com/ngx-rocket/starter-kit
sass.js,medialize,1100,https://github.com/medialize/sass.js
web-extension-starter,abhijithvijayan,1100,https://github.com/abhijithvijayan/web-extension-starter
jekyll-assets,envygeeks,1100,https://github.com/envygeeks/jekyll-assets
next-boilerplate,pankod,1100,https://github.com/pankod/next-boilerplate
tris-webpack-boilerplate,tr1s,1000,https://github.com/tr1s/tris-webpack-boilerplate
budgeting,ModusCreateOrg,976,https://github.com/ModusCreateOrg/budgeting
angled-edges,josephfusco,970,https://github.com/josephfusco/angled-edges
material-angular-dashboard,CreativeIT,964,https://github.com/CreativeIT/material-angular-dashboard
vuesax-next,lusaxweb,955,https://github.com/lusaxweb/vuesax-next
three-dots,nzbin,952,https://github.com/nzbin/three-dots
concise.css,ConciseCSS,942,https://github.com/ConciseCSS/concise.css
react-carousel,brainhubeu,896,https://github.com/brainhubeu/react-carousel
livingstyleguide,livingstyleguide,873,https://github.com/livingstyleguide/livingstyleguide
typi,zellwk,865,https://github.com/zellwk/typi
hylia,andy-piccalilli,858,https://github.com/andy-piccalilli/hylia
sierra,sierra-library,852,https://github.com/sierra-library/sierra
furatto,IcaliaLabs,848,https://github.com/IcaliaLabs/furatto
select2-bootstrap-theme,select2,844,https://github.com/select2/select2-bootstrap-theme
gulp-boilerplate,cferdinandi,843,https://github.com/cferdinandi/gulp-boilerplate
SassMagic,W3cplus,843,https://github.com/W3cplus/SassMagic
primitive,taniarascia,815,https://github.com/taniarascia/primitive
snapchat-clone,TowhidKashem,809,https://github.com/TowhidKashem/snapchat-clone
echoes-player,orizens,804,https://github.com/orizens/echoes-player
particle,nrandecker,804,https://github.com/nrandecker/particle
Responsive,ResponsiveBP,791,https://github.com/ResponsiveBP/Responsive
Cirrus,Spiderpig86,789,https://github.com/Spiderpig86/Cirrus
steroidesign,sruda,786,https://github.com/sruda/steroidesign
sass-guidelines,KittyGiraudel,778,https://github.com/KittyGiraudel/sass-guidelines
SnippetStore,ZeroX-DG,776,https://github.com/ZeroX-DG/SnippetStore
inkline,inkline,756,https://github.com/inkline/inkline
sassy-starter,minamarkham,746,https://github.com/minamarkham/sassy-starter
eyeglass,linkedin,743,https://github.com/linkedin/eyeglass
vue-music-player,microzz,727,https://github.com/microzz/vue-music-player
cleopatra,moesaid,720,https://github.com/moesaid/cleopatra
design-system-components,govau,715,https://github.com/govau/design-system-components
material-dashboard-lite,CreativeIT,713,https://github.com/CreativeIT/material-dashboard-lite
react-webpack-typescript-starter,vikpe,692,https://github.com/vikpe/react-webpack-typescript-starter
backslide,sinedied,689,https://github.com/sinedied/backslide
generator-m-ionic,mwaylabs,679,https://github.com/mwaylabs/generator-m-ionic
wordpress-gulp-starter-kit,xsynaptic,674,https://github.com/xsynaptic/wordpress-gulp-starter-kit
analyze-css,macbre,662,https://github.com/macbre/analyze-css
slinky,alizahid,658,https://github.com/alizahid/slinky
scout-app,scout-app,656,https://github.com/scout-app/scout-app
