Repository Name,Username,Stars,URL
spark,apache,30300,https://github.com/apache/spark
kafka,apache,19400,https://github.com/apache/kafka
flink,apache,16700,https://github.com/apache/flink
scala,scala,13400,https://github.com/scala/scala
predictionio,apache,12500,https://github.com/apache/predictionio
deeplearning4j,eclipse,12100,https://github.com/eclipse/deeplearning4j
playframework,playframework,11900,https://github.com/playframework/playframework
CMAK,yahoo,10200,https://github.com/yahoo/CMAK
BigData-Notes,heibaiying,9900,https://github.com/heibaiying/BigData-Notes
lila,ornicar,9700,https://github.com/ornicar/lila
milewski-ctfp-pdf,hmemcpy,8600,https://github.com/hmemcpy/milewski-ctfp-pdf
gitbucket,gitbucket,8400,https://github.com/gitbucket/gitbucket
awesome-scala,lauris,8100,https://github.com/lauris/awesome-scala
finagle,twitter,8000,https://github.com/twitter/finagle
awesomo,lk-geimfari,8000,https://github.com/lk-geimfari/awesomo
mal,kanaka,8000,https://github.com/kanaka/mal
angel,Angel-ML,6300,https://github.com/Angel-ML/angel
zeppelin,apache,5300,https://github.com/apache/zeppelin
gatling,gatling,5200,https://github.com/gatling/gatling
dotty,lampepfl,4600,https://github.com/lampepfl/dotty
scalaz,scalaz,4500,https://github.com/scalaz/scalaz
sbt,sbt,4300,https://github.com/sbt/sbt
papermill,nteract,4200,https://github.com/nteract/papermill
scala-js,scala-js,4200,https://github.com/scala-js/scala-js
polynote,polynote,4200,https://github.com/polynote/polynote
scala-native,scala-native,4000,https://github.com/scala-native/scala-native
BigDL,intel-analytics,3700,https://github.com/intel-analytics/BigDL
TensorFlowOnSpark,yahoo,3700,https://github.com/yahoo/TensorFlowOnSpark
intellij-rainbow-brackets,izhangzhihao,3600,https://github.com/izhangzhihao/intellij-rainbow-brackets
lsp-mode,emacs-lsp,3400,https://github.com/emacs-lsp/lsp-mode
shapeless,milessabin,3200,https://github.com/milessabin/shapeless
spark-notebook,spark-notebook,3000,https://github.com/spark-notebook/spark-notebook
zio,zio,2900,https://github.com/zio/zio
spark-jobserver,spark-jobserver,2700,https://github.com/spark-jobserver/spark-jobserver
lagom,lagom,2600,https://github.com/lagom/lagom
beakerx,twosigma,2600,https://github.com/twosigma/beakerx
scalatra,scalatra,2500,https://github.com/scalatra/scalatra
util,twitter,2500,https://github.com/twitter/util
mmlspark,Azure,2400,https://github.com/Azure/mmlspark
scala-exercises,scala-exercises,2400,https://github.com/scala-exercises/scala-exercises
analytics-zoo,intel-analytics,2300,https://github.com/intel-analytics/analytics-zoo
