Repository Name,Username,Stars,URL
the-book-of-secret-knowledge,trimstray,46400,https://github.com/trimstray/the-book-of-secret-knowledge
Awesome-Hacking,Hack-with-Github,45000,https://github.com/Hack-with-Github/Awesome-Hacking
x64dbg,x64dbg,37000,https://github.com/x64dbg/x64dbg
caddy,caddyserver,34000,https://github.com/caddyserver/caddy
PayloadsAllTheThings,swisskyrepo,27600,https://github.com/swisskyrepo/PayloadsAllTheThings
cs-video-courses,Developer-Y,23700,https://github.com/Developer-Y/cs-video-courses
mitmproxy,mitmproxy,22800,https://github.com/mitmproxy/mitmproxy
algo,trailofbits,21100,https://github.com/trailofbits/algo
security-guide-for-developers,FallibleInc,19800,https://github.com/FallibleInc/security-guide-for-developers
hosts,StevenBlack,18300,https://github.com/StevenBlack/hosts
macOS-Security-and-Privacy-Guide,drduh,18200,https://github.com/drduh/macOS-Security-and-Privacy-Guide
osquery,osquery,18100,https://github.com/osquery/osquery
CheatSheetSeries,OWASP,17500,https://github.com/OWASP/CheatSheetSeries
setup-ipsec-vpn,hwdsl2,16000,https://github.com/hwdsl2/setup-ipsec-vpn
API-Security-Checklist,shieldfy,15800,https://github.com/shieldfy/API-Security-Checklist
matomo,matomo-org,15100,https://github.com/matomo-org/matomo
radare2,radareorg,14600,https://github.com/radareorg/radare2
nginxconfig.io,digitalocean,13000,https://github.com/digitalocean/nginxconfig.io
nginx-admins-handbook,trimstray,12200,https://github.com/trimstray/nginx-admins-handbook
hacker101,Hacker0x01,12000,https://github.com/Hacker0x01/hacker101
How-To-Secure-A-Linux-Server,imthenachoman,11500,https://github.com/imthenachoman/How-To-Secure-A-Linux-Server
tink,google,11400,https://github.com/google/tink
openzeppelin-contracts,OpenZeppelin,11300,https://github.com/OpenZeppelin/openzeppelin-contracts
hydra,ory,11200,https://github.com/ory/hydra
docker-slim,docker-slim,10300,https://github.com/docker-slim/docker-slim
keeweb,keeweb,10200,https://github.com/keeweb/keeweb
bettercap,bettercap,10000,https://github.com/bettercap/bettercap
labs,docker,10000,https://github.com/docker/labs
wifiphisher,wifiphisher,9900,https://github.com/wifiphisher/wifiphisher
teleport,gravitational,9700,https://github.com/gravitational/teleport
routersploit,threat9,9500,https://github.com/threat9/routersploit
cutter,rizinorg,9500,https://github.com/rizinorg/cutter
cilium,cilium,8700,https://github.com/cilium/cilium
the-practical-linux-hardening-guide,trimstray,8700,https://github.com/trimstray/the-practical-linux-hardening-guide
zaproxy,zaproxy,8700,https://github.com/zaproxy/zaproxy
vuls,future-architect,8600,https://github.com/future-architect/vuls
Mailpile,mailpile,8400,https://github.com/mailpile/Mailpile
helmet,helmetjs,8300,https://github.com/helmetjs/helmet
test-your-sysadmin-skills,trimstray,8300,https://github.com/trimstray/test-your-sysadmin-skills
IdentityServer4,IdentityServer,8100,https://github.com/IdentityServer/IdentityServer4
gitleaks,zricethezav,7900,https://github.com/zricethezav/gitleaks
sops,mozilla,7800,https://github.com/mozilla/sops
trivy,aquasecurity,7800,https://github.com/aquasecurity/trivy
urh,jopohl,7400,https://github.com/jopohl/urh
DOMPurify,cure53,7400,https://github.com/cure53/DOMPurify
awesome-security,sbilly,7100,https://github.com/sbilly/awesome-security
javascript-obfuscator,javascript-obfuscator,6700,https://github.com/javascript-obfuscator/javascript-obfuscator
authelia,authelia,6700,https://github.com/authelia/authelia
trape,jofpin,6500,https://github.com/jofpin/trape
oss-fuzz,google,6500,https://github.com/google/oss-fuzz
scapy,secdev,6400,https://github.com/secdev/scapy
KeychainAccess,kishikawakatsumi,6400,https://github.com/kishikawakatsumi/KeychainAccess
dirsearch,maurosoria,6400,https://github.com/maurosoria/dirsearch
awesome-web-security,qazbnm456,6200,https://github.com/qazbnm456/awesome-web-security
fail2ban,fail2ban,6200,https://github.com/fail2ban/fail2ban
opensnitch,evilsocket,6200,https://github.com/evilsocket/opensnitch
brakeman,presidentbeef,6200,https://github.com/presidentbeef/brakeman
how-to-secure-anything,veeral-patel,6100,https://github.com/veeral-patel/how-to-secure-anything
my-arsenal-of-aws-security-tools,toniblyx,6100,https://github.com/toniblyx/my-arsenal-of-aws-security-tools
spring-security,spring-projects,6100,https://github.com/spring-projects/spring-security
openvpn,OpenVPN,6100,https://github.com/OpenVPN/openvpn
monero,monero-project,6000,https://github.com/monero-project/monero
YubiKey-Guide,drduh,6000,https://github.com/drduh/YubiKey-Guide
awesome-ctf,apsdehal,6000,https://github.com/apsdehal/awesome-ctf
gophish,gophish,6000,https://github.com/gophish/gophish
wpscan,wpscanteam,5900,https://github.com/wpscanteam/wpscan
secguide,Tencent,5900,https://github.com/Tencent/secguide
graylog2-server,Graylog2,5800,https://github.com/Graylog2/graylog2-server
system-bus-radio,fulldecent,5700,https://github.com/fulldecent/system-bus-radio
cryptomator,cryptomator,5500,https://github.com/cryptomator/cryptomator
xray,chaitin,5500,https://github.com/chaitin/xray
pyre-check,facebook,5500,https://github.com/facebook/pyre-check
nishang,samratashok,5400,https://github.com/samratashok/nishang
android-security-awesome,ashishb,5400,https://github.com/ashishb/android-security-awesome
DVWA,digininja,5300,https://github.com/digininja/DVWA
nmap,nmap,5300,https://github.com/nmap/nmap
cleverhans,cleverhans-lab,5200,https://github.com/cleverhans-lab/cleverhans
gitrob,michenriksen,5100,https://github.com/michenriksen/gitrob
guide,hobby-kube,5000,https://github.com/hobby-kube/guide
capstone,aquynh,5000,https://github.com/aquynh/capstone
processhacker,processhacker,4900,https://github.com/processhacker/processhacker
arkime,arkime,4800,https://github.com/arkime/arkime
lego,go-acme,4700,https://github.com/go-acme/lego
school-of-sre,linkedin,4700,https://github.com/linkedin/school-of-sre
onionshare,micahflee,4600,https://github.com/micahflee/onionshare
awesome-appsec,paragonie,4600,https://github.com/paragonie/awesome-appsec
clusterfuzz,google,4500,https://github.com/google/clusterfuzz
cloudmapper,duo-labs,4500,https://github.com/duo-labs/cloudmapper
Quasar,quasar,4500,https://github.com/quasar/Quasar
gosec,securego,4500,https://github.com/securego/gosec
unicorn,unicorn-engine,4500,https://github.com/unicorn-engine/unicorn
awesome-threat-intelligence,hslatman,4400,https://github.com/hslatman/awesome-threat-intelligence
pouch,alibaba,4400,https://github.com/alibaba/pouch
AutoSploit,NullArray,4400,https://github.com/NullArray/AutoSploit
awesome-incident-response,meirwah,4400,https://github.com/meirwah/awesome-incident-response
