Repository Name,Username,Stars,URL
express,expressjs,53700,https://github.com/expressjs/express
gin,gin-gonic,49500,https://github.com/gin-gonic/gin
iris,kataras,20900,https://github.com/kataras/iris
vapor,vapor,20500,https://github.com/vapor/vapor
postgrest,PostgREST,17200,https://github.com/PostgREST/postgrest
sonic,valeriansaliou,11500,https://github.com/valeriansaliou/sonic
How-To-Secure-A-Linux-Server,imthenachoman,11500,https://github.com/imthenachoman/How-To-Secure-A-Linux-Server
hydra,ory,11200,https://github.com/ory/hydra
http-server,http-party,10700,https://github.com/http-party/http-server
mailinabox,mail-in-a-box,10300,https://github.com/mail-in-a-box/mailinabox
node-restify,restify,10200,https://github.com/restify/node-restify
linux-dash,afaqurk,9600,https://github.com/afaqurk/linux-dash
OpenRCT2,OpenRCT2,9600,https://github.com/OpenRCT2/OpenRCT2
go-cloud,google,7800,https://github.com/google/go-cloud
Kitura,Kitura,7500,https://github.com/Kitura/Kitura
webpack-dev-server,webpack,7000,https://github.com/webpack/webpack-dev-server
puma,puma,6800,https://github.com/puma/puma
webhook,adnanh,6700,https://github.com/adnanh/webhook
vibora,vibora-io,5700,https://github.com/vibora-io/vibora
mailcatcher,sj26,5300,https://github.com/sj26/mailcatcher
ponzu,ponzu-cms,5300,https://github.com/ponzu-cms/ponzu
warp,seanmonstar,5000,https://github.com/seanmonstar/warp
ejabberd,processone,4900,https://github.com/processone/ejabberd
ET,egametang,4600,https://github.com/egametang/ET
kbengine,kbengine,4500,https://github.com/kbengine/kbengine
ssh-chat,shazow,4400,https://github.com/shazow/ssh-chat
mumble,mumble-voip,4200,https://github.com/mumble-voip/mumble
react-server,redfin,3900,https://github.com/redfin/react-server
cuberite,cuberite,3800,https://github.com/cuberite/cuberite
vespa,vespa-engine,3600,https://github.com/vespa-engine/vespa
cellnet,davyxu,3600,https://github.com/davyxu/cellnet
patchwork,ssbc,3500,https://github.com/ssbc/patchwork
grant,simov,3400,https://github.com/simov/grant
laravel-s,hhxsv5,3400,https://github.com/hhxsv5/laravel-s
Organizr,causefx,3400,https://github.com/causefx/Organizr
swifter,httpswift,3300,https://github.com/httpswift/swifter
glusterfs,gluster,3200,https://github.com/gluster/glusterfs
ion,pion,3100,https://github.com/pion/ion
beast,boostorg,3100,https://github.com/boostorg/beast
Heimdall,linuxserver,3100,https://github.com/linuxserver/Heimdall
mockoon,mockoon,3000,https://github.com/mockoon/mockoon
graphql-shield,maticzav,2900,https://github.com/maticzav/graphql-shield
miniserve,svenstaro,2500,https://github.com/svenstaro/miniserve
aqueduct,stablekernel,2400,https://github.com/stablekernel/aqueduct
OkSocket,xuuhaoo,2300,https://github.com/xuuhaoo/OkSocket
wire-server,wireapp,2300,https://github.com/wireapp/wire-server
deepdetect,jolibrain,2200,https://github.com/jolibrain/deepdetect
actionhero,actionhero,2200,https://github.com/actionhero/actionhero
Simple-Web-Server,eidheim,2200,https://github.com/eidheim/Simple-Web-Server
thin,macournoyer,2200,https://github.com/macournoyer/thin
go-guerrilla,flashmob,2000,https://github.com/flashmob/go-guerrilla
falcon,socketry,2000,https://github.com/socketry/falcon
crossbar,crossbario,1900,https://github.com/crossbario/crossbar
Papercut-SMTP,ChangemakerStudios,1900,https://github.com/ChangemakerStudios/Papercut-SMTP
imageserver,pierrre,1900,https://github.com/pierrre/imageserver
form-data,form-data,1800,https://github.com/form-data/form-data
node-oidc-provider,panva,1700,https://github.com/panva/node-oidc-provider
nano,lonng,1700,https://github.com/lonng/nano
TSW,Tencent,1700,https://github.com/Tencent/TSW
magma,lavabit,1700,https://github.com/lavabit/magma
freedom,8treenet,1700,https://github.com/8treenet/freedom
ardb,yinqiwen,1700,https://github.com/yinqiwen/ardb
async-graphql,async-graphql,1700,https://github.com/async-graphql/async-graphql
health,antonioribeiro,1700,https://github.com/antonioribeiro/health
armor,labstack,1600,https://github.com/labstack/armor
im_service,GoBelieveIO,1600,https://github.com/GoBelieveIO/im_service
faygo,henrylee2cn,1600,https://github.com/henrylee2cn/faygo
knowledge,f2e-awesome,1500,https://github.com/f2e-awesome/knowledge
open62541,open62541,1500,https://github.com/open62541/open62541
Venice,Zewo,1500,https://github.com/Zewo/Venice
picfit,thoas,1500,https://github.com/thoas/picfit
azerothcore-wotlk,azerothcore,1500,https://github.com/azerothcore/azerothcore-wotlk
mist-ce,mistio,1500,https://github.com/mistio/mist-ce
py-kms,SystemRage,1400,https://github.com/SystemRage/py-kms
X,NewLifeX,1400,https://github.com/NewLifeX/X
verge,vergecurrency,1300,https://github.com/vergecurrency/verge
go-imap,emersion,1300,https://github.com/emersion/go-imap
web-server-bundle,symfony,1300,https://github.com/symfony/web-server-bundle
Resty,Dreampie,1300,https://github.com/Dreampie/Resty
ergo,ergochat,1300,https://github.com/ergochat/ergo
bittorrent-tracker,webtorrent,1200,https://github.com/webtorrent/bittorrent-tracker
Ward,B-Software,1200,https://github.com/B-Software/Ward
cross-platform-node-guide,ehmicky,1200,https://github.com/ehmicky/cross-platform-node-guide
welder,pch,1200,https://github.com/pch/welder
webpack-serve,webpack-contrib,1100,https://github.com/webpack-contrib/webpack-serve
Hedwig,onevcat,1100,https://github.com/onevcat/Hedwig
homeserver,ruma,1100,https://github.com/ruma/homeserver
angel,angel-dart,1100,https://github.com/angel-dart/angel
bankai,choojs,1100,https://github.com/choojs/bankai
forgottenserver,otland,1100,https://github.com/otland/forgottenserver
x-prober,kmvan,1000,https://github.com/kmvan/x-prober
start-server-and-test,bahmutov,982,https://github.com/bahmutov/start-server-and-test
local-web-server,lwsjs,955,https://github.com/lwsjs/local-web-server
game-server,jzyong,951,https://github.com/jzyong/game-server
appserver,appserver-io,938,https://github.com/appserver-io/appserver
ClientServerProject,dathlin,920,https://github.com/dathlin/ClientServerProject
ansible-role-docker,geerlingguy,918,https://github.com/geerlingguy/ansible-role-docker
gonet,bobohume,894,https://github.com/bobohume/gonet
vertx-web,vert-x3,886,https://github.com/vert-x3/vertx-web
deno-drash,drashland,873,https://github.com/drashland/deno-drash
ClusterWS,ClusterWS,863,https://github.com/ClusterWS/ClusterWS
ATSCAN,AlisamTechnology,859,https://github.com/AlisamTechnology/ATSCAN
deprecated,ream,856,https://github.com/ream/deprecated
Express,crossroadlabs,854,https://github.com/crossroadlabs/Express
Mycat2,MyCATApache,839,https://github.com/MyCATApache/Mycat2
Monitorix,mikaku,837,https://github.com/mikaku/Monitorix
dyson,webpro,822,https://github.com/webpro/dyson
multi-model-server,awslabs,808,https://github.com/awslabs/multi-model-server
