Repository Name,Username,Stars,URL
serverless,serverless,40200,https://github.com/serverless/serverless
kong,Kong,29600,https://github.com/Kong/kong
tidb,pingcap,28400,https://github.com/pingcap/tidb
github-readme-stats,anuraghazra,26800,https://github.com/anuraghazra/github-readme-stats
react-starter-kit,kriasoft,20800,https://github.com/kriasoft/react-starter-kit
faas,openfaas,20000,https://github.com/openfaas/faas
prisma1,prisma,16900,https://github.com/prisma/prisma1
ice,alibaba,16400,https://github.com/alibaba/ice
firecracker,firecracker-microvm,15700,https://github.com/firecracker-microvm/firecracker
dapr,dapr,14000,https://github.com/dapr/dapr
chromeless,prisma-archive,13300,https://github.com/prisma-archive/chromeless
Zappa,Miserlou,11800,https://github.com/Miserlou/Zappa
cube.js,cube-js,10700,https://github.com/cube-js/cube.js
appwrite,appwrite,10500,https://github.com/appwrite/appwrite
functions-samples,firebase,10100,https://github.com/firebase/functions-samples
awesome-aws,donnemartin,9500,https://github.com/donnemartin/awesome-aws
pulumi,pulumi,9300,https://github.com/pulumi/pulumi
examples,serverless,9100,https://github.com/serverless/examples
up,apex,8300,https://github.com/apex/up
chalice,aws,8100,https://github.com/aws/chalice
serverless-application-model,aws,8000,https://github.com/aws/serverless-application-model
cortex,cortexlabs,7600,https://github.com/cortexlabs/cortex
landscape,cncf,7500,https://github.com/cncf/landscape
kubeless,kubeless,6700,https://github.com/kubeless/kubeless
fission,fission,6300,https://github.com/fission/fission
formidable,node-formidable,5900,https://github.com/node-formidable/formidable
aws-sam-cli,aws,5600,https://github.com/aws/aws-sam-cli
apisix,apache,5600,https://github.com/apache/apisix
openwhisk,apache,5300,https://github.com/apache/openwhisk
fn,fnproject,4900,https://github.com/fnproject/fn
micronaut-core,micronaut-projects,4900,https://github.com/micronaut-projects/micronaut-core
webiny-js,webiny,4600,https://github.com/webiny/webiny-js
midway,midwayjs,4500,https://github.com/midwayjs/midway
react-firebase-starter,kriasoft,4300,https://github.com/kriasoft/react-firebase-starter
serverless-offline,dherault,4200,https://github.com/dherault/serverless-offline
serverless-express,vendia,4100,https://github.com/vendia/serverless-express
nuclio,nuclio,4000,https://github.com/nuclio/nuclio
wasm3,wasm3,3900,https://github.com/wasm3/wasm3
serving,knative,3900,https://github.com/knative/serving
cli,acode,3800,https://github.com/acode/cli
cloud-custodian,cloud-custodian,3700,https://github.com/cloud-custodian/cloud-custodian
claudia,claudiajs,3600,https://github.com/claudiajs/claudia
awesome-learning-resources,lauragift21,3600,https://github.com/lauragift21/awesome-learning-resources
crossplane,crossplane,3500,https://github.com/crossplane/crossplane
keda,kedacore,3400,https://github.com/kedacore/keda
grant,simov,3400,https://github.com/simov/grant
aws-serverless-workshops,aws-samples,3300,https://github.com/aws-samples/aws-serverless-workshops
embark,embarklabs,3300,https://github.com/embarklabs/embark
squeezer,SqueezerIO,3200,https://github.com/SqueezerIO/squeezer
space-cloud,spacecloud-io,3100,https://github.com/spacecloud-io/space-cloud
gloo,solo-io,3000,https://github.com/solo-io/gloo
functions,iron-io,2900,https://github.com/iron-io/functions
docs,knative,2800,https://github.com/knative/docs
spec,cloudevents,2700,https://github.com/cloudevents/spec
komiser,mlabouardy,2600,https://github.com/mlabouardy/komiser
bless,Netflix,2600,https://github.com/Netflix/bless
serverless-chrome,adieuadieu,2600,https://github.com/adieuadieu/serverless-chrome
streamalert,airbnb,2600,https://github.com/airbnb/streamalert
aws-lambda-power-tuning,alexcasalboni,2500,https://github.com/alexcasalboni/aws-lambda-power-tuning
serverless-next.js,serverless-nextjs,2400,https://github.com/serverless-nextjs/serverless-next.js
stacks-blockchain,blockstack,2400,https://github.com/blockstack/stacks-blockchain
middy,middyjs,2300,https://github.com/middyjs/middy
opyrator,ml-tooling,2300,https://github.com/ml-tooling/opyrator
wrangler,cloudflare,2300,https://github.com/cloudflare/wrangler
kubevela,oam-dev,2300,https://github.com/oam-dev/kubevela
chrome-aws-lambda,alixaxel,2300,https://github.com/alixaxel/chrome-aws-lambda
bref,brefphp,2300,https://github.com/brefphp/bref
aws-mobile-react-native-starter,amazon-archives,2200,https://github.com/amazon-archives/aws-mobile-react-native-starter
amplify-cli,aws-amplify,2200,https://github.com/aws-amplify/amplify-cli
components,serverless,2200,https://github.com/serverless/components
spec,oam-dev,2100,https://github.com/oam-dev/spec
serverless-stack,serverless-stack,2100,https://github.com/serverless-stack/serverless-stack
spring-native,spring-projects-experimental,2000,https://github.com/spring-projects-experimental/spring-native
awesome-serverless,pmuens,2000,https://github.com/pmuens/awesome-serverless
jets,boltops-tools,1800,https://github.com/boltops-tools/jets
jamstack.org,jamstack,1800,https://github.com/jamstack/jamstack.org
flogo,TIBCOSoftware,1800,https://github.com/TIBCOSoftware/flogo
faas-netes,openfaas,1800,https://github.com/openfaas/faas-netes
MoonMail,MoonMail,1700,https://github.com/MoonMail/MoonMail
scar,cloudkj,1700,https://github.com/cloudkj/scar
architect,architect,1700,https://github.com/architect/architect
OneManager-php,qkqpttgf,1700,https://github.com/qkqpttgf/OneManager-php
fx,metrue,1600,https://github.com/metrue/fx
event-gateway,serverless,1600,https://github.com/serverless/event-gateway
faasd,openfaas,1600,https://github.com/openfaas/faasd
