Repository Name,Username,Stars,URL
ohmyzsh,ohmyzsh,130000,https://github.com/ohmyzsh/ohmyzsh
thefuck,nvbn,63000,https://github.com/nvbn/thefuck
nvm,nvm-sh,49900,https://github.com/nvm-sh/nvm
git,git,38600,https://github.com/git/git
tldr,tldr-pages,33600,https://github.com/tldr-pages/tldr
edex-ui,GitSquared,33100,https://github.com/GitSquared/edex-ui
pi-hole,pi-hole,31800,https://github.com/pi-hole/pi-hole
nerd-fonts,ryanoasis,28900,https://github.com/ryanoasis/nerd-fonts
PowerShell,PowerShell,27700,https://github.com/PowerShell/PowerShell
pure-bash-bible,dylanaraps,27300,https://github.com/dylanaraps/pure-bash-bible
awesome-macos-command-line,herrbischoff,25400,https://github.com/herrbischoff/awesome-macos-command-line
shellcheck,koalaman,25400,https://github.com/koalaman/shellcheck
acme.sh,acmesh-official,22800,https://github.com/acmesh-official/acme.sh
awesome-shell,alebcay,21700,https://github.com/alebcay/awesome-shell
upterm,railsware,19500,https://github.com/railsware/upterm
zsh-autosuggestions,zsh-users,17800,https://github.com/zsh-users/zsh-autosuggestions
nushell,nushell,14800,https://github.com/nushell/nushell
spaceship-prompt,spaceship-prompt,14800,https://github.com/spaceship-prompt/spaceship-prompt
.tmux,gpakosz,14500,https://github.com/gpakosz/.tmux
openvpn-install,Nyr,13500,https://github.com/Nyr/openvpn-install
shelljs,shelljs,12600,https://github.com/shelljs/shelljs
bash-it,Bash-it,12400,https://github.com/Bash-it/bash-it
zsh-syntax-highlighting,zsh-users,12200,https://github.com/zsh-users/zsh-syntax-highlighting
modern-unix,ibraheemdev,11700,https://github.com/ibraheemdev/modern-unix
terminalizer,faressoft,11700,https://github.com/faressoft/terminalizer
asdf,asdf-vm,11300,https://github.com/asdf-vm/asdf
dockerfiles,jessfraz,11100,https://github.com/jessfraz/dockerfiles
kaldi,kaldi-asr,10600,https://github.com/kaldi-asr/kaldi
pure,sindresorhus,10400,https://github.com/sindresorhus/pure
navi,denisidoro,9400,https://github.com/denisidoro/navi
termtosvg,nbedos,9200,https://github.com/nbedos/termtosvg
psysh,bobthecow,9000,https://github.com/bobthecow/psysh
sampler,sqshq,9000,https://github.com/sqshq/sampler
lynis,CISOfy,8600,https://github.com/CISOfy/lynis
http-prompt,httpie,8200,https://github.com/httpie/http-prompt
crouton,dnschneid,7800,https://github.com/dnschneid/crouton
direnv,direnv,7600,https://github.com/direnv/direnv
oh-my-fish,oh-my-fish,7500,https://github.com/oh-my-fish/oh-my-fish
ConEmu,Maximus5,7400,https://github.com/Maximus5/ConEmu
gitsome,donnemartin,7100,https://github.com/donnemartin/gitsome
webhook,adnanh,6700,https://github.com/adnanh/webhook
antigen,zsh-users,6600,https://github.com/zsh-users/antigen
pupy,n1nj4sec,6400,https://github.com/n1nj4sec/pupy
dotfiles,holman,6200,https://github.com/holman/dotfiles
enquirer,enquirer,6100,https://github.com/enquirer/enquirer
Gogh,Mayccoll,6000,https://github.com/Mayccoll/Gogh
awesome-dotfiles,webpro,5900,https://github.com/webpro/awesome-dotfiles
privilege-escalation-awesome-scripts-suite,carlospolop,5800,https://github.com/carlospolop/privilege-escalation-awesome-scripts-suite
typer,tiangolo,5700,https://github.com/tiangolo/typer
powerline-shell,b-ryan,5600,https://github.com/b-ryan/powerline-shell
vorpal,dthree,5400,https://github.com/dthree/vorpal
useful-scripts,oldratlee,5300,https://github.com/oldratlee/useful-scripts
bash-oo-framework,niieani,5200,https://github.com/niieani/bash-oo-framework
docker-gc,spotify,5100,https://github.com/spotify/docker-gc
dehydrated,dehydrated-io,5100,https://github.com/dehydrated-io/dehydrated
git-ftp,git-ftp,5000,https://github.com/git-ftp/git-ftp
xonsh,xonsh,5000,https://github.com/xonsh/xonsh
git-quick-stats,arzzen,4900,https://github.com/arzzen/git-quick-stats
jrnl,jrnl-org,4900,https://github.com/jrnl-org/jrnl
gitflow-avh,petervanderdoes,4800,https://github.com/petervanderdoes/gitflow-avh
saws,donnemartin,4800,https://github.com/donnemartin/saws
bash-handbook,denysdovhan,4500,https://github.com/denysdovhan/bash-handbook
todo.txt-cli,todotxt,4500,https://github.com/todotxt/todo.txt-cli
zsh-completions,zsh-users,4500,https://github.com/zsh-users/zsh-completions
elvish,elves,4400,https://github.com/elves/elvish
execa,sindresorhus,4000,https://github.com/sindresorhus/execa
sh,mvdan,3900,https://github.com/mvdan/sh
mediasoup,versatica,3700,https://github.com/versatica/mediasoup
autocomplete,withfig,3600,https://github.com/withfig/autocomplete
awesome-command-line-apps,herrbischoff,3500,https://github.com/herrbischoff/awesome-command-line-apps
across,teddysun,3500,https://github.com/teddysun/across
nb,xwmx,3400,https://github.com/xwmx/nb
haxor-news,donnemartin,3300,https://github.com/donnemartin/haxor-news
screenFetch,KittyKatt,3200,https://github.com/KittyKatt/screenFetch
vim-anywhere,cknadler,3200,https://github.com/cknadler/vim-anywhere
netflix-proxy,ab77,3100,https://github.com/ab77/netflix-proxy
zoxide,ajeetdsouza,3100,https://github.com/ajeetdsouza/zoxide
pure-sh-bible,dylanaraps,3000,https://github.com/dylanaraps/pure-sh-bible
LinuxGSM,GameServerManagers,2900,https://github.com/GameServerManagers/LinuxGSM
dotfiles,jessfraz,2900,https://github.com/jessfraz/dotfiles
console,cbucher,2900,https://github.com/cbucher/console
v2ray-agent,mack-a,2800,https://github.com/mack-a/v2ray-agent
whitelist,anudeepND,2700,https://github.com/anudeepND/whitelist
laravel-zero,laravel-zero,2700,https://github.com/laravel-zero/laravel-zero
DietPi,MichaIng,2600,https://github.com/MichaIng/DietPi
git-open,paulirish,2600,https://github.com/paulirish/git-open
github-markdown-toc,ekalinin,2600,https://github.com/ekalinin/github-markdown-toc
jquery.terminal,jcubic,2500,https://github.com/jcubic/jquery.terminal
bats-core,bats-core,2500,https://github.com/bats-core/bats-core
mcfly,cantino,2400,https://github.com/cantino/mcfly
rsync-time-backup,laurent22,2400,https://github.com/laurent22/rsync-time-backup
desk,jamesob,2400,https://github.com/jamesob/desk
lamp,teddysun,2300,https://github.com/teddysun/lamp
powerline-go,justjanne,2200,https://github.com/justjanne/powerline-go
oh-my-bash,ohmybash,2100,https://github.com/ohmybash/oh-my-bash
dotfiles,nicknisi,2100,https://github.com/nicknisi/dotfiles
BlackDex,CodingGay,2100,https://github.com/CodingGay/BlackDex
z.lua,skywind3000,2000,https://github.com/skywind3000/z.lua
enhancd,b4b4r07,2000,https://github.com/b4b4r07/enhancd
evil-winrm,Hackplayers,1900,https://github.com/Hackplayers/evil-winrm
tmux-yank,tmux-plugins,1800,https://github.com/tmux-plugins/tmux-yank
script,bitfield,1800,https://github.com/bitfield/script
wslu,wslutilities,1800,https://github.com/wslutilities/wslu
xxh,xxh,1800,https://github.com/xxh/xxh
bash-completion,scop,1800,https://github.com/scop/bash-completion
shpotify,hnarayanan,1700,https://github.com/hnarayanan/shpotify
gibo,simonwhitaker,1700,https://github.com/simonwhitaker/gibo
winetricks,Winetricks,1600,https://github.com/Winetricks/winetricks
ruby-install,postmodern,1600,https://github.com/postmodern/ruby-install
tmux-config,tony,1600,https://github.com/tony/tmux-config
bpkg,bpkg,1600,https://github.com/bpkg/bpkg
ffmpeg-android,WritingMinds,1500,https://github.com/WritingMinds/ffmpeg-android
closh,dundalek,1500,https://github.com/dundalek/closh
warp,spolu,1500,https://github.com/spolu/warp
LS_COLORS,trapd00r,1500,https://github.com/trapd00r/LS_COLORS
makeself,megastep,1500,https://github.com/megastep/makeself
plexupdate,mrworf,1500,https://github.com/mrworf/plexupdate
nave,isaacs,1500,https://github.com/isaacs/nave
dotfiles,xero,1500,https://github.com/xero/dotfiles
Bash-Oneliner,onceupon,1500,https://github.com/onceupon/Bash-Oneliner
