Repository Name,Username,Stars,URL
react-sketchapp,airbnb,14800,https://github.com/airbnb/react-sketchapp
awesome-design,gztchan,13000,https://github.com/gztchan/awesome-design
react-color,casesandberg,9900,https://github.com/casesandberg/react-color
themer,mjswensen,4300,https://github.com/mjswensen/themer
plugin-directory,sketchplugins,3400,https://github.com/sketchplugins/plugin-directory
boring-avatars,boringdesigners,2800,https://github.com/boringdesigners/boring-avatars
weui-design,weui,2700,https://github.com/weui/weui-design
Miaow,weixin,2500,https://github.com/weixin/Miaow
git-sketch-plugin,mathieudutour,2500,https://github.com/mathieudutour/git-sketch-plugin
Fluid-for-Sketch,matt-curtis,2400,https://github.com/matt-curtis/Fluid-for-Sketch
sketch-palettes,andrewfiorillo,2300,https://github.com/andrewfiorillo/sketch-palettes
paddy-sketch-plugin,DWilliames,2200,https://github.com/DWilliames/paddy-sketch-plugin
sketch-iconfont,keremciu,2000,https://github.com/keremciu/sketch-iconfont
html-sketchapp,html-sketchapp,1800,https://github.com/html-sketchapp/html-sketchapp
svgo,ajstarks,1700,https://github.com/ajstarks/svgo
data-populator,preciousforever,1700,https://github.com/preciousforever/data-populator
kactus,kactus-io,1500,https://github.com/kactus-io/kactus
sketch,vydd,1000,https://github.com/vydd/sketch
Prism,ment-mx,1000,https://github.com/ment-mx/Prism
sketch-foundation-kit,stephenway,1000,https://github.com/stephenway/sketch-foundation-kit
carbon-design-kit,carbon-design-system,998,https://github.com/carbon-design-system/carbon-design-kit
skpm,skpm,903,https://github.com/skpm/skpm
opensse,zddhub,895,https://github.com/zddhub/opensse
Sketch-Icons,AMoreaux,880,https://github.com/AMoreaux/Sketch-Icons
Automate-Sketch,Ashung,869,https://github.com/Ashung/Automate-Sketch
sketch-web-viewer,AnimaApp,864,https://github.com/AnimaApp/sketch-web-viewer
Design-Resources,MohamedYoussouf,842,https://github.com/MohamedYoussouf/Design-Resources
symbol-organizer,sonburn,839,https://github.com/sonburn/symbol-organizer
sketch-commands,bomberstudios,829,https://github.com/bomberstudios/sketch-commands
SketchAPI,sketch-hq,802,https://github.com/sketch-hq/SketchAPI
alfred-font-awesome-workflow,ruedap,734,https://github.com/ruedap/alfred-font-awesome-workflow
Sketch-Find-And-Replace,thierryc,697,https://github.com/thierryc/Sketch-Find-And-Replace
MakeIconsWithSketch,allenwong,650,https://github.com/allenwong/MakeIconsWithSketch
html-sketchapp-cli,seek-oss,632,https://github.com/seek-oss/html-sketchapp-cli
react-native-sketch,jgrancher,631,https://github.com/jgrancher/react-native-sketch
macOS-UI-Kit,alexkaessner,565,https://github.com/alexkaessner/macOS-UI-Kit
sketch_simplification,bobbens,554,https://github.com/bobbens/sketch_simplification
sketch-styles-generator,lucaorio,540,https://github.com/lucaorio/sketch-styles-generator
Sketch-Mate,getflourish,508,https://github.com/getflourish/Sketch-Mate
my-sketch-colors,RayPS,501,https://github.com/RayPS/my-sketch-colors
Sketch-SF-UI-Font-Fixer,kylehickinson,491,https://github.com/kylehickinson/Sketch-SF-UI-Font-Fixer
react-sketch,tbolis,453,https://github.com/tbolis/react-sketch
chromatic-sketch,petterheterjag,448,https://github.com/petterheterjag/chromatic-sketch
Sketch_Swatches,Ashung,446,https://github.com/Ashung/Sketch_Swatches
sketchcachecleaner,yo-op,441,https://github.com/yo-op/sketchcachecleaner
Google-Material-Icons-for-Sketch,LPZilva,418,https://github.com/LPZilva/Google-Material-Icons-for-Sketch
SketchRunner,AlexeySemigradsky,413,https://github.com/AlexeySemigradsky/SketchRunner
Swatches,jodyheavener,397,https://github.com/jodyheavener/Swatches
story2sketch,chrisvxd,392,https://github.com/chrisvxd/story2sketch
sync.sketchplugin,nolastan,355,https://github.com/nolastan/sync.sketchplugin
Chain,lalomts,347,https://github.com/lalomts/Chain
sketch-image-compressor,sketch-hq,339,https://github.com/sketch-hq/sketch-image-compressor
Picasso,wuba,336,https://github.com/wuba/Picasso
Sketch-Plugin-Manager,mludowise,334,https://github.com/mludowise/Sketch-Plugin-Manager
Sketch-ArtboardTricks,romannurik,316,https://github.com/romannurik/Sketch-ArtboardTricks
design-system-ui-kit,salesforce-ux,315,https://github.com/salesforce-ux/design-system-ui-kit
PhotoSketch,mtli,307,https://github.com/mtli/PhotoSketch
sketch-dev-tools,skpm,295,https://github.com/skpm/sketch-dev-tools
SketchCrapp,duraki,292,https://github.com/duraki/SketchCrapp
sketch-lint,saranshsolanki,291,https://github.com/saranshsolanki/sketch-lint
Sketch-Connection-Flow-Arrows,faridsabitov,283,https://github.com/faridsabitov/Sketch-Connection-Flow-Arrows
Keys-For-Sketch,exevil,283,https://github.com/exevil/Keys-For-Sketch
node-sketch,oscarotero,282,https://github.com/oscarotero/node-sketch
Framer-Inventory-for-Sketch,timurnurutdinov,280,https://github.com/timurnurutdinov/Framer-Inventory-for-Sketch
Google-sheets-content-sync-sketch-plugin,DWilliames,280,https://github.com/DWilliames/Google-sheets-content-sync-sketch-plugin
CSS-Buddy,jodyheavener,280,https://github.com/jodyheavener/CSS-Buddy
sketch-gifme-plugin,kannonboy,277,https://github.com/kannonboy/sketch-gifme-plugin
mirror,zhihu,275,https://github.com/zhihu/mirror
sketch-module-web-view,skpm,275,https://github.com/skpm/sketch-module-web-view
LTFinderButtons,lexrus,274,https://github.com/lexrus/LTFinderButtons
merge-duplicate-symbols,oodesign,273,https://github.com/oodesign/merge-duplicate-symbols
SketchContentSync,contentsync,272,https://github.com/contentsync/SketchContentSync
Sketch-iOS-Library,bgian,266,https://github.com/bgian/Sketch-iOS-Library
SketchToSwift,freshOS,253,https://github.com/freshOS/SketchToSwift
sketchsheets,rnarrkus,245,https://github.com/rnarrkus/sketchsheets
sketch-feather,feathericons,240,https://github.com/feathericons/sketch-feather
multigraph_transformer,PengBoXiangShang,233,https://github.com/PengBoXiangShang/multigraph_transformer
PDF-export-sketch-plugin,DWilliames,232,https://github.com/DWilliames/PDF-export-sketch-plugin
TinyFaces-Sketch-Plugin,maximedegreve,223,https://github.com/maximedegreve/TinyFaces-Sketch-Plugin
pix2vox,maxorange,214,https://github.com/maxorange/pix2vox
DrawingView-Android,mukeshsolanki,212,https://github.com/mukeshsolanki/DrawingView-Android
plugin-requests,sketchplugins,211,https://github.com/sketchplugins/plugin-requests
Android_Res_Export,Ashung,205,https://github.com/Ashung/Android_Res_Export
copy-framer-code,perrysmotors,201,https://github.com/perrysmotors/copy-framer-code
lunacy-docs,icons8,199,https://github.com/icons8/lunacy-docs
sketch-style-master,aparajita,192,https://github.com/aparajita/sketch-style-master
library-symbol-replacer,zeroheight,192,https://github.com/zeroheight/library-symbol-replacer
symbol-swapper,sonburn,183,https://github.com/sonburn/symbol-swapper
Sparkliner,Volorf,183,https://github.com/Volorf/Sparkliner
feathericon,feathericon,180,https://github.com/feathericon/feathericon
icondrop,Iconscout,179,https://github.com/Iconscout/icondrop
code-sketch,keelii,178,https://github.com/keelii/code-sketch
Move-to-library-sketchplugin,ahmedmigo,174,https://github.com/ahmedmigo/Move-to-library-sketchplugin
sketch-tailwind,jan-dh,172,https://github.com/jan-dh/sketch-tailwind
Sketch2AE,bigxixi,171,https://github.com/bigxixi/Sketch2AE
symbol-instance-renamer,sonburn,168,https://github.com/sonburn/symbol-instance-renamer
open-sketch,skahack,161,https://github.com/skahack/open-sketch
iSketchNFill,arnabgho,161,https://github.com/arnabgho/iSketchNFill
Awesome-Sketch-Synthesis,MarkMoHR,160,https://github.com/MarkMoHR/Awesome-Sketch-Synthesis
Sketch-Navigator,arshad,160,https://github.com/arshad/Sketch-Navigator
uswds-for-designers,uswds,156,https://github.com/uswds/uswds-for-designers
NativeBase-Sketch-Template,GeekyAnts,155,https://github.com/GeekyAnts/NativeBase-Sketch-Template
symbol-instance-locator,sonburn,152,https://github.com/sonburn/symbol-instance-locator
sketch-data,ivomynttinen,149,https://github.com/ivomynttinen/sketch-data
sketch-palette-generator,awkward,147,https://github.com/awkward/sketch-palette-generator
logos-per-banks,zegond,146,https://github.com/zegond/logos-per-banks
sketch-divine-proportions,ichord,143,https://github.com/ichord/sketch-divine-proportions
Fake-Chinese-Name-for-Sketch,JJYing,142,https://github.com/JJYing/Fake-Chinese-Name-for-Sketch
logodrop,Iconscout,140,https://github.com/Iconscout/logodrop
sketch-batch-create-symbols,demersdesigns,136,https://github.com/demersdesigns/sketch-batch-create-symbols
Awesome-Sketch-Based-Applications,MarkMoHR,136,https://github.com/MarkMoHR/Awesome-Sketch-Based-Applications
coolicons,krystonschwarze,133,https://github.com/krystonschwarze/coolicons
