Repository Name,Username,Stars,URL
ZeroTierOne,zerotier,7000,https://github.com/zerotier/ZeroTierOne
mininet,mininet,4000,https://github.com/mininet/mininet
dpdk-ans,ansyun,949,https://github.com/ansyun/dpdk-ans
kube-ovn,kubeovn,928,https://github.com/kubeovn/kube-ovn
sdn-handbook,feiskyer,912,https://github.com/feiskyer/sdn-handbook
awesome-sdn,sdnds-tw,891,https://github.com/sdnds-tw/awesome-sdn
sdn-handbook,tonydeng,659,https://github.com/tonydeng/sdn-handbook
libzt,zerotier,544,https://github.com/zerotier/libzt
faucet,faucetsdn,396,https://github.com/faucetsdn/faucet
poseidon,IQTLabs,319,https://github.com/IQTLabs/poseidon
Learning-SDN,YanHaoChen,279,https://github.com/YanHaoChen/Learning-SDN
ofsoftswitch13,CPqD,270,https://github.com/CPqD/ofsoftswitch13
vedetta,vedetta-com,267,https://github.com/vedetta-com/vedetta
computer-networking,bregman-arie,224,https://github.com/bregman-arie/computer-networking
stratum,stratum,204,https://github.com/stratum/stratum
yabgp,smartbgp,184,https://github.com/smartbgp/yabgp
Kathara,KatharaFramework,158,https://github.com/KatharaFramework/Kathara
sdwannewhope,sdnewhop,147,https://github.com/sdnewhop/sdwannewhope
a-deep-rl-approach-for-sdn-routing-optimization,knowledgedefinednetworking,134,https://github.com/knowledgedefinednetworking/a-deep-rl-approach-for-sdn-routing-optimization
corebgp,jwhited,127,https://github.com/jwhited/corebgp
terraform-provider-zerotier,cormacrelf,115,https://github.com/cormacrelf/terraform-provider-zerotier
fastclick,tbarbette,107,https://github.com/tbarbette/fastclick
CNTT,cntt-n,99,https://github.com/cntt-n/CNTT
cherry,superkkt,93,https://github.com/superkkt/cherry
nff-go-nat,intel-go,76,https://github.com/intel-go/nff-go-nat
lighty,PANTHEONtech,74,https://github.com/PANTHEONtech/lighty
sdn-loadbalancing,nayanseth,66,https://github.com/nayanseth/sdn-loadbalancing
pathman-sr,CiscoDevNet,64,https://github.com/CiscoDevNet/pathman-sr
meetups,cloud-native-taiwan,64,https://github.com/cloud-native-taiwan/meetups
RyuApps,Ehsan70,61,https://github.com/Ehsan70/RyuApps
DELTA,seungsoo-lee,59,https://github.com/seungsoo-lee/DELTA
beehive-netctrl,kandoo,57,https://github.com/kandoo/beehive-netctrl
iovisor-ovn,iovisor,55,https://github.com/iovisor/iovisor-ovn
cloudsimsdn,Cloudslab,54,https://github.com/Cloudslab/cloudsimsdn
zero-ui,dec0dOS,52,https://github.com/dec0dOS/zero-ui
openshift-monitoring,oscp,51,https://github.com/oscp/openshift-monitoring
opendaylight-sample-apps,CiscoDevNet,49,https://github.com/CiscoDevNet/opendaylight-sample-apps
openflow,netrack,49,https://github.com/netrack/openflow
quantum,supernomad,48,https://github.com/supernomad/quantum
flowmanager,martimy,48,https://github.com/martimy/flowmanager
acipdt,carlmontanari,46,https://github.com/carlmontanari/acipdt
multipath,wildan2711,44,https://github.com/wildan2711/multipath
sdwan-harvester,sdnewhop,43,https://github.com/sdnewhop/sdwan-harvester
