Repository Name,Username,Stars,URL
SpaceVim,SpaceVim,16900,https://github.com/SpaceVim/SpaceVim
vim-galore-zh_cn,wsdjeg,8100,https://github.com/wsdjeg/vim-galore-zh_cn
DotFiles,wsdjeg,1400,https://github.com/wsdjeg/DotFiles
vim-chat,wsdjeg,471,https://github.com/wsdjeg/vim-chat
spacevim,ctjhoa,367,https://github.com/ctjhoa/spacevim
Hack-SpaceVim,Gabirel,358,https://github.com/Gabirel/Hack-SpaceVim
FlyGrep.vim,wsdjeg,289,https://github.com/wsdjeg/FlyGrep.vim
GitHub.vim,wsdjeg,190,https://github.com/wsdjeg/GitHub.vim
My-Linux-config,Martins3,106,https://github.com/Martins3/My-Linux-config
JavaUnit.vim,wsdjeg,102,https://github.com/wsdjeg/JavaUnit.vim
imenu.vim,wsdjeg,98,https://github.com/wsdjeg/imenu.vim
job.vim,wsdjeg,91,https://github.com/wsdjeg/job.vim
vim-markdown,SpaceVim,73,https://github.com/SpaceVim/vim-markdown
gtags.vim,SpaceVim,71,https://github.com/SpaceVim/gtags.vim
cscope.vim,SpaceVim,65,https://github.com/SpaceVim/cscope.vim
ideavimrc,prontera,49,https://github.com/prontera/ideavimrc
spaceneovim-layers,Tehnix,37,https://github.com/Tehnix/spaceneovim-layers
dotfiles,joelazar,20,https://github.com/joelazar/dotfiles
SpaceVim,mrbeardad,17,https://github.com/mrbeardad/SpaceVim
dotfiles,willdoescode,16,https://github.com/willdoescode/dotfiles
SpaceVimTutorial,everettjf,11,https://github.com/everettjf/SpaceVimTutorial
vimlociraptor,lucasprag,11,https://github.com/lucasprag/vimlociraptor
dotfiles,techgaun,9,https://github.com/techgaun/dotfiles
vim-fuzzy,wsdjeg,7,https://github.com/wsdjeg/vim-fuzzy
Socialst,Axect,7,https://github.com/Axect/Socialst
SpaceVim-theme,SpaceVim,7,https://github.com/SpaceVim/SpaceVim-theme
vim-pact,wsdjeg,6,https://github.com/wsdjeg/vim-pact
vim-nim,wsdjeg,6,https://github.com/wsdjeg/vim-nim
spacevim,chrisenytc,4,https://github.com/chrisenytc/spacevim
unite-ctags,SpaceVim,3,https://github.com/SpaceVim/unite-ctags
SpaceBox,VarunBatraIT,2,https://github.com/VarunBatraIT/SpaceBox
nim-example,wsdjeg,2,https://github.com/wsdjeg/nim-example
dotfiles,Fetz,2,https://github.com/Fetz/dotfiles
Chatting-server,wsdjeg,2,https://github.com/wsdjeg/Chatting-server
dev-in-a-box,darxkies,2,https://github.com/darxkies/dev-in-a-box
dotfiles,siddharthroy12,1,https://github.com/siddharthroy12/dotfiles
spacevim,krlex,1,https://github.com/krlex/spacevim
deoplete-dart,SpaceVim,1,https://github.com/SpaceVim/deoplete-dart
.-files-old,ExtinctAxolotl,1,https://github.com/ExtinctAxolotl/.-files-old
dotFile,maxwell2ic2ai,1,https://github.com/maxwell2ic2ai/dotFile
dotfiles,r4um,1,https://github.com/r4um/dotfiles
dotfiles.rcm,rjcoelho,1,https://github.com/rjcoelho/dotfiles.rcm
dotfiles,jgonsior,1,https://github.com/jgonsior/dotfiles
dotfiles,matthewstrasiotto,1,https://github.com/matthewstrasiotto/dotfiles
vim-lsp,vim-lsp,1,https://github.com/vim-lsp/vim-lsp
dotfiles,vperilla,1,https://github.com/vperilla/dotfiles
dotfiles,andrewmcodes,1,https://github.com/andrewmcodes/dotfiles
workspace-base,khashayar,1,https://github.com/khashayar/workspace-base
neovim,dfmgr,1,https://github.com/dfmgr/neovim
Configs,Mnpr,0,https://github.com/Mnpr/Configs
dotfiles,oouxx,0,https://github.com/oouxx/dotfiles
asyncomplete-clang.vim,wsdjeg,0,https://github.com/wsdjeg/asyncomplete-clang.vim
.dotfiles,ll0816,0,https://github.com/ll0816/.dotfiles
dotfiles,takata-daiki,0,https://github.com/takata-daiki/dotfiles
vim-idris,wsdjeg,0,https://github.com/wsdjeg/vim-idris
dotfiles,prokolyvakis,0,https://github.com/prokolyvakis/dotfiles
.spacevim,matthewstrasiotto,0,https://github.com/matthewstrasiotto/.spacevim
dotfiles-home,mamyn0va,0,https://github.com/mamyn0va/dotfiles-home
SpaceVim.d,L-stt,0,https://github.com/L-stt/SpaceVim.d
vim-dlang,wsdjeg,0,https://github.com/wsdjeg/vim-dlang
