Repository Name,Username,Stars,URL
spring-boot,spring-projects,56200,https://github.com/spring-projects/spring-boot
mall,macrozheng,50900,https://github.com/macrozheng/mall
spring-boot-examples,ityouknow,25800,https://github.com/ityouknow/spring-boot-examples
apollo,ctripcorp,25000,https://github.com/ctripcorp/apollo
jeecg-boot,jeecgboot,23800,https://github.com/jeecgboot/jeecg-boot
spring-boot-demo,xkcoding,22600,https://github.com/xkcoding/spring-boot-demo
SpringAll,wuyouzhuguli,20900,https://github.com/wuyouzhuguli/SpringAll
generator-jhipster,jhipster,18600,https://github.com/jhipster/generator-jhipster
litemall,linlinjava,16100,https://github.com/linlinjava/litemall
eladmin,elunez,15900,https://github.com/elunez/eladmin
SpringCloudLearning,forezp,15700,https://github.com/forezp/SpringCloudLearning
SpringBoot-Learning,dyc87112,13300,https://github.com/dyc87112/SpringBoot-Learning
SpringBoot-Labs,YunaiV,11300,https://github.com/YunaiV/SpringBoot-Labs
piggymetrics,sqshq,10400,https://github.com/sqshq/piggymetrics
spring-boot-admin,codecentric,10000,https://github.com/codecentric/spring-boot-admin
vue-admin-beautiful-pro,chuzhixin,9500,https://github.com/chuzhixin/vue-admin-beautiful-pro
cas,apereo,8800,https://github.com/apereo/cas
spring-boot-api-project-seed,lihengming,8800,https://github.com/lihengming/spring-boot-api-project-seed
hsweb-framework,hs-web,7600,https://github.com/hs-web/hsweb-framework
newbee-mall,newbee-ltd,7600,https://github.com/newbee-ltd/newbee-mall
SpringCloud-Learning,dyc87112,6700,https://github.com/dyc87112/SpringCloud-Learning
spring-cloud-examples,ityouknow,5700,https://github.com/ityouknow/spring-cloud-examples
FEBS-Shiro,febsteam,5500,https://github.com/febsteam/FEBS-Shiro
Spring-Cloud-Platform,wxiaoqi,5300,https://github.com/wxiaoqi/Spring-Cloud-Platform
springfox,springfox,5200,https://github.com/springfox/springfox
favorites-web,cloudfavorites,4400,https://github.com/cloudfavorites/favorites-web
spring-cloud-netflix,spring-cloud,4400,https://github.com/spring-cloud/spring-cloud-netflix
Spring-Boot-In-Action,hansonwang99,4000,https://github.com/hansonwang99/Spring-Boot-In-Action
spring-boot-projects,ZHENFENG13,3800,https://github.com/ZHENFENG13/spring-boot-projects
awesome-spring-boot,ityouknow,3800,https://github.com/ityouknow/awesome-spring-boot
conductor,Netflix,3400,https://github.com/Netflix/conductor
zfile,zhaojun1998,3300,https://github.com/zhaojun1998/zfile
xboot,Exrick,3300,https://github.com/Exrick/xboot
Guns,stylefeng,3300,https://github.com/stylefeng/Guns
hope-boot,java-aodeng,3200,https://github.com/java-aodeng/hope-boot
spring-cloud-gateway,spring-cloud,3100,https://github.com/spring-cloud/spring-cloud-gateway
microservices-platform,zlt2000,2900,https://github.com/zlt2000/microservices-platform
jwt-spring-security-demo,szerhusenBC,2800,https://github.com/szerhusenBC/jwt-spring-security-demo
microservices-demo,microservices-demo,2800,https://github.com/microservices-demo/microservices-demo
dynamic-datasource-spring-boot-starter,baomidou,2700,https://github.com/baomidou/dynamic-datasource-spring-boot-starter
spring-cloud-kubernetes,spring-cloud,2700,https://github.com/spring-cloud/spring-cloud-kubernetes
spring-cloud-rest-tcc,prontera,2600,https://github.com/prontera/spring-cloud-rest-tcc
TelegramBots,rubenlagus,2500,https://github.com/rubenlagus/TelegramBots
