Repository Name,Username,Stars,URL
storybook,storybookjs,63300,https://github.com/storybookjs/storybook
nx,nrwl,7700,https://github.com/nrwl/nx
arc,diegohaz,2700,https://github.com/diegohaz/arc
learnstorybook.com,chromaui,2300,https://github.com/chromaui/learnstorybook.com
React95,React95,1600,https://github.com/React95/React95
ReactiveTraderCloud,AdaptiveConsulting,1600,https://github.com/AdaptiveConsulting/ReactiveTraderCloud
jira-clone-angular,trungk18,1600,https://github.com/trungk18/jira-clone-angular
ifme,ifmeorg,1200,https://github.com/ifmeorg/ifme
loki,oblador,1200,https://github.com/oblador/loki
next-boilerplate,pankod,1100,https://github.com/pankod/next-boilerplate
react-atomic-design,danilowoz,1100,https://github.com/danilowoz/react-atomic-design
vue-play,vue-play,974,https://github.com/vue-play/vue-play
storybook-deployer,storybookjs,724,https://github.com/storybookjs/storybook-deployer
figma-html,BuilderIO,606,https://github.com/BuilderIO/figma-html
react-cdk,storybook-eol,585,https://github.com/storybook-eol/react-cdk
react-typescript-web-extension-starter,aeksco,543,https://github.com/aeksco/react-typescript-web-extension-starter
storybook-addon-material-ui,react-theming,530,https://github.com/react-theming/storybook-addon-material-ui
storybook-readme,tuchk4,520,https://github.com/tuchk4/storybook-readme
react-event-timeline,rcdexta,511,https://github.com/rcdexta/react-event-timeline
storybook-addon-designs,pocka,508,https://github.com/pocka/storybook-addon-designs
storycap,reg-viz,481,https://github.com/reg-viz/storycap
ignite-andross,infinitered,474,https://github.com/infinitered/ignite-andross
open-sauced,open-sauced,460,https://github.com/open-sauced/open-sauced
stackoverflow-clone,salihozdemir,455,https://github.com/salihozdemir/stackoverflow-clone
storybook-addon-specifications,mthuret,453,https://github.com/mthuret/storybook-addon-specifications
react-component-library,HarveyD,426,https://github.com/HarveyD/react-component-library
cuke-ui,cuke-ui,413,https://github.com/cuke-ui/cuke-ui
bootcamp-2020,panacloud,404,https://github.com/panacloud/bootcamp-2020
story2sketch,chrisvxd,392,https://github.com/chrisvxd/story2sketch
testing-react,storybookjs,367,https://github.com/storybookjs/testing-react
next.js-typescript-starter-kit,deptno,342,https://github.com/deptno/next.js-typescript-starter-kit
