Repository Name,Username,Stars,URL
erpnext,frappe,9100,https://github.com/frappe/erpnext
zammad,zammad,2700,https://github.com/zammad/zammad
helpy,helpyio,2100,https://github.com/helpyio/helpy
django-helpdesk,django-helpdesk,1200,https://github.com/django-helpdesk/django-helpdesk
freescout,freescout-helpdesk,1100,https://github.com/freescout-helpdesk/freescout
vue-beautiful-chat,mattmezza,1000,https://github.com/mattmezza/vue-beautiful-chat
handesk,BadChoice,1000,https://github.com/BadChoice/handesk
trudesk,polonel,600,https://github.com/polonel/trudesk
adblockfast,rocketshipapps,597,https://github.com/rocketshipapps/adblockfast
rt,bestpractical,593,https://github.com/bestpractical/rt
node-zendesk,blakmatrix,294,https://github.com/blakmatrix/node-zendesk
iOSDeviceSupport,fateshen,237,https://github.com/fateshen/iOSDeviceSupport
dynamic-support,pranavpandey,228,https://github.com/pranavpandey/dynamic-support
docs,system76,227,https://github.com/system76/docs
AndroidResizer,BlitzKraig,195,https://github.com/BlitzKraig/AndroidResizer
Support,ARCANEDEV,170,https://github.com/ARCANEDEV/Support
novosga,novosga,153,https://github.com/novosga/novosga
follow-github-organisation,follow-github-organisation,144,https://github.com/follow-github-organisation/follow-github-organisation
SCOBot,cybercussion,131,https://github.com/cybercussion/SCOBot
tokio-modbus,slowtec,129,https://github.com/slowtec/tokio-modbus
eventum,eventum,124,https://github.com/eventum/eventum
Znuny,znuny,107,https://github.com/znuny/Znuny
selfupdate,yii2tech,92,https://github.com/yii2tech/selfupdate
react-native-zendesk-chat,taskrabbit,90,https://github.com/taskrabbit/react-native-zendesk-chat
risu,risuorg,83,https://github.com/risuorg/risu
telegram-support-bot,ohld,77,https://github.com/ohld/telegram-support-bot
SupportDocs,aheze,74,https://github.com/aheze/SupportDocs
Dayon,RetGal,70,https://github.com/RetGal/Dayon
kchat,php-kchat,67,https://github.com/php-kchat/kchat
browserslist-generator,wessberg,65,https://github.com/wessberg/browserslist-generator
Kommunicate-Android-Chat-SDK,Kommunicate-io,58,https://github.com/Kommunicate-io/Kommunicate-Android-Chat-SDK
DevSummit-presentations,hgonzago,56,https://github.com/hgonzago/DevSummit-presentations
yii2-ticket-support,akiraz2,52,https://github.com/akiraz2/yii2-ticket-support
fusionauth-issues,FusionAuth,52,https://github.com/FusionAuth/fusionauth-issues
orange3-associate,biolab,51,https://github.com/biolab/orange3-associate
cassandra-image,cloudurable,48,https://github.com/cloudurable/cassandra-image
MineVKR,helixd2s,47,https://github.com/helixd2s/MineVKR
support_center,m1guelpf,45,https://github.com/m1guelpf/support_center
knowledge-base-v3,MyEtherWallet,43,https://github.com/MyEtherWallet/knowledge-base-v3
