Repository Name,Username,Stars,URL
symfony,symfony,25600,https://github.com/symfony/symfony
grav,getgrav,12800,https://github.com/getgrav/grav
console,symfony,8800,https://github.com/symfony/console
http-foundation,symfony,7900,https://github.com/symfony/http-foundation
event-dispatcher,symfony,7800,https://github.com/symfony/event-dispatcher
finder,symfony,7700,https://github.com/symfony/finder
http-kernel,symfony,7400,https://github.com/symfony/http-kernel
debug,symfony,7300,https://github.com/symfony/debug
polyfill-mbstring,symfony,7200,https://github.com/symfony/polyfill-mbstring
routing,symfony,7000,https://github.com/symfony/routing
process,symfony,6800,https://github.com/symfony/process
css-selector,symfony,6800,https://github.com/symfony/css-selector
api-platform,api-platform,6800,https://github.com/api-platform/api-platform
var-dumper,symfony,6700,https://github.com/symfony/var-dumper
Sylius,Sylius,6400,https://github.com/Sylius/Sylius
php-pm,php-pm,6300,https://github.com/php-pm/php-pm
translation,symfony,6100,https://github.com/symfony/translation
wallabag,wallabag,6000,https://github.com/wallabag/wallabag
pagekit,pagekit,5400,https://github.com/pagekit/pagekit
bolt,bolt,4100,https://github.com/bolt/bolt
DoctrineBundle,doctrine,4000,https://github.com/doctrine/DoctrineBundle
filesystem,symfony,4000,https://github.com/symfony/filesystem
polyfill-ctype,symfony,3700,https://github.com/symfony/polyfill-ctype
Silex,silexphp,3700,https://github.com/silexphp/Silex
DoctrineMigrationsBundle,doctrine,3600,https://github.com/doctrine/DoctrineMigrationsBundle
flex,symfony,3600,https://github.com/symfony/flex
config,symfony,3500,https://github.com/symfony/config
dependency-injection,symfony,3500,https://github.com/symfony/dependency-injection
cache,symfony,3400,https://github.com/symfony/cache
dom-crawler,symfony,3400,https://github.com/symfony/dom-crawler
EasyAdminBundle,EasyCorp,3300,https://github.com/EasyCorp/EasyAdminBundle
polyfill-php70,symfony,3300,https://github.com/symfony/polyfill-php70
FOSUserBundle,FriendsOfSymfony,3300,https://github.com/FriendsOfSymfony/FOSUserBundle
yaml,symfony,3200,https://github.com/symfony/yaml
dotenv,symfony,3100,https://github.com/symfony/dotenv
SensioFrameworkExtraBundle,sensiolabs,3100,https://github.com/sensiolabs/SensioFrameworkExtraBundle
framework-bundle,symfony,2900,https://github.com/symfony/framework-bundle
contracts,symfony,2800,https://github.com/symfony/contracts
DoctrineCacheBundle,doctrine,2800,https://github.com/doctrine/DoctrineCacheBundle
laravel-zero,laravel-zero,2700,https://github.com/laravel-zero/laravel-zero
doctrine-bridge,symfony,2700,https://github.com/symfony/doctrine-bridge
slugify,cocur,2700,https://github.com/cocur/slugify
asset,symfony,2600,https://github.com/symfony/asset
options-resolver,symfony,2600,https://github.com/symfony/options-resolver
FOSRestBundle,FriendsOfSymfony,2600,https://github.com/FriendsOfSymfony/FOSRestBundle
event-dispatcher-contracts,symfony,2500,https://github.com/symfony/event-dispatcher-contracts
monolog-bundle,symfony,2400,https://github.com/symfony/monolog-bundle
browser-kit,symfony,2400,https://github.com/symfony/browser-kit
panther,symfony,2400,https://github.com/symfony/panther
expression-language,symfony,2300,https://github.com/symfony/expression-language
form,symfony,2300,https://github.com/symfony/form
stopwatch,symfony,2300,https://github.com/symfony/stopwatch
property-access,symfony,2300,https://github.com/symfony/property-access
alice,nelmio,2200,https://github.com/nelmio/alice
intl,symfony,2200,https://github.com/symfony/intl
inflector,symfony,2200,https://github.com/symfony/inflector
polyfill-intl-icu,symfony,2200,https://github.com/symfony/polyfill-intl-icu
drush,drush-ops,2200,https://github.com/drush-ops/drush
monolog-bridge,symfony,2200,https://github.com/symfony/monolog-bridge
validator,symfony,2100,https://github.com/symfony/validator
HWIOAuthBundle,hwi,2100,https://github.com/hwi/HWIOAuthBundle
DoctrineFixturesBundle,doctrine,2100,https://github.com/doctrine/DoctrineFixturesBundle
twig-bridge,symfony,2100,https://github.com/symfony/twig-bridge
phpunit-bridge,symfony,2100,https://github.com/symfony/phpunit-bridge
easy-log-handler,EasyCorp,2100,https://github.com/EasyCorp/easy-log-handler
LexikJWTAuthenticationBundle,lexik,2100,https://github.com/lexik/LexikJWTAuthenticationBundle
twig-bundle,symfony,2100,https://github.com/symfony/twig-bundle
mime,symfony,2100,https://github.com/symfony/mime
security-bundle,symfony,2000,https://github.com/symfony/security-bundle
demo,symfony,2000,https://github.com/symfony/demo
SonataAdminBundle,sonata-project,2000,https://github.com/sonata-project/SonataAdminBundle
polyfill-php73,symfony,2000,https://github.com/symfony/polyfill-php73
NelmioApiDocBundle,nelmio,2000,https://github.com/nelmio/NelmioApiDocBundle
serializer,symfony,1900,https://github.com/symfony/serializer
debug-bundle,symfony,1900,https://github.com/symfony/debug-bundle
enqueue-dev,php-enqueue,1900,https://github.com/php-enqueue/enqueue-dev
webpack-encore,symfony,1900,https://github.com/symfony/webpack-encore
core,api-platform,1900,https://github.com/api-platform/core
symfony-docs,symfony,1900,https://github.com/symfony/symfony-docs
orm-pack,symfony,1900,https://github.com/symfony/orm-pack
personal-management-system,Volmarg,1800,https://github.com/Volmarg/personal-management-system
web-profiler-bundle,symfony,1800,https://github.com/symfony/web-profiler-bundle
translation-contracts,symfony,1800,https://github.com/symfony/translation-contracts
service-contracts,symfony,1800,https://github.com/symfony/service-contracts
php-ddd-example,CodelyTV,1800,https://github.com/CodelyTV/php-ddd-example
profiler-pack,symfony,1800,https://github.com/symfony/profiler-pack
StofDoctrineExtensionsBundle,stof,1700,https://github.com/stof/StofDoctrineExtensionsBundle
property-info,symfony,1700,https://github.com/symfony/property-info
error-handler,symfony,1600,https://github.com/symfony/error-handler
cache-contracts,symfony,1600,https://github.com/symfony/cache-contracts
polyfill-iconv,symfony,1600,https://github.com/symfony/polyfill-iconv
backup-manager,backup-manager,1600,https://github.com/backup-manager/backup-manager
VichUploaderBundle,dustin10,1600,https://github.com/dustin10/VichUploaderBundle
swiftmailer-bundle,symfony,1500,https://github.com/symfony/swiftmailer-bundle
polyfill,symfony,1500,https://github.com/symfony/polyfill
NelmioCorsBundle,nelmio,1500,https://github.com/nelmio/NelmioCorsBundle
symfony-standard,symfony,1500,https://github.com/symfony/symfony-standard
debug-pack,symfony,1500,https://github.com/symfony/debug-pack
var-exporter,symfony,1500,https://github.com/symfony/var-exporter
KnpPaginatorBundle,KnpLabs,1500,https://github.com/KnpLabs/KnpPaginatorBundle
LiipImagineBundle,liip,1500,https://github.com/liip/LiipImagineBundle
polyfill-php56,symfony,1500,https://github.com/symfony/polyfill-php56
platform,shopware,1400,https://github.com/shopware/platform
FOSJsRoutingBundle,FriendsOfSymfony,1400,https://github.com/FriendsOfSymfony/FOSJsRoutingBundle
polyfill-util,symfony,1400,https://github.com/symfony/polyfill-util
security-core,symfony,1300,https://github.com/symfony/security-core
kimai2,kevinpapst,1300,https://github.com/kevinpapst/kimai2
docker-symfony,maxpou,1300,https://github.com/maxpou/docker-symfony
http-client,symfony,1300,https://github.com/symfony/http-client
security-csrf,symfony,1300,https://github.com/symfony/security-csrf
web-server-bundle,symfony,1300,https://github.com/symfony/web-server-bundle
