Repository Name,Username,Stars,URL
tqdm,tqdm,18800,https://github.com/tqdm/tqdm
Telegram,DrKLO,17300,https://github.com/DrKLO/Telegram
tdesktop,telegramdesktop,16000,https://github.com/telegramdesktop/tdesktop
python-telegram-bot,python-telegram-bot,15800,https://github.com/python-telegram-bot/python-telegram-bot
webogram,zhukov,7400,https://github.com/zhukov/webogram
community-edition,ramboxapp,6000,https://github.com/ramboxapp/community-edition
chat,tinode,5500,https://github.com/tinode/chat
node-telegram-bot-api,yagop,5400,https://github.com/yagop/node-telegram-bot-api
alerts-and-pickers,dillidon,5200,https://github.com/dillidon/alerts-and-pickers
Telethon,LonamiWebs,5100,https://github.com/LonamiWebs/Telethon
telegraf,telegraf,4800,https://github.com/telegraf/telegraf
pyTelegramBotAPI,eternnoir,4400,https://github.com/eternnoir/pyTelegramBotAPI
Messenger,relatedcode,4200,https://github.com/relatedcode/Messenger
matterbridge,42wim,4100,https://github.com/42wim/matterbridge
franz,meetfranz,4000,https://github.com/meetfranz/franz
PokemonGo-Bot,PokemonGoF,3700,https://github.com/PokemonGoF/PokemonGo-Bot
bottender,Yoctol,3700,https://github.com/Yoctol/bottender
td,tdlib,3700,https://github.com/tdlib/td
libretaxi,ro31337,3700,https://github.com/ro31337/libretaxi
telegram-list,goq,3100,https://github.com/goq/telegram-list
ClashDotNetFramework,ClashDotNetFramework,3100,https://github.com/ClashDotNetFramework/ClashDotNetFramework
ferdi,getferdi,3000,https://github.com/getferdi/ferdi
telegram-bot-api,go-telegram-bot-api,2900,https://github.com/go-telegram-bot-api/telegram-bot-api
core,php-telegram-bot,2700,https://github.com/php-telegram-bot/core
TelegramBots,rubenlagus,2500,https://github.com/rubenlagus/TelegramBots
telepot,nickoala,2400,https://github.com/nickoala/telepot
telegram-bot-sdk,irazasyed,2100,https://github.com/irazasyed/telegram-bot-sdk
pyrogram,pyrogram,1900,https://github.com/pyrogram/pyrogram
Telegram.Bot,TelegramBots,1800,https://github.com/TelegramBots/Telegram.Bot
claudia-bot-builder,claudiajs,1700,https://github.com/claudiajs/claudia-bot-builder
messaging-apis,Yoctol,1700,https://github.com/Yoctol/messaging-apis
sharer.js,ellisonleao,1600,https://github.com/ellisonleao/sharer.js
MadelineProto,danog,1600,https://github.com/danog/MadelineProto
Unigram,UnigramDev,1600,https://github.com/UnigramDev/Unigram
telegram-react,evgeny-nadymov,1600,https://github.com/evgeny-nadymov/telegram-react
integram,requilence,1400,https://github.com/requilence/integram
TelegramGallery,TangXiaoLv,1300,https://github.com/TangXiaoLv/TelegramGallery
Telegram-Anti-Revoke,SpriteOvO,1200,https://github.com/SpriteOvO/Telegram-Anti-Revoke
telebot,mullwar,1200,https://github.com/mullwar/telebot
TelegramGroup,itgoyo,1200,https://github.com/itgoyo/TelegramGroup
intergram,idoco,1100,https://github.com/idoco/intergram
mtg,9seconds,1100,https://github.com/9seconds/mtg
telegram-bot-ruby,atipugin,1100,https://github.com/atipugin/telegram-bot-ruby
mtprotoproxy,alexbers,1100,https://github.com/alexbers/mtprotoproxy
rssbot,iovxw,1000,https://github.com/iovxw/rssbot
mailgo,manzinello,986,https://github.com/manzinello/mailgo
inventory-hunter,EricJMarti,959,https://github.com/EricJMarti/inventory-hunter
OctoBot,Drakkar-Software,945,https://github.com/Drakkar-Software/OctoBot
TLSharp,sochix,943,https://github.com/sochix/TLSharp
ALL-about-RSS,AboutRSS,908,https://github.com/AboutRSS/ALL-about-RSS
java-telegram-bot-api,pengrad,901,https://github.com/pengrad/java-telegram-bot-api
diun,crazy-max,900,https://github.com/crazy-max/diun
notify,nikoksr,860,https://github.com/nikoksr/notify
telegram-sms,telegram-sms,833,https://github.com/telegram-sms/telegram-sms
Chatistics,MasterScrat,825,https://github.com/MasterScrat/Chatistics
flowerss-bot,indes,808,https://github.com/indes/flowerss-bot
informer,paulpierre,805,https://github.com/paulpierre/informer
teloxide,teloxide,752,https://github.com/teloxide/teloxide
NekoX,NekoX-Dev,743,https://github.com/NekoX-Dev/NekoX
Zabbix-in-Telegram,ableev,729,https://github.com/ableev/Zabbix-in-Telegram
DarkNet_ChineseTrading,s045pd,726,https://github.com/s045pd/DarkNet_ChineseTrading
integrations,broidHQ,725,https://github.com/broidHQ/integrations
telegram-bot,telegram-rs,713,https://github.com/telegram-rs/telegram-bot
aiva,kengz,705,https://github.com/kengz/aiva
algobot,ZENALC,675,https://github.com/ZENALC/algobot
telegram-api,unreal4u,656,https://github.com/unreal4u/telegram-api
TelegramTUI,vtr0n,655,https://github.com/vtr0n/TelegramTUI
mtproto,xelaj,634,https://github.com/xelaj/mtproto
telegramd,nebula-chat,626,https://github.com/nebula-chat/telegramd
Universal-Arduino-Telegram-Bot,witnessmenow,623,https://github.com/witnessmenow/Universal-Arduino-Telegram-Bot
chatengine,nebula-chat,616,https://github.com/nebula-chat/chatengine
telega.el,zevlg,594,https://github.com/zevlg/telega.el
telegram-history-dump,tvdstaaij,587,https://github.com/tvdstaaij/telegram-history-dump
telegram-send,rahiel,573,https://github.com/rahiel/telegram-send
awesome-telegram,ebertti,557,https://github.com/ebertti/awesome-telegram
telegram-mtproto,zerobias,551,https://github.com/zerobias/telegram-mtproto
mautrix-telegram,tulir,550,https://github.com/tulir/mautrix-telegram
