Repository Name,Username,Stars,URL
tensorflow,tensorflow,157000,https://github.com/tensorflow/tensorflow
keras,keras-team,51900,https://github.com/keras-team/keras
transformers,huggingface,48500,https://github.com/huggingface/transformers
TensorFlow-Examples,aymericdamien,40900,https://github.com/aymericdamien/TensorFlow-Examples
gold-miner,xitu,29200,https://github.com/xitu/gold-miner
bert,google-research,28500,https://github.com/google-research/bert
Real-Time-Voice-Cloning,CorentinJ,27900,https://github.com/CorentinJ/Real-Time-Voice-Cloning
handson-ml,ageron,23100,https://github.com/ageron/handson-ml
data-science-ipython-notebooks,donnemartin,21300,https://github.com/donnemartin/data-science-ipython-notebooks
Mask_RCNN,matterport,20300,https://github.com/matterport/Mask_RCNN
DeepSpeech,mozilla,17700,https://github.com/mozilla/DeepSpeech
spleeter,deezer,16900,https://github.com/deezer/spleeter
100-Days-Of-ML-Code,MLEveryday,16500,https://github.com/MLEveryday/100-Days-Of-ML-Code
TensorFlow-Course,instillai,15600,https://github.com/instillai/TensorFlow-Course
photoprism,photoprism,15400,https://github.com/photoprism/photoprism
netron,lutzroeder,15100,https://github.com/lutzroeder/netron
Virgilio,virgili0,13100,https://github.com/virgili0/Virgilio
face-api.js,justadudewhohacks,12600,https://github.com/justadudewhohacks/face-api.js
ncnn,Tencent,12100,https://github.com/Tencent/ncnn
facenet,davidsandberg,11900,https://github.com/davidsandberg/facenet
Deep-Learning-with-TensorFlow-book,dragen1860,11700,https://github.com/dragen1860/Deep-Learning-with-TensorFlow-book
horovod,horovod,11400,https://github.com/horovod/horovod
onnx,onnx,10900,https://github.com/onnx/onnx
kubeflow,kubeflow,10500,https://github.com/kubeflow/kubeflow
d2l-en,d2l-ai,10400,https://github.com/d2l-ai/d2l-en
stanford-tensorflow-tutorials,chiphuyen,10000,https://github.com/chiphuyen/stanford-tensorflow-tutorials
nni,microsoft,9900,https://github.com/microsoft/nni
tflearn,tflearn,9600,https://github.com/tflearn/tflearn
dopamine,google,9500,https://github.com/google/dopamine
bert-as-service,hanxiao,9400,https://github.com/hanxiao/bert-as-service
tutorials,MorvanZhou,9300,https://github.com/MorvanZhou/tutorials
nlp-tutorial,graykode,9000,https://github.com/graykode/nlp-tutorial
sonnet,deepmind,8900,https://github.com/deepmind/sonnet
faceai,vipstone,8800,https://github.com/vipstone/faceai
TensorFlow-Tutorials,Hvass-Labs,8800,https://github.com/Hvass-Labs/TensorFlow-Tutorials
eat_tensorflow2_in_30_days,lyhue1991,8800,https://github.com/lyhue1991/eat_tensorflow2_in_30_days
EffectiveTensorflow,vahidk,8700,https://github.com/vahidk/EffectiveTensorflow
mit-deep-learning,lexfridman,8700,https://github.com/lexfridman/mit-deep-learning
datasets,huggingface,8600,https://github.com/huggingface/datasets
autokeras,keras-team,8100,https://github.com/keras-team/autokeras
text_classification,brightmart,7000,https://github.com/brightmart/text_classification
DCGAN-tensorflow,carpedm20,6900,https://github.com/carpedm20/DCGAN-tensorflow
tensorlayer,tensorlayer,6700,https://github.com/tensorlayer/tensorlayer
generative-models,wiseodd,6600,https://github.com/wiseodd/generative-models
python-machine-learning-book-2nd-edition,rasbt,6300,https://github.com/rasbt/python-machine-learning-book-2nd-edition
python-small-examples,jackzhenguo,6200,https://github.com/jackzhenguo/python-small-examples
tensorpack,tensorpack,6000,https://github.com/tensorpack/tensorpack
deepo,ufoym,6000,https://github.com/ufoym/deepo
swift,tensorflow,6000,https://github.com/tensorflow/swift
TensorFlow-2.x-Tutorials,dragen1860,6000,https://github.com/dragen1860/TensorFlow-2.x-Tutorials
tensorflow_cookbook,nfmcclure,5900,https://github.com/nfmcclure/tensorflow_cookbook
darkflow,thtrieu,5900,https://github.com/thtrieu/darkflow
cvat,openvinotoolkit,5800,https://github.com/openvinotoolkit/cvat
xlnet,zihangdai,5700,https://github.com/zihangdai/xlnet
Chinese-BERT-wwm,ymcui,5600,https://github.com/ymcui/Chinese-BERT-wwm
best-of-ml-python,ml-tooling,5500,https://github.com/ml-tooling/best-of-ml-python
DeepLearning,Mikoto10032,5400,https://github.com/Mikoto10032/DeepLearning
seq2seq,google,5400,https://github.com/google/seq2seq
MMdnn,microsoft,5400,https://github.com/microsoft/MMdnn
DeepPavlov,deepmipt,5300,https://github.com/deepmipt/DeepPavlov
TopDeepLearning,aymericdamien,5300,https://github.com/aymericdamien/TopDeepLearning
alluxio,Alluxio,5200,https://github.com/Alluxio/alluxio
examples,tensorflow,5100,https://github.com/tensorflow/examples
serving,tensorflow,5100,https://github.com/tensorflow/serving
keras-rl,keras-rl,5100,https://github.com/keras-rl/keras-rl
Learning-to-See-in-the-Dark,cchen156,5100,https://github.com/cchen156/Learning-to-See-in-the-Dark
graph_nets,deepmind,4900,https://github.com/deepmind/graph_nets
onnxruntime,microsoft,4900,https://github.com/microsoft/onnxruntime
keras-js,transcranial,4800,https://github.com/transcranial/keras-js
Open3D,intel-isl,4800,https://github.com/intel-isl/Open3D
introtodeeplearning,aamini,4700,https://github.com/aamini/introtodeeplearning
docs,tensorflow,4700,https://github.com/tensorflow/docs
edward,blei-lab,4600,https://github.com/blei-lab/edward
Practical_RL,yandexdataschool,4600,https://github.com/yandexdataschool/Practical_RL
TensorFlow-World,astorfi,4500,https://github.com/astorfi/TensorFlow-World
sketch-code,ashnkumar,4500,https://github.com/ashnkumar/sketch-code
textgenrnn,minimaxir,4500,https://github.com/minimaxir/textgenrnn
tensorspace,tensorspace-team,4400,https://github.com/tensorspace-team/tensorspace
TensorFlow-Book,BinRoot,4400,https://github.com/BinRoot/TensorFlow-Book
ASRT_SpeechRecognition,nl8590687,4300,https://github.com/nl8590687/ASRT_SpeechRecognition
lucid,tensorflow,4200,https://github.com/tensorflow/lucid
DeepLearningZeroToAll,hunkim,4200,https://github.com/hunkim/DeepLearningZeroToAll
gocv,hybridgroup,4100,https://github.com/hybridgroup/gocv
pipeline,PipelineAI,4100,https://github.com/PipelineAI/pipeline
Tensorflow-Tutorial,MorvanZhou,4100,https://github.com/MorvanZhou/Tensorflow-Tutorial
SSD-Tensorflow,balancap,4000,https://github.com/balancap/SSD-Tensorflow
HyperLPR,szad670401,4000,https://github.com/szad670401/HyperLPR
mindsdb,mindsdb,3800,https://github.com/mindsdb/mindsdb
pyprobml,probml,3800,https://github.com/probml/pyprobml
tensorflow-docs,xitu,3800,https://github.com/xitu/tensorflow-docs
CapsNet-Tensorflow,naturomics,3800,https://github.com/naturomics/CapsNet-Tensorflow
tensorflow-generative-model-collections,hwalsuklee,3800,https://github.com/hwalsuklee/tensorflow-generative-model-collections
t81_558_deep_learning,jeffheaton,3800,https://github.com/jeffheaton/t81_558_deep_learning
TensorFlowOnSpark,yahoo,3700,https://github.com/yahoo/TensorFlowOnSpark
imagededup,idealo,3700,https://github.com/idealo/imagededup
Ai-Learn,tangyudi,3700,https://github.com/tangyudi/Ai-Learn
SmartCropper,pqpo,3600,https://github.com/pqpo/SmartCropper
tf-faster-rcnn,endernewton,3600,https://github.com/endernewton/tf-faster-rcnn
vespa,vespa-engine,3600,https://github.com/vespa-engine/vespa
hands-on-ml-zh,apachecn,3500,https://github.com/apachecn/hands-on-ml-zh
text-classification-cnn-rnn,gaussic,3500,https://github.com/gaussic/text-classification-cnn-rnn
Tensorflow-Project-Template,MrGemy95,3400,https://github.com/MrGemy95/Tensorflow-Project-Template
tensorflow-yolov3,YunYang1994,3400,https://github.com/YunYang1994/tensorflow-yolov3
probability,tensorflow,3400,https://github.com/tensorflow/probability
tensorflow_poems,jinfagang,3400,https://github.com/jinfagang/tensorflow_poems
albert_zh,brightmart,3300,https://github.com/brightmart/albert_zh
tensorflow-windows-wheel,fo40225,3300,https://github.com/fo40225/tensorflow-windows-wheel
Hub,activeloopai,3300,https://github.com/activeloopai/Hub
einops,arogozhnikov,3300,https://github.com/arogozhnikov/einops
segmentation_models,qubvel,3300,https://github.com/qubvel/segmentation_models
pointnet,charlesq34,3300,https://github.com/charlesq34/pointnet
adanet,tensorflow,3300,https://github.com/tensorflow/adanet
text-detection-ctpn,eragonruan,3200,https://github.com/eragonruan/text-detection-ctpn
rust,tensorflow,3200,https://github.com/tensorflow/rust
client,wandb,3100,https://github.com/wandb/client
Deep_reinforcement_learning_Course,simoninithomas,3100,https://github.com/simoninithomas/Deep_reinforcement_learning_Course
FastMaskRCNN,CharlesShang,3100,https://github.com/CharlesShang/FastMaskRCNN
Tengine,OAID,3000,https://github.com/OAID/Tengine
TensorFlowSharp,migueldeicaza,3000,https://github.com/migueldeicaza/TensorFlowSharp
tensorforce,tensorforce,3000,https://github.com/tensorforce/tensorforce
