Repository Name,Username,Stars,URL
ohmyzsh,ohmyzsh,130000,https://github.com/ohmyzsh/ohmyzsh
terminal,microsoft,75400,https://github.com/microsoft/terminal
httpie,httpie,51400,https://github.com/httpie/httpie
hyper,vercel,36200,https://github.com/vercel/hyper
tldr,tldr-pages,33600,https://github.com/tldr-pages/tldr
alacritty,alacritty,33500,https://github.com/alacritty/alacritty
edex-ui,GitSquared,33100,https://github.com/GitSquared/edex-ui
bat,sharkdp,28100,https://github.com/sharkdp/bat
rich,willmcgugan,27500,https://github.com/willmcgugan/rich
cheat.sh,chubin,26400,https://github.com/chubin/cheat.sh
awesome-macos-command-line,herrbischoff,25400,https://github.com/herrbischoff/awesome-macos-command-line
lazygit,jesseduffield,20400,https://github.com/jesseduffield/lazygit
iTerm2-Color-Schemes,mbadolato,20000,https://github.com/mbadolato/iTerm2-Color-Schemes
upterm,railsware,19500,https://github.com/railsware/upterm
tqdm,tqdm,18800,https://github.com/tqdm/tqdm
glances,nicolargo,18800,https://github.com/nicolargo/glances
tabby,Eugeny,18500,https://github.com/Eugeny/tabby
fd,sharkdp,18000,https://github.com/sharkdp/fd
micro,zyedidia,17200,https://github.com/zyedidia/micro
chalk,chalk,16700,https://github.com/chalk/chalk
jumpserver,jumpserver,16400,https://github.com/jumpserver/jumpserver
dracula-theme,dracula,16000,https://github.com/dracula/dracula-theme
gotty,yudai,15600,https://github.com/yudai/gotty
wttr.in,chubin,14900,https://github.com/chubin/wttr.in
cool-retro-term,Swordfish90,14800,https://github.com/Swordfish90/cool-retro-term
spaceship-prompt,spaceship-prompt,14800,https://github.com/spaceship-prompt/spaceship-prompt
.tmux,gpakosz,14500,https://github.com/gpakosz/.tmux
goaccess,allinurl,13400,https://github.com/allinurl/goaccess
powerlevel9k,Powerlevel9k,13200,https://github.com/Powerlevel9k/powerlevel9k
wtf,wtfutil,12600,https://github.com/wtfutil/wtf
bash-it,Bash-it,12400,https://github.com/Bash-it/bash-it
nnn,jarun,11800,https://github.com/jarun/nnn
modern-unix,ibraheemdev,11700,https://github.com/ibraheemdev/modern-unix
terminalizer,faressoft,11700,https://github.com/faressoft/terminalizer
xterm.js,xtermjs,10700,https://github.com/xtermjs/xterm.js
pure,sindresorhus,10400,https://github.com/sindresorhus/pure
terminals-are-sexy,k4m4,10000,https://github.com/k4m4/terminals-are-sexy
awesome-hyper,bnb,9500,https://github.com/bnb/awesome-hyper
navi,denisidoro,9400,https://github.com/denisidoro/navi
asciinema,asciinema,9400,https://github.com/asciinema/asciinema
termtosvg,nbedos,9200,https://github.com/nbedos/termtosvg
sampler,sqshq,9000,https://github.com/sqshq/sampler
spotify-tui,Rigellute,8800,https://github.com/Rigellute/spotify-tui
termux-app,termux,8200,https://github.com/termux/termux-app
http-prompt,httpie,8200,https://github.com/httpie/http-prompt
hyperfine,sharkdp,8200,https://github.com/sharkdp/hyperfine
google-images-download,hardikvasa,7600,https://github.com/hardikvasa/google-images-download
gdb-dashboard,cyrus-and,7500,https://github.com/cyrus-and/gdb-dashboard
ConEmu,Maximus5,7400,https://github.com/Maximus5/ConEmu
