Repository Name,Username,Stars,URL
terraform,hashicorp,27900,https://github.com/hashicorp/terraform
devops-exercises,bregman-arie,11900,https://github.com/bregman-arie/devops-exercises
terraform-provider-aws,hashicorp,6000,https://github.com/hashicorp/terraform-provider-aws
terratest,gruntwork-io,5400,https://github.com/gruntwork-io/terratest
terraformer,GoogleCloudPlatform,5100,https://github.com/GoogleCloudPlatform/terraformer
terragrunt,gruntwork-io,5100,https://github.com/gruntwork-io/terragrunt
guide,hobby-kube,5000,https://github.com/hobby-kube/guide
terraforming,dtan4,4100,https://github.com/dtan4/terraforming
atlantis,runatlantis,3800,https://github.com/runatlantis/atlantis
KubeOperator,KubeOperator,3600,https://github.com/KubeOperator/KubeOperator
docker-android,budtmo,3500,https://github.com/budtmo/docker-android
infracost,infracost,3400,https://github.com/infracost/infracost
engine,Qovery,3100,https://github.com/Qovery/engine
tfsec,aquasecurity,2900,https://github.com/aquasecurity/tfsec
checkov,bridgecrewio,2900,https://github.com/bridgecrewio/checkov
DetectionLab,clong,2900,https://github.com/clong/DetectionLab
terraform-provider-azurerm,terraform-providers,2700,https://github.com/terraform-providers/terraform-provider-azurerm
streamalert,airbnb,2600,https://github.com/airbnb/streamalert
tflint,terraform-linters,2400,https://github.com/terraform-linters/tflint
tfenv,tfutils,2400,https://github.com/tfutils/tfenv
terraform-cdk,hashicorp,2300,https://github.com/hashicorp/terraform-cdk
awesome-terraform,shuaibiyy,2300,https://github.com/shuaibiyy/awesome-terraform
terraform-docs,terraform-docs,2200,https://github.com/terraform-docs/terraform-docs
terraform-aws-eks,terraform-aws-modules,2100,https://github.com/terraform-aws-modules/terraform-aws-eks
dependabot-core,dependabot,2000,https://github.com/dependabot/dependabot-core
terrascan,accurics,1900,https://github.com/accurics/terrascan
infrastructure-as-code-tutorial,Artemmkin,1900,https://github.com/Artemmkin/infrastructure-as-code-tutorial
terraform-up-and-running-code,brikis98,1600,https://github.com/brikis98/terraform-up-and-running-code
terraform-inventory,adammck,1500,https://github.com/adammck/terraform-inventory
driftctl,cloudskiff,1500,https://github.com/cloudskiff/driftctl
blast-radius,28mm,1400,https://github.com/28mm/blast-radius
typhoon,poseidon,1400,https://github.com/poseidon/typhoon
kapitan,kapicorp,1400,https://github.com/kapicorp/kapitan
terraform-provider-google,hashicorp,1400,https://github.com/hashicorp/terraform-provider-google
terraboard,camptocamp,1300,https://github.com/camptocamp/terraboard
terraform-landscape,coinbase,1300,https://github.com/coinbase/terraform-landscape
learning-tools,scottslowe,1300,https://github.com/scottslowe/learning-tools
wild-workouts-go-ddd-example,ThreeDotsLabs,1300,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example
deckdeckgo,deckgo,1200,https://github.com/deckgo/deckdeckgo
AWSConsoleRecorder,iann0036,1200,https://github.com/iann0036/AWSConsoleRecorder
binaryalert,airbnb,1200,https://github.com/airbnb/binaryalert
pre-commit-terraform,antonbabenko,1100,https://github.com/antonbabenko/pre-commit-terraform
lambda-the-terraform-way,nsriram,1100,https://github.com/nsriram/lambda-the-terraform-way
terraform-best-practices,ozbillwang,1100,https://github.com/ozbillwang/terraform-best-practices
terraform-best-practices,antonbabenko,1000,https://github.com/antonbabenko/terraform-best-practices
cli,terraform-compliance,1000,https://github.com/terraform-compliance/cli
kitchen-terraform,newcontext-oss,1000,https://github.com/newcontext-oss/kitchen-terraform
terraform-provider-kubernetes,hashicorp,981,https://github.com/hashicorp/terraform-provider-kubernetes
terraform-provider-libvirt,dmacvicar,978,https://github.com/dmacvicar/terraform-provider-libvirt
former2,iann0036,920,https://github.com/iann0036/former2
terraform-provider-helm,hashicorp,743,https://github.com/hashicorp/terraform-provider-helm
cloudformation-guard,aws-cloudformation,742,https://github.com/aws-cloudformation/cloudformation-guard
vim-terraform,hashivim,721,https://github.com/hashivim/vim-terraform
vscode-terraform,hashicorp,698,https://github.com/hashicorp/vscode-terraform
terraform-aws-secure-baseline,nozaq,693,https://github.com/nozaq/terraform-aws-secure-baseline
Red-Baron,Coalfire-Research,693,https://github.com/Coalfire-Research/Red-Baron
terraform-ecs,arminc,692,https://github.com/arminc/terraform-ecs
geodesic,cloudposse,666,https://github.com/cloudposse/geodesic
terraform-switcher,warrensbox,665,https://github.com/warrensbox/terraform-switcher
terracognita,cycloidio,639,https://github.com/cycloidio/terracognita
atlantis,hootsuite,626,https://github.com/hootsuite/atlantis
awsls,jckuester,622,https://github.com/jckuester/awsls
intro-to-terraform,gruntwork-io,609,https://github.com/gruntwork-io/intro-to-terraform
tectonic-installer,coreos,599,https://github.com/coreos/tectonic-installer
aws,swoodford,556,https://github.com/swoodford/aws
bedrock,microsoft,552,https://github.com/microsoft/bedrock
k2tf,sl1pm4t,550,https://github.com/sl1pm4t/k2tf
terraform-provisioner-ansible,radekg,542,https://github.com/radekg/terraform-provisioner-ansible
terragoat,bridgecrewio,531,https://github.com/bridgecrewio/terragoat
inframap,cycloidio,530,https://github.com/cycloidio/inframap
infrastructure-as-code-talk,brikis98,529,https://github.com/brikis98/infrastructure-as-code-talk
rattlesnakeos-stack,dan-v,511,https://github.com/dan-v/rattlesnakeos-stack
terraform-provider-kubernetes-alpha,hashicorp,504,https://github.com/hashicorp/terraform-provider-kubernetes-alpha
terraform-ls,hashicorp,486,https://github.com/hashicorp/terraform-ls
terraform-lsp,juliosueiras,481,https://github.com/juliosueiras/terraform-lsp
vault-on-gke,sethvargo,465,https://github.com/sethvargo/vault-on-gke
terraform-aws-github-runner,philips-labs,463,https://github.com/philips-labs/terraform-aws-github-runner
tads-boilerplate,thomvaill,463,https://github.com/thomvaill/tads-boilerplate
terraform-cost-estimation,antonbabenko,448,https://github.com/antonbabenko/terraform-cost-estimation
terratag,env0,438,https://github.com/env0/terratag
terraform-provider-oci,terraform-providers,428,https://github.com/terraform-providers/terraform-provider-oci
horusec,ZupIT,423,https://github.com/ZupIT/horusec
vscodethemes,jschr,420,https://github.com/jschr/vscodethemes
serverless-libreoffice,vladgolubev,418,https://github.com/vladgolubev/serverless-libreoffice
terraform-provider-vsphere,hashicorp,416,https://github.com/hashicorp/terraform-provider-vsphere
caf-terraform-landingzones,Azure,414,https://github.com/Azure/caf-terraform-landingzones
pipe,pipe-cd,405,https://github.com/pipe-cd/pipe
tfnotify,mercari,404,https://github.com/mercari/tfnotify
aws-eks-base,maddevsio,388,https://github.com/maddevsio/aws-eks-base
magic-modules,GoogleCloudPlatform,381,https://github.com/GoogleCloudPlatform/magic-modules
terraform-provider-alicloud,aliyun,369,https://github.com/aliyun/terraform-provider-alicloud
terraform-null-label,cloudposse,363,https://github.com/cloudposse/terraform-null-label
AirIAM,bridgecrewio,363,https://github.com/bridgecrewio/AirIAM
awsweeper,jckuester,361,https://github.com/jckuester/awsweeper
iam-policy-json-to-terraform,flosell,352,https://github.com/flosell/iam-policy-json-to-terraform
terraform-kubestack,kbst,350,https://github.com/kbst/terraform-kubestack
kubeCDN,ilhaan,344,https://github.com/ilhaan/kubeCDN
terraform-provider-github,integrations,342,https://github.com/integrations/terraform-provider-github
TKS,zimmertr,342,https://github.com/zimmertr/TKS
cloudblock,chadgeary,328,https://github.com/chadgeary/cloudblock
terragrunt-infrastructure-live-example,gruntwork-io,327,https://github.com/gruntwork-io/terragrunt-infrastructure-live-example
kubernetes-digitalocean-terraform,kubernetes-digitalocean-terraform,324,https://github.com/kubernetes-digitalocean-terraform/kubernetes-digitalocean-terraform
python-terraform,beelit94,322,https://github.com/beelit94/python-terraform
terraform-provider-digitalocean,digitalocean,321,https://github.com/digitalocean/terraform-provider-digitalocean
terraform-aws-gitlab-runner,npalm,320,https://github.com/npalm/terraform-aws-gitlab-runner
ElectricEye,jonrau1,320,https://github.com/jonrau1/ElectricEye
terraform-ecs-fargate,turnerlabs,314,https://github.com/turnerlabs/terraform-ecs-fargate
elasticsearch-cloud-deploy,BigDataBoutique,313,https://github.com/BigDataBoutique/elasticsearch-cloud-deploy
cf-to-tf,humanmade,308,https://github.com/humanmade/cf-to-tf
terraform-examples,futurice,305,https://github.com/futurice/terraform-examples
tfmigrate,minamijoyo,298,https://github.com/minamijoyo/tfmigrate
terraform-aws-eks-cluster,cloudposse,296,https://github.com/cloudposse/terraform-aws-eks-cluster
yor,bridgecrewio,293,https://github.com/bridgecrewio/yor
Red-Baron,byt3bl33d3r,292,https://github.com/byt3bl33d3r/Red-Baron
terraform-provider-kafka,Mongey,292,https://github.com/Mongey/terraform-provider-kafka
serverless-rules,awslabs,291,https://github.com/awslabs/serverless-rules
KubeNow,kubenow,287,https://github.com/kubenow/KubeNow
vim-terraform-completion,juliosueiras,286,https://github.com/juliosueiras/vim-terraform-completion
infrastructure-as-code-training,gruntwork-io,285,https://github.com/gruntwork-io/infrastructure-as-code-training
terraform-provider-ansible,nbering,283,https://github.com/nbering/terraform-provider-ansible
