Repository Name,Username,Stars,URL
julia,JuliaLang,34300,https://github.com/JuliaLang/julia
dash,plotly,14800,https://github.com/plotly/dash
papermill,nteract,4200,https://github.com/nteract/papermill
Pluto.jl,fonsp,3000,https://github.com/fonsp/Pluto.jl
DifferentialEquations.jl,SciML,1800,https://github.com/SciML/DifferentialEquations.jl
ESL-CN,szcf-weiya,1700,https://github.com/szcf-weiya/ESL-CN
Gadfly.jl,GiovineItalia,1700,https://github.com/GiovineItalia/Gadfly.jl
JuMP.jl,jump-dev,1500,https://github.com/jump-dev/JuMP.jl
Plots.jl,JuliaPlots,1300,https://github.com/JuliaPlots/Plots.jl
Knet.jl,denizyuret,1300,https://github.com/denizyuret/Knet.jl
Julia.jl,svaksha,1100,https://github.com/svaksha/Julia.jl
MLJ.jl,alan-turing-institute,1100,https://github.com/alan-turing-institute/MLJ.jl
DataFrames.jl,JuliaData,1100,https://github.com/JuliaData/DataFrames.jl
PyCall.jl,JuliaPy,1000,https://github.com/JuliaPy/PyCall.jl
Zygote.jl,FluxML,1000,https://github.com/FluxML/Zygote.jl
cocalc,sagemathinc,925,https://github.com/sagemathinc/cocalc
Makie.jl,JuliaPlots,909,https://github.com/JuliaPlots/Makie.jl
julia-vscode,julia-vscode,889,https://github.com/julia-vscode/julia-vscode
AlphaZero.jl,jonathan-laurent,865,https://github.com/jonathan-laurent/AlphaZero.jl
PackageCompiler.jl,JuliaLang,841,https://github.com/JuliaLang/PackageCompiler.jl
TensorFlow.jl,malmaud,834,https://github.com/malmaud/TensorFlow.jl
JuliaTutorials,JuliaAcademy,811,https://github.com/JuliaAcademy/JuliaTutorials
UnicodePlots.jl,Evizero,773,https://github.com/Evizero/UnicodePlots.jl
probabilistic_robotics,pptacher,771,https://github.com/pptacher/probabilistic_robotics
juliamono,cormullion,729,https://github.com/cormullion/juliamono
Optim.jl,JuliaNLSolvers,726,https://github.com/JuliaNLSolvers/Optim.jl
fib,drujensen,718,https://github.com/drujensen/fib
Distributions.jl,JuliaStats,713,https://github.com/JuliaStats/Distributions.jl
