Repository Name,Username,Stars,URL
huginn,huginn,31800,https://github.com/huginn/huginn
RSSHub,DIYgod,16700,https://github.com/DIYgod/RSSHub
Clone-Wars,GorvGoyl,11400,https://github.com/GorvGoyl/Clone-Wars
twint,twintproject,11000,https://github.com/twintproject/twint
tweepy,tweepy,7900,https://github.com/tweepy/tweepy
UltimateAndroidReference,aritraroy,7300,https://github.com/aritraroy/UltimateAndroidReference
trump2cash,maxbbraun,6000,https://github.com/maxbbraun/trump2cash
twitteroauth,abraham,4100,https://github.com/abraham/twitteroauth
ActiveLabel.swift,optonaut,3800,https://github.com/optonaut/ActiveLabel.swift
rrssb,kni-labs,3400,https://github.com/kni-labs/rrssb
rainbowstream,orakaro,3300,https://github.com/orakaro/rainbowstream
hybridauth,hybridauth,3200,https://github.com/hybridauth/hybridauth
twitter-scraper,bisguzar,2900,https://github.com/bisguzar/twitter-scraper
timeliner,mholt,2800,https://github.com/mholt/timeliner
nitter,zedeus,2700,https://github.com/zedeus/nitter
tweets_analyzer,x0rz,2700,https://github.com/x0rz/tweets_analyzer
ripme,RipMeApp,2500,https://github.com/RipMeApp/ripme
twitter-text,twitter,2500,https://github.com/twitter/twitter-text
Twidere-Android,TwidereProject,2400,https://github.com/TwidereProject/Twidere-Android
login-with,lipp,2300,https://github.com/lipp/login-with
seotools,artesaos,2300,https://github.com/artesaos/seotools
tweetable-polyglot-png,DavidBuchanan314,2100,https://github.com/DavidBuchanan314/tweetable-polyglot-png
twitter-api-php,J7mbo,1800,https://github.com/J7mbo/twitter-api-php
DecryptLogin,CharlesPikachu,1700,https://github.com/CharlesPikachu/DecryptLogin
talon-twitter-holo,klinker24,1700,https://github.com/klinker24/talon-twitter-holo
twurl,twitter,1600,https://github.com/twitter/twurl
sharer.js,ellisonleao,1600,https://github.com/ellisonleao/sharer.js
tinfoleak,vaguileradiaz,1500,https://github.com/vaguileradiaz/tinfoleak
Hitomi-Downloader,KurtBestor,1500,https://github.com/KurtBestor/Hitomi-Downloader
SocialCount,filamentgroup,1400,https://github.com/filamentgroup/SocialCount
flutter_twitter_clone,TheAlphamerc,1300,https://github.com/TheAlphamerc/flutter_twitter_clone
refined-twitter,sindresorhus,1300,https://github.com/sindresorhus/refined-twitter
stocksight,shirosaidev,1200,https://github.com/shirosaidev/stocksight
ImageViewer.swift,michaelhenry,1100,https://github.com/michaelhenry/ImageViewer.swift
art,sepandhaghighi,1100,https://github.com/sepandhaghighi/art
russia-it-podcast,avevlad,1100,https://github.com/avevlad/russia-it-podcast
anatine,sindresorhus,1100,https://github.com/sindresorhus/anatine
anaconda,ChimeraCoder,1100,https://github.com/ChimeraCoder/anaconda
talon-for-twitter-android,klinker-apps,1100,https://github.com/klinker-apps/talon-for-twitter-android
Circular,julien-c,1000,https://github.com/julien-c/Circular
SmallBang,hanks-zyh,1000,https://github.com/hanks-zyh/SmallBang
anon,edsu,922,https://github.com/edsu/anon
Twitter-Post-Fetcher,jasonmayes,893,https://github.com/jasonmayes/Twitter-Post-Fetcher
notify,nikoksr,860,https://github.com/nikoksr/notify
tweetinvi,linvi,848,https://github.com/linvi/tweetinvi
twitter-kit-android,twitter-archive,809,https://github.com/twitter-archive/twitter-kit-android
holehe,megadose,800,https://github.com/megadose/holehe
twitter,atymic,788,https://github.com/atymic/twitter
stocktalk,anfederico,783,https://github.com/anfederico/stocktalk
TwitterAPI,geduldig,765,https://github.com/geduldig/TwitterAPI
TweetScraper,jonbakerfish,746,https://github.com/jonbakerfish/TweetScraper
integrations,broidHQ,725,https://github.com/broidHQ/integrations
twitter-lite,draftbit,693,https://github.com/draftbit/twitter-lite
Social-Amnesia,Nick-Gottschlich,679,https://github.com/Nick-Gottschlich/Social-Amnesia
rtweet,ropensci,662,https://github.com/ropensci/rtweet
BetterTweetDeck,eramdam,651,https://github.com/eramdam/BetterTweetDeck
blog,sivagao,617,https://github.com/sivagao/blog
hate-speech-and-offensive-language,t-davidson,570,https://github.com/t-davidson/hate-speech-and-offensive-language
SocialBox-Termux,samsesh,570,https://github.com/samsesh/SocialBox-Termux
awesome-twitter-data,shaypal5,568,https://github.com/shaypal5/awesome-twitter-data
DownloadThisVideo,shalvah,563,https://github.com/shalvah/DownloadThisVideo
delete-tweets,koenrh,552,https://github.com/koenrh/delete-tweets
ngx-auth-firebaseui,AnthonyNahas,552,https://github.com/AnthonyNahas/ngx-auth-firebaseui
eth-tweet,yep,539,https://github.com/yep/eth-tweet
rssbox,stefansundin,535,https://github.com/stefansundin/rssbox
sns_auth,anerg2046,535,https://github.com/anerg2046/sns_auth
Twitter-API-v2-sample-code,twitterdev,523,https://github.com/twitterdev/Twitter-API-v2-sample-code
twitter-php,dg,522,https://github.com/dg/twitter-php
bitlbee,bitlbee,519,https://github.com/bitlbee/bitlbee
proven,dschep,510,https://github.com/dschep/proven
privacy-redirect,SimonBrazell,503,https://github.com/SimonBrazell/privacy-redirect
Socioboard-5.0,socioboard,501,https://github.com/socioboard/Socioboard-5.0
Yotter,ytorg,469,https://github.com/ytorg/Yotter
auth,SocialConnect,465,https://github.com/SocialConnect/auth
harpy,robertodoering,462,https://github.com/robertodoering/harpy
search-tweets-python,twitterdev,460,https://github.com/twitterdev/search-tweets-python
distributed-systems-technologies-and-cases-analysis,waylau,455,https://github.com/waylau/distributed-systems-technologies-and-cases-analysis
buji-pac4j,bujiio,451,https://github.com/bujiio/buji-pac4j
refined-twitter-old,sindresorhus,441,https://github.com/sindresorhus/refined-twitter-old
android-dev-sources,ParaskP7,438,https://github.com/ParaskP7/android-dev-sources
yii2-authclient,yiisoft,435,https://github.com/yiisoft/yii2-authclient
MBTwitterScroll,martinblampied,421,https://github.com/martinblampied/MBTwitterScroll
LinqToTwitter,JoeMayo,418,https://github.com/JoeMayo/LinqToTwitter
wdt-emoji-bundle,needim,418,https://github.com/needim/wdt-emoji-bundle
advertools,eliasdabbas,409,https://github.com/eliasdabbas/advertools
react-native-social-share,doefler,408,https://github.com/doefler/react-native-social-share
kafka-connect-ui,lensesio,407,https://github.com/lensesio/kafka-connect-ui
GitHubPoster,yihong0618,406,https://github.com/yihong0618/GitHubPoster
Treeverse,paulgb,388,https://github.com/paulgb/Treeverse
twitter-together,gr2m,385,https://github.com/gr2m/twitter-together
twitter-sort,exPHAT,385,https://github.com/exPHAT/twitter-sort
play-pac4j,pac4j,380,https://github.com/pac4j/play-pac4j
social-media-profiles-regexs,lorey,376,https://github.com/lorey/social-media-profiles-regexs
socialreaper,ScriptSmith,363,https://github.com/ScriptSmith/socialreaper
tweetbotornot,mkearney,362,https://github.com/mkearney/tweetbotornot
twitter-advanced-search,igorbrigadir,354,https://github.com/igorbrigadir/twitter-advanced-search
SnowFlake,souyunku,352,https://github.com/souyunku/SnowFlake
miranda-ng,miranda-ng,349,https://github.com/miranda-ng/miranda-ng
react-static-tweets,transitive-bullshit,348,https://github.com/transitive-bullshit/react-static-tweets
mastodon-twitter-poster,renatolond,347,https://github.com/renatolond/mastodon-twitter-poster
TwidereX-Android,TwidereProject,344,https://github.com/TwidereProject/TwidereX-Android
the-seo-framework,sybrew,336,https://github.com/sybrew/the-seo-framework
GetOldTweets3,Mottl,329,https://github.com/Mottl/GetOldTweets3
laravel-social-auto-posting,alihesari,318,https://github.com/alihesari/laravel-social-auto-posting
surfbird,pixeldesu,318,https://github.com/pixeldesu/surfbird
tweetie,sonnyt,315,https://github.com/sonnyt/tweetie
twitter-search,transitive-bullshit,312,https://github.com/transitive-bullshit/twitter-search
Read-Weekly,yaoleifly,303,https://github.com/yaoleifly/Read-Weekly
twitter-clone-frontend,manikandanraji,295,https://github.com/manikandanraji/twitter-clone-frontend
Tweetme-2,codingforentrepreneurs,295,https://github.com/codingforentrepreneurs/Tweetme-2
CoreTweet,CoreTweet,294,https://github.com/CoreTweet/CoreTweet
Embera,mpratt,280,https://github.com/mpratt/Embera
twitter-cleanup,cuducos,278,https://github.com/cuducos/twitter-cleanup
DistributedID,beyondfengyu,276,https://github.com/beyondfengyu/DistributedID
polemicas-e-tretas-dev,polemicas-e-tretas-dev,275,https://github.com/polemicas-e-tretas-dev/polemicas-e-tretas-dev
iKy,kennbroorg,274,https://github.com/kennbroorg/iKy
tweet-tray,jonathontoon,274,https://github.com/jonathontoon/tweet-tray
SEO-Helper,ARCANEDEV,274,https://github.com/ARCANEDEV/SEO-Helper
egg-mode,egg-mode-rs,273,https://github.com/egg-mode-rs/egg-mode
twitter-sent-dnn,xiaohan2012,272,https://github.com/xiaohan2012/twitter-sent-dnn
