Repository Name,Username,Stars,URL
vscode,microsoft,119000,https://github.com/microsoft/vscode
deno,denoland,76600,https://github.com/denoland/deno
angular,angular,74600,https://github.com/angular/angular
ant-design,ant-design,73100,https://github.com/ant-design/ant-design
TypeScript,microsoft,72800,https://github.com/microsoft/TypeScript
material-ui,mui-org,69700,https://github.com/mui-org/material-ui
storybook,storybookjs,63300,https://github.com/storybookjs/storybook
ionic-framework,ionic-team,44900,https://github.com/ionic-team/ionic-framework
prettier,prettier,40100,https://github.com/prettier/prettier
nest,nestjs,38500,https://github.com/nestjs/nest
DefinitelyTyped,DefinitelyTyped,34800,https://github.com/DefinitelyTyped/DefinitelyTyped
vuetify,vuetifyjs,31400,https://github.com/vuetifyjs/vuetify
taro,NervJS,29200,https://github.com/NervJS/taro
react,typescript-cheatsheets,26500,https://github.com/typescript-cheatsheets/react
esbuild,evanw,25800,https://github.com/evanw/esbuild
monaco-editor,microsoft,25300,https://github.com/microsoft/monaco-editor
typeorm,typeorm,24900,https://github.com/typeorm/typeorm
angular-cli,angular,24700,https://github.com/angular/angular-cli
mobx,mobxjs,23900,https://github.com/mobxjs/mobx
ngx-admin,akveo,22800,https://github.com/akveo/ngx-admin
react-hook-form,react-hook-form,22000,https://github.com/react-hook-form/react-hook-form
react-starter-kit,kriasoft,20800,https://github.com/kriasoft/react-starter-kit
NativeScript,NativeScript,20300,https://github.com/NativeScript/NativeScript
upterm,railsware,19500,https://github.com/railsware/upterm
tabby,Eugeny,18500,https://github.com/Eugeny/tabby
blueprint,palantir,18000,https://github.com/palantir/blueprint
electron-react-boilerplate,electron-react-boilerplate,17900,https://github.com/electron-react-boilerplate/electron-react-boilerplate
n8n,n8n-io,16500,https://github.com/n8n-io/n8n
flatbuffers,google,16500,https://github.com/google/flatbuffers
ice,alibaba,16400,https://github.com/alibaba/ice
apollo-client,apollographql,16400,https://github.com/apollographql/apollo-client
editor.js,codex-team,15900,https://github.com/codex-team/editor.js
gotty,yudai,15600,https://github.com/yudai/gotty
tfjs,tensorflow,15300,https://github.com/tensorflow/tfjs
theia,eclipse-theia,15100,https://github.com/eclipse-theia/theia
prisma,prisma,14900,https://github.com/prisma/prisma
Babylon.js,BabylonJS,14400,https://github.com/BabylonJS/Babylon.js
typescript-book,basarat,14000,https://github.com/basarat/typescript-book
ui-router,angular-ui,13800,https://github.com/angular-ui/ui-router
bit,teambit,13700,https://github.com/teambit/bit
swc,swc-project,12600,https://github.com/swc-project/swc
desktop,desktop,12400,https://github.com/desktop/desktop
assemblyscript,AssemblyScript,12300,https://github.com/AssemblyScript/assemblyscript
wangEditor,wangeditor-team,12100,https://github.com/wangeditor-team/wangEditor
framework,aurelia,11600,https://github.com/aurelia/framework
oni,onivim,11500,https://github.com/onivim/oni
react-redux-typescript-guide,piotrwitek,11200,https://github.com/piotrwitek/react-redux-typescript-guide
deskreen,pavlobu,11100,https://github.com/pavlobu/deskreen
core,adonisjs,10700,https://github.com/adonisjs/core
xterm.js,xtermjs,10700,https://github.com/xtermjs/xterm.js
postgraphile,graphile,10500,https://github.com/graphile/postgraphile
angular-starter,PatrickJS,10400,https://github.com/PatrickJS/angular-starter
frontend-bootcamp,microsoft,10400,https://github.com/microsoft/frontend-bootcamp
razzle,jaredpalmer,10300,https://github.com/jaredpalmer/razzle
interact.js,taye,10300,https://github.com/taye/interact.js
cyclejs,cyclejs,9900,https://github.com/cyclejs/cyclejs
typescript-eslint,typescript-eslint,9900,https://github.com/typescript-eslint/typescript-eslint
lila,ornicar,9700,https://github.com/ornicar/lila
TypeScript-Node-Starter,microsoft,9700,https://github.com/microsoft/TypeScript-Node-Starter
peerjs,peers,9400,https://github.com/peers/peerjs
stencil,ionic-team,9400,https://github.com/ionic-team/stencil
pulumi,pulumi,9300,https://github.com/pulumi/pulumi
Vim,VSCodeVim,9200,https://github.com/VSCodeVim/Vim
testcafe,DevExpress,9000,https://github.com/DevExpress/testcafe
ant-design-mobile,ant-design,8900,https://github.com/ant-design/ant-design-mobile
ts-node,TypeStrong,8900,https://github.com/TypeStrong/ts-node
vue-storefront,vuestorefront,8600,https://github.com/vuestorefront/vue-storefront
blitz,blitz-js,8600,https://github.com/blitz-js/blitz
tfjs-core,tensorflow,8500,https://github.com/tensorflow/tfjs-core
TabNine,codota,8400,https://github.com/codota/TabNine
tsdx,formium,8300,https://github.com/formium/tsdx
tween.js,tweenjs,8200,https://github.com/tweenjs/tween.js
awesomo,lk-geimfari,8000,https://github.com/lk-geimfari/awesomo
typescript-tutorial,xcatliu,7900,https://github.com/xcatliu/typescript-tutorial
InversifyJS,inversify,7800,https://github.com/inversify/InversifyJS
ng-zorro-antd,NG-ZORRO,7600,https://github.com/NG-ZORRO/ng-zorro-antd
protobuf.js,protobufjs,7600,https://github.com/protobufjs/protobuf.js
ext-saladict,crimx,7500,https://github.com/crimx/ext-saladict
devhub,devhubapp,7500,https://github.com/devhubapp/devhub
gridea,getgridea,7500,https://github.com/getgridea/gridea
rax,alibaba,7400,https://github.com/alibaba/rax
rematch,rematch,7300,https://github.com/rematch/rematch
graphql-code-generator,dotansimha,7200,https://github.com/dotansimha/graphql-code-generator
nebular,akveo,7200,https://github.com/akveo/nebular
aws-cdk,aws,7000,https://github.com/aws/aws-cdk
deepstream.io,deepstreamIO,6900,https://github.com/deepstreamIO/deepstream.io
react-flow,wbkd,6900,https://github.com/wbkd/react-flow
primeng,primefaces,6800,https://github.com/primefaces/primeng
javascript-obfuscator,javascript-obfuscator,6700,https://github.com/javascript-obfuscator/javascript-obfuscator
quicktype,quicktype,6700,https://github.com/quicktype/quicktype
botframework-sdk,microsoft,6600,https://github.com/microsoft/botframework-sdk
fp-ts,gcanti,6500,https://github.com/gcanti/fp-ts
engine,playcanvas,6400,https://github.com/playcanvas/engine
type-graphql,MichalLytek,6400,https://github.com/MichalLytek/type-graphql
azuredatastudio,microsoft,6400,https://github.com/microsoft/azuredatastudio
tinacms,tinacms,6300,https://github.com/tinacms/tinacms
clarity,vmware,6300,https://github.com/vmware/clarity
oclif,oclif,6200,https://github.com/oclif/oclif
react-diagrams,projectstorm,6200,https://github.com/projectstorm/react-diagrams
class-validator,typestack,6200,https://github.com/typestack/class-validator
generator-angular-fullstack,angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
type-challenges,type-challenges,6100,https://github.com/type-challenges/type-challenges
angularjs-styleguide,toddmotto,6100,https://github.com/toddmotto/angularjs-styleguide
fast,microsoft,6000,https://github.com/microsoft/fast
tslint,palantir,5900,https://github.com/palantir/tslint
zero,remoteinterview,5800,https://github.com/remoteinterview/zero
sentry-javascript,getsentry,5600,https://github.com/getsentry/sentry-javascript
este,este,5500,https://github.com/este/este
nerv,NervJS,5400,https://github.com/NervJS/nerv
GoJS,NorthwoodsSoftware,5400,https://github.com/NorthwoodsSoftware/GoJS
thinkjs,thinkjs,5200,https://github.com/thinkjs/thinkjs
poi,egoist,5200,https://github.com/egoist/poi
type-fest,sindresorhus,5200,https://github.com/sindresorhus/type-fest
vue-vben-admin,anncwb,5200,https://github.com/anncwb/vue-vben-admin
cash,fabiospampinato,5200,https://github.com/fabiospampinato/cash
superstruct,ianstormtaylor,5100,https://github.com/ianstormtaylor/superstruct
typedoc,TypeStrong,5000,https://github.com/TypeStrong/typedoc
appsmith,appsmithorg,4900,https://github.com/appsmithorg/appsmith
TypeScript,zhongsp,4900,https://github.com/zhongsp/TypeScript
vue-property-decorator,kaorun343,4900,https://github.com/kaorun343/vue-property-decorator
